,HSPE1 (3336)
ACH-000004,-1.733575677696818
ACH-000005,-2.1454445391916033
ACH-000007,-1.7146384911021058
ACH-000009,-1.6470187233454443
ACH-000011,-1.7093320220859285
ACH-000012,-1.491523106627183
ACH-000013,-2.06874222289587
ACH-000014,-1.8456142588014173
ACH-000015,-1.671416398015653
ACH-000017,-1.848932406846121
ACH-000018,-1.2543538915645245
ACH-000019,-1.3031755690340627
ACH-000021,-1.6686456750112781
ACH-000022,-1.7094141396423896
ACH-000025,-1.4943434209784463
ACH-000028,-1.3508243919655427
ACH-000030,-1.7262830578464938
ACH-000035,-1.5075012356736028
ACH-000036,-1.2701165725094912
ACH-000037,-0.9305898432818092
ACH-000039,-1.816923341249133
ACH-000040,-1.427587558022801
ACH-000041,-1.771987074346475
ACH-000042,-1.7292644778041364
ACH-000045,-1.570165503808369
ACH-000047,-1.841394178166942
ACH-000052,-1.5080570446367854
ACH-000053,-1.5099782918696962
ACH-000054,-1.2341380216865885
ACH-000055,-1.5911670179015094
ACH-000060,-1.6235578791786307
ACH-000067,-1.6569913818573585
ACH-000070,-1.7269983365853998
ACH-000075,-1.3908044014759506
ACH-000078,-1.6238499875320895
ACH-000082,-1.6939420839044022
ACH-000085,-1.7315675476942478
ACH-000086,-1.4077040266012681
ACH-000087,-1.541186791743077
ACH-000092,-1.5189928948389613
ACH-000095,-1.5946569169880558
ACH-000097,-1.65805813602037
ACH-000098,-1.7015373267974632
ACH-000099,-1.442803879036495
ACH-000108,-1.487624757051245
ACH-000113,-1.5393809152663054
ACH-000116,-1.8020165818024525
ACH-000118,-1.6220361400046557
ACH-000120,-1.6099233556736492
ACH-000123,-1.6329709670678612
ACH-000127,-1.3263789381963202
ACH-000128,-1.6143068406462842
ACH-000132,-1.7974907685138608
ACH-000133,-1.6675297163938578
ACH-000137,-1.5373081065603518
ACH-000138,-1.6610927192207845
ACH-000142,-1.4219920857103392
ACH-000143,-1.7139912050017083
ACH-000146,-1.963368297268017
ACH-000148,-1.9111521127562336
ACH-000150,-1.6108119228706896
ACH-000152,-1.3514155263957288
ACH-000153,-1.4290458049669306
ACH-000159,-1.432766174771855
ACH-000160,-1.8501204909410616
ACH-000163,-1.6507232575377402
ACH-000167,-2.693389180437207
ACH-000168,-1.85928312604467
ACH-000169,-1.3660638763128832
ACH-000178,-1.6359193303399533
ACH-000183,-1.664823339723371
ACH-000188,-1.7184618058611942
ACH-000189,-1.6444419424896417
ACH-000190,-1.4619398755251083
ACH-000198,-1.5101490764912338
ACH-000203,-1.3769041926294323
ACH-000204,-1.4601222923716322
ACH-000206,-1.876884808056743
ACH-000207,-1.2027848709971922
ACH-000208,-1.436800819242977
ACH-000210,-1.5524151279593932
ACH-000211,-1.4859953482473711
ACH-000215,-1.7381227362929081
ACH-000221,-2.0635546833498597
ACH-000222,-1.770685027600038
ACH-000223,-1.6994948425673138
ACH-000226,-1.539795561883814
ACH-000227,-1.6735629746344476
ACH-000228,-1.7977431131201762
ACH-000231,-1.574678640684298
ACH-000232,-1.717231862855897
ACH-000233,-1.5397048646892884
ACH-000234,-1.2796561208018034
ACH-000235,-1.6017619180788822
ACH-000237,-1.5783384757974246
ACH-000238,-1.6892388552101325
ACH-000242,-1.6710916578329933
ACH-000243,-1.6135148377119806
ACH-000244,-1.6959872791346324
ACH-000246,-1.5207902007440235
ACH-000248,-1.5557086498008377
ACH-000250,-1.5036946266588649
ACH-000251,-2.131167726188287
ACH-000252,-1.6769286830342962
ACH-000253,-1.4383781429657512
ACH-000255,-1.472517558193554
ACH-000256,-1.852022232429028
ACH-000257,-1.9253770523064042
ACH-000258,-1.123828148183927
ACH-000259,-1.7723042012270191
ACH-000260,-1.6782590179377397
ACH-000261,-1.6377704879748418
ACH-000262,-1.477734718059223
ACH-000263,-1.7340075114239588
ACH-000264,-1.7425181367406184
ACH-000265,-1.8123744177752867
ACH-000266,-1.6133567713209724
ACH-000272,-1.5024097856382042
ACH-000274,-1.6384609957591192
ACH-000277,-1.6163932682528406
ACH-000278,-1.6142030591934184
ACH-000279,-1.6026876016740577
ACH-000280,-1.7187608032215913
ACH-000281,-1.4778597323059457
ACH-000288,-1.6587896318511632
ACH-000291,-1.4600491745747992
ACH-000293,-1.5099085252490403
ACH-000294,-1.7236549848073983
ACH-000295,-1.7955782962236884
ACH-000296,-1.6779025507301806
ACH-000302,-1.9869636780609023
ACH-000304,-2.299374045845778
ACH-000307,-1.8601301262328311
ACH-000308,-1.6623932666439396
ACH-000310,-1.45036190122687
ACH-000311,-1.8937752839795832
ACH-000312,-1.5914219979790096
ACH-000315,-1.5663568745688532
ACH-000316,-1.8998541014534016
ACH-000317,-2.031080183667451
ACH-000318,-1.9009070619404116
ACH-000319,-1.4819127139971031
ACH-000320,-1.7560016958545257
ACH-000322,-1.3316451946769217
ACH-000323,-1.5682006823403176
ACH-000324,-1.4760994484025782
ACH-000329,-1.5992048817827087
