,APOLD1 (81575)
ACH-000004,-0.0756948161364384
ACH-000005,-0.22705236059240555
ACH-000007,-0.12949383201249606
ACH-000009,-0.22294349539948385
ACH-000011,-0.14703937854510485
ACH-000012,-0.0864266956595221
ACH-000013,-0.15785874602401234
ACH-000014,-0.05202838758953602
ACH-000015,-0.0923401673397602
ACH-000017,-0.015829967541332826
ACH-000018,-0.11298929260514087
ACH-000019,-0.037716873128318916
ACH-000021,-0.11999559215139688
ACH-000022,-0.19747544074001808
ACH-000025,-0.19198896459107656
ACH-000028,-0.10324977491545713
ACH-000030,-0.13729704373339469
ACH-000035,-0.027392191928829444
ACH-000036,-0.0005340694163928094
ACH-000037,-0.0853692063791146
ACH-000039,-0.13279974497318248
ACH-000040,-0.27924384330243623
ACH-000041,-0.11680199431651535
ACH-000042,-0.147248870275349
ACH-000045,-0.016664040740445217
ACH-000047,-0.1868172495582708
ACH-000052,-0.04330073697315142
ACH-000053,-0.06753534184571333
ACH-000054,-0.2267701980255416
ACH-000055,-0.2335317843892136
ACH-000060,-0.2500709114136265
ACH-000067,-0.2939942882319011
ACH-000070,-0.03840380782102261
ACH-000075,-0.07659682254215193
ACH-000078,-0.10394272561575173
ACH-000082,-0.11962649626438478
ACH-000085,0.014704369237924956
ACH-000086,-0.28267483619313705
ACH-000087,-0.1193055293942786
ACH-000092,-0.14549299142165803
ACH-000095,-0.2063442986352821
ACH-000097,-0.1647288074529174
ACH-000098,-0.12664088602361184
ACH-000099,-0.22702939264187255
ACH-000108,-0.06694078650130689
ACH-000113,-0.11056949177425728
ACH-000116,-0.08459688997162794
ACH-000118,-0.1451536036429278
ACH-000120,-0.18411971817482706
ACH-000123,-0.2052636117535701
ACH-000127,-0.08613748695198564
ACH-000128,-0.06084630790573271
ACH-000132,-0.08164155387821223
ACH-000133,-0.17116052997910974
ACH-000137,-0.13268063355285187
ACH-000138,-0.05330965698695443
ACH-000142,-0.10216916532429443
ACH-000143,-0.06613615671239315
ACH-000146,-0.030989957074312936
ACH-000148,-0.02171804738826104
ACH-000150,0.009897167899090778
ACH-000152,-0.11273851716411445
ACH-000153,0.04812915589874372
ACH-000159,-0.1454000739789771
ACH-000160,-0.16487443558589415
ACH-000163,-0.14062639514583394
ACH-000167,-0.1637838295631626
ACH-000168,0.03000461237455225
ACH-000169,-0.2423065296610922
ACH-000178,-0.14083031953290542
ACH-000183,-0.03160330991063271
ACH-000188,-0.11901046553484987
ACH-000189,-0.05093314614977682
ACH-000190,0.06369409252052535
ACH-000198,-0.0254625556324333
ACH-000203,-0.06916263226164736
ACH-000204,-0.2733163839120728
ACH-000206,-0.3465913110335915
ACH-000207,-0.018965757855926812
ACH-000208,-0.2508942377393364
ACH-000210,-0.2648837008377893
ACH-000211,-0.1598292047975826
ACH-000215,-0.13366994343659816
ACH-000221,-0.1686931814026561
ACH-000222,0.134492163764234
ACH-000223,-0.02737901040862228
ACH-000226,-0.10839979406691773
ACH-000227,-0.14525828736581387
ACH-000228,-0.4552405073786349
ACH-000231,-0.21392630752517214
ACH-000232,-0.18442441367577367
ACH-000233,-0.3031948596405307
ACH-000234,-0.14347061236360875
ACH-000235,-0.1304897908497802
ACH-000237,-0.2258051535848589
ACH-000238,-0.13533427630643094
ACH-000242,-0.13981859674931793
ACH-000243,-0.016095352587050044
ACH-000244,-0.1917857341090175
ACH-000246,-0.17178229818139182
ACH-000248,-0.0637429079584387
ACH-000250,-0.10193642406111038
ACH-000251,-0.11281536169128005
ACH-000252,-0.35596071906993376
ACH-000253,0.051428585175147715
ACH-000255,-0.14760130229195878
ACH-000256,-0.18571521137844252
ACH-000257,-0.13046023284383418
ACH-000258,-0.07236284799433194
ACH-000259,-0.2043147916378302
ACH-000260,-0.06298797897820743
ACH-000261,-0.20609490247942366
ACH-000262,-0.01476691473999226
ACH-000263,0.05636848727267419
ACH-000264,-0.07823680678424738
ACH-000265,0.014172109311448026
ACH-000266,-0.10223935611295752
ACH-000272,-0.20467848077321174
ACH-000274,-0.25093483480553
ACH-000277,-0.08807000466960742
ACH-000278,-0.19275518689233245
ACH-000279,-0.08911139736414928
ACH-000280,-0.16009772421924046
ACH-000281,-0.3337527539846601
ACH-000288,-0.10303927256883527
ACH-000291,-0.007939282905972194
ACH-000293,-0.0912950858352253
ACH-000294,0.07527806405588111
ACH-000295,-0.15346449082328215
ACH-000296,-0.11084437535387544
ACH-000302,0.01820256650195591
ACH-000304,-0.05563698984722217
ACH-000307,-0.30000130042644585
ACH-000308,-0.2798017814088037
ACH-000310,-0.20934689598867692
ACH-000311,-0.08915076229424859
ACH-000312,-0.020071618175738017
ACH-000315,-0.024841259808219312
ACH-000316,-0.2870889762635757
ACH-000317,-0.02468073757071377
ACH-000318,-0.07770464351798186
ACH-000319,-0.03586867213923404
ACH-000320,-0.011466226339923486
ACH-000322,-0.20422603792764427
ACH-000323,-0.07179912779408743
ACH-000324,-0.21328375856579304
ACH-000329,0.04847421731965994
ACH-000330,-0.10170754944149712
ACH-000331,-0.1439328961708131
ACH-000332,-0.17222206797378994
ACH-000334,-0.06451739875204146
ACH-000335,-0.1367284162094913
ACH-000336,0.05851339812423865
ACH-000337,-0.1386291008952302
ACH-000338,-0.4529357375581818
ACH-000339,-0.20474321471371387
ACH-000341,0.06809662078783715
ACH-000348,-0.16181318929687452
ACH-000350,-0.1118521904898576
ACH-000352,-0.15859783495011318
ACH-000356,-0.016423761042684448
ACH-000361,-0.5668611666756431
ACH-000362,-0.06626821575366702
ACH-000363,-0.081756619370298
ACH-000364,-0.13287571736445866
ACH-000365,-0.1659749023417933
ACH-000366,-0.003838005160470739
ACH-000368,0.054423635625429526
ACH-000374,-0.15422538838812208
ACH-000375,0.03434082092111308
ACH-000376,-0.20598232625938728
ACH-000381,-0.11412848491832303
ACH-000383,-0.11931951913239056
