,PUS3 (83480)
ACH-000004,0.028858392643360938
ACH-000005,0.17510454826639305
ACH-000007,-0.05381679960500405
ACH-000009,-0.12615100306502244
ACH-000011,-0.08829646461217186
ACH-000012,-0.05523522688573583
ACH-000013,-0.06312581975678246
ACH-000014,-0.1340752513677062
ACH-000015,0.016495369006982164
ACH-000017,-0.08447521886164326
ACH-000018,-0.2008367416829369
ACH-000019,-0.11561220592651544
ACH-000021,-0.07432429051649661
ACH-000022,0.07338669352541446
ACH-000025,-0.13402962024555642
ACH-000028,-0.11323329369375508
ACH-000030,-0.11603303029264835
ACH-000035,-0.2390572422670956
ACH-000036,-0.1011872321391071
ACH-000037,-0.018915275183573384
ACH-000039,-0.20345487512363306
ACH-000040,-0.16823778464131595
ACH-000041,-0.19517622800220003
ACH-000042,0.14927547874297253
ACH-000045,-0.2845070478471596
ACH-000047,0.11565718624560445
ACH-000052,-0.036901480085073136
ACH-000053,-0.03836700038071491
ACH-000054,-0.18776004472329133
ACH-000055,0.12555930692932035
ACH-000060,0.17066140530409468
ACH-000067,-0.006216162290214679
ACH-000070,-0.4048268493959308
ACH-000075,-0.10534535593701222
ACH-000078,-0.022839003103491125
ACH-000082,-0.1979048480647411
ACH-000085,-0.16246299173580847
ACH-000086,-0.09089042206963792
ACH-000087,-0.3622540958148623
ACH-000092,0.02005481271217452
ACH-000095,-0.029808577929886414
ACH-000097,0.03604441366954365
ACH-000098,-0.1596405448459344
ACH-000099,0.02651954961864394
ACH-000108,-0.034829577610419764
ACH-000113,-0.18968974614991865
ACH-000116,-0.11703074797199628
ACH-000118,0.00038269474196560467
ACH-000120,-0.2021071317177999
ACH-000123,-0.1948751066762965
ACH-000127,-0.19236821179757135
ACH-000128,0.16381142241766364
ACH-000132,-0.35024449813890257
ACH-000133,-0.186771424200054
ACH-000137,0.09008191422858164
ACH-000138,-0.18565081827386348
ACH-000142,-0.029579450078419608
ACH-000143,-0.09495597043418087
ACH-000146,0.03245656689937505
ACH-000148,-0.04810484133186492
ACH-000150,-0.05592548478745237
ACH-000152,0.08202747515431426
ACH-000153,-0.34804517886170183
ACH-000159,-0.1531374060045568
ACH-000160,-0.2174085174144353
ACH-000163,0.02386806627739589
ACH-000167,-0.19413175604664806
ACH-000168,0.11342924980531267
ACH-000169,-0.11838171857685947
ACH-000178,-0.2491169736750818
ACH-000183,-0.045497484078699295
ACH-000188,-0.19360817986835988
ACH-000189,-0.1178121438190294
ACH-000190,-0.31157893067310666
ACH-000198,-0.09785357195329893
ACH-000203,0.11129742800920442
ACH-000204,0.06897801305872074
ACH-000206,0.11200507396843744
ACH-000207,-0.1005241455081287
ACH-000208,-0.19368486120466055
ACH-000210,-0.044329841099534105
ACH-000211,0.025682443412598576
ACH-000215,-0.1430041790601292
ACH-000221,-0.04992125002280787
ACH-000222,0.059539367591010764
ACH-000223,-0.057144587663540726
ACH-000226,-0.06900338298726759
ACH-000227,-0.07618609205921095
ACH-000228,-0.08971670377807738
ACH-000231,-0.05900050625109825
ACH-000232,-0.42909046176004784
ACH-000233,0.035440292981914416
ACH-000234,-0.07939580292458771
ACH-000235,0.014794414745257925
ACH-000237,-0.04088650133986065
ACH-000238,-0.07917311498360233
ACH-000242,-0.0538466027026937
ACH-000243,-0.10805379479210532
ACH-000244,-0.08103637860470761
ACH-000246,-0.2303207391243225
ACH-000248,0.11227379579504904
ACH-000250,-0.06705349231301297
ACH-000251,-0.050519675419068585
ACH-000252,-0.1778590325900051
ACH-000253,-0.232290466310296
ACH-000255,-0.08234703157095742
ACH-000256,0.08925845538968742
ACH-000257,-0.010688833636154851
ACH-000258,-0.043445968824820096
ACH-000259,0.08236935695419713
ACH-000260,-0.029415473533032564
ACH-000261,0.08021874077756459
ACH-000262,-0.2242780469064795
ACH-000263,-0.15223957880502567
ACH-000264,-0.0578027915336487
ACH-000265,-0.10178715238106097
ACH-000266,0.06231344300993993
ACH-000272,-0.08384607559618923
ACH-000274,-0.018272167094088704
ACH-000277,0.04410166449320002
ACH-000278,-0.1994800016002023
ACH-000279,-0.10609173827106506
ACH-000280,0.016189151516575517
ACH-000281,-0.07873647325032214
ACH-000288,-0.36586277377301984
ACH-000291,-0.21573127865659386
ACH-000293,-0.11157169722613253
ACH-000294,-0.28207854581660724
ACH-000295,-0.2285794855811435
ACH-000296,-0.009309059870769795
ACH-000302,0.1628174934198207
ACH-000304,-0.11652193567310255
ACH-000307,-0.2257105926332182
ACH-000308,0.08209423555319556
ACH-000310,-0.068092292122034
ACH-000311,0.03288313584862565
ACH-000312,-0.036012313868841614
ACH-000315,-0.024204492117519138
ACH-000316,-0.3470828927620682
ACH-000317,-0.205739560858898
ACH-000318,0.022118331846180332
ACH-000319,-0.12018591999822295
ACH-000320,0.11550462989825395
ACH-000322,-0.17951370225748686
ACH-000323,-0.09351694711944372
ACH-000324,-0.07786796538458353
ACH-000329,-0.04945726185307275
ACH-000330,0.06771130776745689
ACH-000331,-0.3276783180877773
ACH-000332,-0.14351897439423195
ACH-000334,0.04116435394813184
ACH-000335,-0.07556308218910564
ACH-000336,0.2341310200671165
ACH-000337,0.07397856957138242
ACH-000338,-0.05883423390282583
ACH-000339,-0.12632100499001825
ACH-000341,-0.09620495007290522
ACH-000348,-0.1691926431473986
ACH-000350,-0.0702001934640627
ACH-000352,-0.0802082467366621
ACH-000356,0.004556642457015793
ACH-000361,-0.4434598210136492
ACH-000362,-0.19280396878950495
