,LPCAT3 (10162)
ACH-000004,-0.187877709943132
ACH-000005,-0.0517870372538889
ACH-000007,-0.09791316744166242
ACH-000009,-0.1993537615478581
ACH-000011,-0.12994334522828282
ACH-000012,-0.06365424138183239
ACH-000013,-0.18415426109374144
ACH-000014,0.014153429857885797
ACH-000015,-0.24603219241982105
ACH-000017,-0.2803474350387561
ACH-000018,-0.043401720355125226
ACH-000019,-0.4099821786533155
ACH-000021,-0.22783793867255056
ACH-000022,-0.44580877851339307
ACH-000025,-0.17540671559495885
ACH-000028,-0.34707478296121097
ACH-000030,-0.1536596267298542
ACH-000035,-0.2837560635933651
ACH-000036,-0.2958519165184381
ACH-000037,-0.11926270574369136
ACH-000039,-0.18490320701258706
ACH-000040,-0.2491206118981085
ACH-000041,-0.2891940944577656
ACH-000042,-0.2821808463124212
ACH-000045,-0.5531027389516172
ACH-000047,-0.3769394001662958
ACH-000052,-0.2800443167147673
ACH-000053,-0.11746887894447015
ACH-000054,-0.28754174769152896
ACH-000055,-0.23518277896632425
ACH-000060,-0.17153303326564565
ACH-000067,-0.3265660408200167
ACH-000070,-0.23370383010680845
ACH-000075,-0.3493714626382353
ACH-000078,-0.14572027303366125
ACH-000082,-0.0949422688055492
ACH-000085,-0.2003160687932006
ACH-000086,-0.14309179200148114
ACH-000087,0.03343323006327337
ACH-000092,-0.1526413649446176
ACH-000095,-0.1030098685526244
ACH-000097,-0.22983861318645316
ACH-000098,-0.2520204793283449
ACH-000099,-0.2640919078952396
ACH-000108,-0.19832100336858727
ACH-000113,-0.06801284789014486
ACH-000116,-0.14462205408609122
ACH-000118,-0.2338497506255131
ACH-000120,-0.21270044377354896
ACH-000123,-0.24478242030695496
ACH-000127,-0.2422095250752037
ACH-000128,-0.2082121781304768
ACH-000132,-0.1979617835389911
ACH-000133,-0.3586315522409286
ACH-000137,0.05853260414581112
ACH-000138,-0.1606907939310869
ACH-000142,-0.3639454383384643
ACH-000143,-0.19414240316650044
ACH-000146,-0.4071497643056773
ACH-000148,-0.09629708173515904
ACH-000150,-0.15995480260180298
ACH-000152,-0.1366036220753471
ACH-000153,-0.2716952758741296
ACH-000159,-0.2423259202753399
ACH-000160,-0.2741395083495367
ACH-000163,-0.15779364544475347
ACH-000167,-0.061745924414406336
ACH-000168,-0.17175337306326166
ACH-000169,-0.22478673075151528
ACH-000178,-0.11118224760818933
ACH-000183,-0.08559387011412857
ACH-000188,-0.20950973999255712
ACH-000189,-0.18540323374353845
ACH-000190,-0.17078579800984106
ACH-000198,-0.5003144825722531
ACH-000203,-0.1823630391884711
ACH-000204,-0.2726010806867353
ACH-000206,-0.012224645837555522
ACH-000207,-0.2699627657659283
ACH-000208,-0.13822419881399312
ACH-000210,-0.6397271948104631
ACH-000211,-0.17940188471087262
ACH-000215,-0.15346220324071774
ACH-000221,-0.3528351018867831
ACH-000222,-0.10651697947155647
ACH-000223,-0.26842477049566466
ACH-000226,-0.07945283619802072
ACH-000227,-0.03990063202798829
