,CLPX (10845)
ACH-000004,-0.35497754954366845
ACH-000005,-0.4625975470163562
ACH-000007,-0.09267173537497317
ACH-000009,-0.36766018709706944
ACH-000011,-0.15617147431924108
ACH-000012,-0.2583949644605573
ACH-000013,-0.3871856972206976
ACH-000014,-0.21221979710801972
ACH-000015,-0.07149939040149865
ACH-000017,-0.2388695702478537
ACH-000018,-0.0580617362314457
ACH-000019,-0.07973800594190897
ACH-000021,-0.1252663367770668
ACH-000022,-0.4967139690957174
ACH-000025,-0.3327901787229322
ACH-000028,-0.28115028039492584
ACH-000030,-0.0445635689581756
ACH-000035,-0.3554953999430407
ACH-000036,0.08497169151646121
ACH-000037,0.0051906085800863385
ACH-000039,-0.10440367069397193
ACH-000040,-0.14504226973586518
ACH-000041,-0.24353866773429544
ACH-000042,-0.19038761719122407
ACH-000045,-0.06964987053266365
ACH-000047,-0.3755537216000218
ACH-000052,-0.0500184396791064
ACH-000053,-0.028588106577294332
ACH-000054,-0.15818007014783544
ACH-000055,-0.1904711004180679
ACH-000060,-0.19949760094477104
ACH-000067,-0.1517666641080498
ACH-000070,-0.14752669457469186
ACH-000075,-0.225478666701773
ACH-000078,-0.16610485497314234
ACH-000082,-0.10385779285136408
ACH-000085,-0.22270604198898192
ACH-000086,-0.07788300196592349
ACH-000087,0.10105008413003064
ACH-000092,-0.14379391856055904
ACH-000095,-0.07616035553456076
ACH-000097,-0.1993528996037784
ACH-000098,-0.148706647460088
ACH-000099,-0.1460207830569924
ACH-000108,-0.17598247018769206
ACH-000113,-0.2613629381304124
ACH-000116,-0.237354874681448
ACH-000118,-0.13487038529937126
ACH-000120,-0.11187504246933136
ACH-000123,-0.27589235216112873
ACH-000127,-0.2542344028618287
ACH-000128,-0.3288527003704113
ACH-000132,-0.2660284109750256
ACH-000133,-0.2384388693418372
ACH-000137,-0.15961661805376387
ACH-000138,0.01766041410988291
ACH-000142,-0.1080778825587363
ACH-000143,-0.10128370600957247
ACH-000146,-0.14818255258087598
ACH-000148,-0.16018169020866635
ACH-000150,-0.3098984231979509
ACH-000152,-0.19099656680544128
ACH-000153,0.014500456532696384
ACH-000159,-0.07879111094067437
ACH-000160,-0.6400313371236299
ACH-000163,-0.1927857285574273
ACH-000167,-0.2837995150040247
ACH-000168,-0.06322294514080039
ACH-000169,-0.13936324698675678
ACH-000178,-0.15720461956595144
ACH-000183,-0.05054610405375405
ACH-000188,-0.3183051261805769
ACH-000189,-0.21515749305379853
ACH-000190,-0.19685023365717727
ACH-000198,-0.2345456560587517
ACH-000203,-0.05578850860632782
ACH-000204,-0.3804368174832736
ACH-000206,-0.11068789436815794
ACH-000207,-0.03498554192350608
ACH-000208,-0.14081436421370833
ACH-000210,-0.2415742800643643
ACH-000211,-0.07265675192486211
ACH-000215,-0.05658447124332443
ACH-000221,-0.06418138386440783
ACH-000222,-0.20125129401233585
ACH-000223,-0.20453407370524992
ACH-000226,-0.15829851201894976
ACH-000227,-0.07794596379094673
ACH-000228,-0.16734963116502352
ACH-000231,-0.15056238520296425
ACH-000232,-0.03867092540814476
ACH-000233,-0.1669434658529684
ACH-000234,-0.15487301854687208
ACH-000235,-0.1896169828800108
ACH-000237,-0.3702901908468587
ACH-000238,-0.18954853232529176
ACH-000242,0.07872576983968456
ACH-000243,-0.2470511569321111
ACH-000244,-0.3279192177856368
ACH-000246,-0.2021900805043356
ACH-000248,-0.20237868065412826
ACH-000250,-0.09133513205003037
ACH-000251,-0.01580558754197358
ACH-000252,-0.2737910096707684
ACH-000253,-0.2522846654662225
ACH-000255,-0.25504720320928737
ACH-000256,-0.4548131576113504
ACH-000257,-0.5521215476195892
ACH-000258,-0.09950364646235238
ACH-000259,-0.3300327120021699
ACH-000260,-0.13135689404860176
ACH-000261,-0.013484031898079727
ACH-000262,-0.26588130672316257
ACH-000263,-0.4894457837376431
ACH-000264,-0.13780248100089504
ACH-000265,-0.32128907418393404
ACH-000266,-0.10005447457046954
ACH-000272,-0.2378676540393149
ACH-000274,-0.2297912934679315
ACH-000277,-0.15712085244714413
ACH-000278,-0.2732489481002012
ACH-000279,-0.1045490856949456
ACH-000280,-0.1254473611651749
ACH-000281,-0.18374464853603986
ACH-000288,-0.2416563208984388
ACH-000291,-0.20900962594508213
ACH-000293,-0.30419480588339376
ACH-000294,-0.3270556252945131
ACH-000295,-0.3649747498795996
ACH-000296,-0.5388007864934028
ACH-000302,-0.39739233107494654
ACH-000304,0.00295109684956874
ACH-000307,-0.10930742614282236
ACH-000308,-0.13317916705883248
ACH-000310,-0.1742090939417491
ACH-000311,-0.15657862484415042
ACH-000312,-0.09922561242368816
ACH-000315,-0.12650943379035706
ACH-000316,-0.010543408759480241
ACH-000317,-0.044332065751370615
ACH-000318,-0.3009682678579064
ACH-000319,-0.23996383378176805
ACH-000320,0.02690241846506387
ACH-000322,-0.19296387351991706
ACH-000323,-0.30953190283075666
ACH-000324,-0.23778834658335155
ACH-000329,-0.12603039012580805
ACH-000330,-0.39800130367347947
ACH-000331,-0.29478934495293857
ACH-000332,-0.21948130818023728
ACH-000334,-0.04848947728392889
ACH-000335,-0.02755197245320106
ACH-000336,-0.0019549536545417283
ACH-000337,-0.08124884496506106
ACH-000338,-0.2718467283467955
ACH-000339,-0.18863237697978028
ACH-000341,-0.11797686042255673
ACH-000348,-0.1183091755736862
ACH-000350,-0.18957106785776745
ACH-000352,-0.5304863998538721
ACH-000356,0.013707175957833169
ACH-000361,-0.27498843650846394
ACH-000362,-0.08810850948947645
ACH-000363,-0.12715590795352313
ACH-000364,-0.09846571046500563
ACH-000365,-0.032560646240077554
ACH-000366,-0.0791635635637307
ACH-000368,-0.12460888995541905
ACH-000374,-0.2356688520841982
ACH-000375,-0.4168635096669179
ACH-000376,-0.372663423229504
ACH-000381,-0.0914406237236818
ACH-000383,-0.14856007163323587
ACH-000387,-0.12998522077084487
ACH-000389,-0.22384269228597575
ACH-000390,-0.08927280673845342
ACH-000393,-0.12672377434624024
ACH-000395,-0.08123332954399808
ACH-000396,-0.2120497660541819
ACH-000397,-0.04755885362206752
ACH-000401,-0.17643951515849693
ACH-000402,-0.011793921678635959
ACH-000403,-0.10248244578904707
ACH-000404,-0.25403180159236977
ACH-000406,-0.35742974979065856
ACH-000407,-0.13959284640360126
ACH-000408,-0.2324127439784074
ACH-000410,-0.31981445984960943
ACH-000411,-0.09729899825896247
ACH-000414,-0.20328447460795904
ACH-000415,-0.223817170016936
ACH-000416,-0.26801745527312915
ACH-000420,-0.26040388185257113
ACH-000421,-0.2601584898559923
