,RNGTT (8732)
ACH-000004,-1.3904424278761771
ACH-000005,-1.4262554207026767
ACH-000007,-1.5822373782614731
ACH-000009,-1.3246975888938544
ACH-000011,-1.3635788551573806
ACH-000012,-1.2026877435898768
ACH-000013,-1.4676908086372538
ACH-000014,-1.4843427460332264
ACH-000015,-1.4068023980066953
ACH-000017,-1.3400716191719035
ACH-000018,-1.3006565708003268
ACH-000019,-1.5632717874041595
ACH-000021,-1.2335123375550936
ACH-000022,-1.4196243163845943
ACH-000025,-1.439625655999686
ACH-000028,-1.2323138607118422
ACH-000030,-1.4733233574443376
ACH-000035,-1.4416792413320616
ACH-000036,-1.3137006259268391
ACH-000037,-1.5493259804670283
ACH-000039,-1.4448118166268016
ACH-000040,-1.2204089697811569
ACH-000041,-1.4383047107953908
ACH-000042,-1.523881889046243
ACH-000045,-1.365353849145727
ACH-000047,-1.2859269366286752
ACH-000052,-1.327231166423582
ACH-000053,-1.3867361929007973
ACH-000054,-1.313765817243554
ACH-000055,-1.4826392136234532
ACH-000060,-1.6271174794689922
ACH-000067,-1.2213379517561425
ACH-000070,-1.5223236309965695
ACH-000075,-1.203141564130534
ACH-000078,-1.3043072718145017
ACH-000082,-1.5994030769462133
ACH-000085,-1.395847734631522
ACH-000086,-1.338164089554669
ACH-000087,-1.5871550428841208
ACH-000092,-1.3138840968966763
ACH-000095,-1.36086737483851
ACH-000097,-1.4482613809839435
ACH-000098,-1.271467268599136
ACH-000099,-1.1924591444910402
ACH-000108,-1.2863547641497115
ACH-000113,-1.2772607632965034
ACH-000116,-1.453032220151347
ACH-000118,-1.2916256502528205
ACH-000120,-1.4237055292230882
ACH-000123,-1.492898615803374
ACH-000127,-1.4817346901073247
ACH-000128,-1.2578342524505348
ACH-000132,-1.2311030133902416
ACH-000133,-1.2706735370671964
ACH-000137,-1.3939033158115024
ACH-000138,-1.435454933977974
ACH-000142,-1.1705961597935326
ACH-000143,-1.437837306743311
ACH-000146,-1.450603023267356
ACH-000148,-1.5131652525499264
ACH-000150,-1.2932871296849229
ACH-000152,-1.3194789644914937
ACH-000153,-1.288572008544512
ACH-000159,-1.3713234083450323
ACH-000160,-1.406185292709299
ACH-000163,-1.3571872016463997
ACH-000167,-1.8560381229604472
ACH-000168,-1.377359356382988
ACH-000169,-1.2309130557740586
ACH-000178,-1.3762616586547978
ACH-000183,-1.6165569163991145
ACH-000188,-1.3288771919129512
ACH-000189,-1.5996304821428335
ACH-000190,-1.2178083091741043
ACH-000198,-1.2814526825705828
ACH-000203,-0.7262056764920061
ACH-000204,-1.00793852672419
ACH-000206,-1.5794428124637503
ACH-000207,-1.5735828805844296
ACH-000208,-1.0648209301157878
ACH-000210,-1.3196123689203805
ACH-000211,-1.2324772595516869
ACH-000215,-1.1905273822808642
ACH-000221,-1.5007700152564702
ACH-000222,-1.5509635624005436
ACH-000223,-1.4149218673573825
ACH-000226,-1.3188278394712614
ACH-000227,-1.1581799176859429
ACH-000228,-1.3303711508350762
ACH-000231,-1.2816044561848337
ACH-000232,-1.3799185787172372
ACH-000233,-1.375149246990929
ACH-000234,-1.225782212367084
ACH-000235,-1.256835159377513
ACH-000237,-1.2808978367340484
ACH-000238,-1.2531892724566986
ACH-000242,-1.191128695675691
ACH-000243,-1.3727261811247375
ACH-000244,-1.32296949514443
ACH-000246,-1.2095593465173802
ACH-000248,-1.156752453359396
ACH-000250,-1.2899037955130244
ACH-000251,-1.4136852345381676
ACH-000252,-1.2210161076496122
ACH-000253,-1.4435356089990237
ACH-000255,-1.2018569690719856
ACH-000256,-1.5046125230061702
ACH-000257,-1.2817285152652804
ACH-000258,-1.5142625195789308
ACH-000259,-1.4745569852571745
ACH-000260,-1.4542383011870854
ACH-000261,-1.3393977949992508
ACH-000262,-1.6284991395256865
ACH-000263,-1.7288382098156132
ACH-000264,-1.4338514302119016
ACH-000265,-1.4736939228070831
ACH-000266,-1.3808028462526234
ACH-000272,-1.2838756643770508
ACH-000274,-1.4791952580295804
ACH-000277,-1.2946821287909498
ACH-000278,-1.318921629115289
ACH-000279,-1.2626968329114094
ACH-000280,-1.3644126193904225
ACH-000281,-1.317466232013773
ACH-000288,-1.3014425342890974
ACH-000291,-1.3232808994047305
ACH-000293,-1.1705667433439702
ACH-000294,-1.485958184764275
ACH-000295,-1.312317055504432
ACH-000296,-1.3790803541048493
ACH-000302,-1.4521895640371043
ACH-000304,-1.8327827773265304
ACH-000307,-1.3379060088920445
ACH-000308,-1.5114385816910831
ACH-000310,-1.1478646232802543
ACH-000311,-1.3728157917234558
ACH-000312,-1.3758897890474382
ACH-000315,-1.1000547814771526
ACH-000316,-1.3476724346537472
ACH-000317,-1.4678188885396386
ACH-000318,-1.4368239025642555
ACH-000319,-1.3767615417553032
ACH-000320,-1.5400590813879875
ACH-000322,-1.288720452649054
ACH-000323,-1.459315835355066
ACH-000324,-1.2242362424604216
ACH-000329,-1.3367868987299327
ACH-000330,-1.2938604387702748
ACH-000331,-1.4279977476141483
ACH-000332,-1.2299301289468738
ACH-000334,-2.013254739693791
ACH-000335,-1.3014478374505585
ACH-000336,-1.8780267085682427
ACH-000337,-1.4433132259519872
ACH-000338,-1.572110449526665
ACH-000339,-1.3300855590578622
ACH-000341,-1.4401889711220737
ACH-000348,-1.4287328232264938
ACH-000350,-1.5788213024987598
ACH-000352,-1.4323054645796764
ACH-000356,-1.3380279969428366
ACH-000361,-1.6053455942465418
ACH-000362,-1.3497379321003797
ACH-000363,-1.3143883944438588
ACH-000364,-1.2918984045370496
ACH-000365,-1.3376206791985474
ACH-000366,-1.4216168940026552
ACH-000368,-1.3184170053235478
ACH-000374,-1.3617755526910231
ACH-000375,-1.3491800918252093
ACH-000376,-1.3119705764707283
ACH-000381,-1.295455308834636
ACH-000383,-1.304433497567852
ACH-000387,-1.3992888090290498
ACH-000389,-1.8624732476271049
ACH-000390,-1.5384244751030134
ACH-000393,-1.3961736745690858
ACH-000395,-1.2424004505063075
ACH-000396,-1.2363428310079037
ACH-000397,-1.5867905304442949
ACH-000401,-1.2387436933795577
ACH-000402,-1.1962553318359468
ACH-000403,-1.4463251033090467
ACH-000404,-1.5889493414558906
ACH-000406,-1.4585617770103427
ACH-000407,-1.2056102804882622
ACH-000408,-1.5016601818114137
ACH-000410,-1.2533705986962913
ACH-000411,-1.4237582020767312
ACH-000414,-1.501990033184876
ACH-000415,-1.4210621859473005
ACH-000416,-1.3406574107155678
ACH-000420,-1.3254645819855142
ACH-000421,-1.1934994398806344
ACH-000424,-1.3712052276579818
ACH-000425,-1.3613824279425792
ACH-000426,-1.3508141310257855
ACH-000427,-1.3936322654627558
ACH-000433,-1.318078327289644
ACH-000435,-0.979331913503498
ACH-000436,-1.366100603009737
ACH-000444,-1.177703705384746
ACH-000445,-1.1399931291191923
ACH-000448,-1.3626327981835376
ACH-000450,-1.5382899152158016
ACH-000452,-1.3329190971918332
ACH-000454,-1.3326916471617876
ACH-000458,-1.5280704324897514
ACH-000459,-1.873463517626745
ACH-000460,-1.3954447584589422
ACH-000461,-1.1851212426627908
ACH-000463,-1.244872335883235
ACH-000464,-1.1607517162404497
ACH-000466,-1.464228295649694
ACH-000467,-1.2317324176910358
ACH-000468,-1.413983623824857
ACH-000469,-1.392821069977948
ACH-000470,-1.5335316009885034
ACH-000471,-1.3208162483814023
ACH-000472,-1.363545942593969
ACH-000473,-1.5520075493852103
ACH-000475,-1.2909801648445427
ACH-000476,-1.3382997948389461
ACH-000477,-1.527787267686558
ACH-000479,-1.2075522257131972
ACH-000480,-1.4629548306563556
ACH-000481,-1.5077145044537916
ACH-000483,-1.7516493944138471
ACH-000484,-1.3544064854773483
ACH-000485,-1.2015538618563268
ACH-000486,-1.2314490782543963
ACH-000487,-1.3449079559177952
ACH-000488,-1.235387526856681
ACH-000490,-1.2217189288366923
ACH-000491,-1.543454335603134
ACH-000495,-1.3563071482558338
ACH-000496,-1.4002777654389449
ACH-000499,-1.4612038932052904
ACH-000500,-1.4956508337622958
ACH-000502,-1.3166995624538778
ACH-000503,-1.5928138535836824
ACH-000505,-1.1354050257209434
ACH-000507,-1.2981927156907531
