,MMAB (326625)
ACH-000004,-0.1962798856128904
ACH-000005,-0.19119520376294488
ACH-000007,-0.3652941515106396
ACH-000009,-0.2379644019820741
ACH-000011,-0.32921063766323844
ACH-000012,-0.28657637903051697
ACH-000013,-0.13657276901003748
ACH-000014,-0.12418895446303105
ACH-000015,-0.2531207605115545
ACH-000017,-0.28420337154064745
ACH-000018,-0.21920003340149427
ACH-000019,-0.05787798932658135
ACH-000021,-0.4038482307530144
ACH-000022,-0.22201484398528384
ACH-000025,-0.2458466237966835
ACH-000028,-0.21924951729422476
ACH-000030,-0.12532514270042272
ACH-000035,-0.22152288157141808
ACH-000036,-0.19050562408034885
ACH-000037,-0.3432310217326071
ACH-000039,0.05445205323866506
ACH-000040,-0.2848470737920143
ACH-000041,-0.3632540922445194
ACH-000042,-0.2509356742166015
ACH-000045,-0.3167717473660914
ACH-000047,-0.13895589067562025
ACH-000052,0.032445519831645835
ACH-000053,-0.1730023702594333
ACH-000054,-0.3692919999028731
ACH-000055,-0.059188198654661274
ACH-000060,-0.3077088373298852
ACH-000067,-0.10945804564237444
ACH-000070,-0.24511636401394715
ACH-000075,-0.24730258842040334
ACH-000078,-0.24263214785248516
ACH-000082,-0.2059747326536452
ACH-000085,-0.4591478164629862
ACH-000086,-0.3313284194227066
ACH-000087,-0.2541232763094464
ACH-000092,-0.23925189616804746
ACH-000095,-0.329442461529297
ACH-000097,-0.2017979939362146
ACH-000098,-0.28810023727235484
ACH-000099,-0.1949101036746585
ACH-000108,-0.13594356271607513
ACH-000113,-0.1502961913154092
ACH-000116,-0.2357688214955033
ACH-000118,-0.18301264737355494
ACH-000120,-0.2428186061271301
ACH-000123,-0.35155232230593225
ACH-000127,-0.2703418229887095
ACH-000128,-0.34746400935749555
ACH-000132,-0.14020332428394308
ACH-000133,-0.2718280649956144
ACH-000137,-0.072835685103135
ACH-000138,-0.336581865061616
ACH-000142,-0.24714157727034064
ACH-000143,-0.3255818869294224
ACH-000146,-0.1414406439690699
ACH-000148,-0.2425955991014152
ACH-000150,-0.2880385545945795
ACH-000152,-0.2999369639201239
ACH-000153,-0.1531437934747892
ACH-000159,-0.16619272691254813
ACH-000160,-0.26378560396501205
ACH-000163,-0.38427466729229454
ACH-000167,-0.2398476568552018
ACH-000168,-0.20963555237329465
ACH-000169,-0.3933605195175911
ACH-000178,-0.246644835695807
ACH-000183,-0.352259533840424
ACH-000188,-0.07348556950402385
ACH-000189,-0.16175453158456352
ACH-000190,-0.0458412771160566
ACH-000198,-0.3617026393682923
ACH-000203,0.15849810097851846
ACH-000204,-0.28864301257716685
ACH-000206,-0.03441338457326972
ACH-000207,0.021219806157725882
ACH-000208,-0.28372619820417416
ACH-000210,-0.4173439770394394
ACH-000211,-0.3543568330468597
ACH-000215,-0.3492009664577877
ACH-000221,-0.0454477188448118
ACH-000222,-0.11454054121028548
ACH-000223,-0.17777962973422104
ACH-000226,-0.22451044897720207
ACH-000227,-0.3414100161870266
ACH-000228,-0.3000790090833569
ACH-000231,-0.2797986534079917
ACH-000232,-0.2660694103788384
ACH-000233,-0.3192774743410731
ACH-000234,-0.3638507804529784
ACH-000235,-0.2444918601669182
ACH-000237,-0.2850551225445803
ACH-000238,-0.3257338271337366
ACH-000242,-0.20667858116700644
ACH-000243,-0.09735923082156116
ACH-000244,-0.1948564127847696
ACH-000246,-0.1927012503802662
ACH-000248,-0.04563208560316162
ACH-000250,-0.2823396450972919
ACH-000251,-0.3479996813639934
ACH-000252,-0.1729183817483829
ACH-000253,-0.1732962548026181
ACH-000255,-0.1318121485130853
ACH-000256,-0.3146837910032125
ACH-000257,0.12020424004876892
ACH-000258,-0.17403081279378466
ACH-000259,-0.3760784473062217
ACH-000260,-0.16924894332460733
ACH-000261,-0.3691045931126177
ACH-000262,-0.2693828096131393
