,MZB1 (51237)
ACH-000004,-0.0750319760765681
ACH-000005,0.12795193909896915
ACH-000007,0.006852101025427796
ACH-000009,-0.11978735456957187
ACH-000011,-0.014454638185769794
ACH-000012,-0.06404684433118693
ACH-000013,-0.19015988140353293
ACH-000014,-0.13460530764708786
ACH-000015,-0.18683357908640585
ACH-000017,-0.015262075214738038
ACH-000018,-0.20626065009744832
ACH-000019,-0.16212188234140473
ACH-000021,-0.1430423656219595
ACH-000022,-0.12086773871877775
ACH-000025,-0.10019862386004856
ACH-000028,-0.22433614089587006
ACH-000030,-0.04097647896492712
ACH-000035,-0.14165352032356768
ACH-000036,-0.07435256690413637
ACH-000037,-0.2629148061087589
ACH-000039,-0.176371257087849
ACH-000040,-0.20831763169137912
ACH-000041,-0.20779640921371476
ACH-000042,-0.12149665544218513
ACH-000045,-0.09472978479479446
ACH-000047,-0.16922540898941152
ACH-000052,-0.06082710918432456
ACH-000053,-0.013258988341013798
ACH-000054,-0.03193238504448389
ACH-000055,-0.31698046659642115
ACH-000060,-0.06786021297040168
ACH-000067,-0.14085682462568785
ACH-000070,-0.04326089476922698
ACH-000075,-0.06103461072793826
ACH-000078,-0.18126158182821867
ACH-000082,-0.1288520212012219
ACH-000085,-0.27250387524580544
ACH-000086,-0.07057330128155209
ACH-000087,-0.3470865989590103
ACH-000092,-0.05157016118948505
ACH-000095,-0.11595026534875355
ACH-000097,-0.0754160104409358
ACH-000098,-0.13419415421644235
ACH-000099,-0.17206608449974128
ACH-000108,-0.31429399050065965
ACH-000113,-0.07052152467845631
ACH-000116,-0.13176544269907556
ACH-000118,-0.038741485716901364
ACH-000120,-0.1496820036357888
ACH-000123,0.001824909012566059
ACH-000127,-0.019537414821771938
ACH-000128,-0.07914298831829218
ACH-000132,-0.2530946855075673
ACH-000133,-0.12752915427176112
ACH-000137,-0.07023583884784831
ACH-000138,-0.07594088011203304
ACH-000142,-0.14721435381385348
ACH-000143,-0.09385017272563334
ACH-000146,-0.1371642505525693
ACH-000148,-0.20077537536723947
ACH-000150,-0.11962833857650232
ACH-000152,-0.07611093572615253
ACH-000153,-0.12140556201727615
ACH-000159,-0.1024512516546103
ACH-000160,0.027218141144204244
ACH-000163,-0.13403541151426815
ACH-000167,-0.19974841525377307
ACH-000168,-0.1605395018229237
ACH-000169,-0.22083401461126825
ACH-000178,-0.09338723839952608
ACH-000183,0.05495647049423572
ACH-000188,-0.1966503770094941
ACH-000189,-0.13251245561894645
ACH-000190,-0.1909930883542928
ACH-000198,0.0855789118659163
ACH-000203,0.09656435766838542
ACH-000204,-0.2747580369247877
ACH-000206,-0.2536945932181501
ACH-000207,0.06100345141466276
ACH-000208,-0.35055436888787245
ACH-000210,-0.07072232410223385
ACH-000211,-0.12867270272194792
ACH-000215,-0.008763275191492309
ACH-000221,-0.05094379926742715
ACH-000222,-0.1205748092662546
ACH-000223,-0.12848706665668214
ACH-000226,-0.2971848238884778
ACH-000227,-0.1608175591949296
ACH-000228,-0.07538261968451139
ACH-000231,-0.19725833963406034
ACH-000232,-0.24809681166659905
ACH-000233,-0.2783240785922495
ACH-000234,-0.11189434514591257
ACH-000235,-0.06671604070064106
ACH-000237,-0.09731278906681226
ACH-000238,-0.19053703202491654
ACH-000242,0.33199289197119514
ACH-000243,-0.1885853301754904
ACH-000244,-0.1278361812595511
ACH-000246,-0.15688963848164034
ACH-000248,-0.1592017289248205
ACH-000250,-0.15592347568687834
ACH-000251,-0.13960133178090384
ACH-000252,-0.2958940077794338
ACH-000253,-0.11265806385004973
