,NDUFAB1 (4706)
ACH-000004,-0.7813918150149044
ACH-000005,-0.5500273795917044
ACH-000007,-0.880698553952045
ACH-000009,-0.3003517602903111
ACH-000011,-0.6822304535031898
ACH-000012,-0.9596351382081124
ACH-000013,-0.8037038523977605
ACH-000014,-0.8274850632056655
ACH-000015,-0.7994566983728635
ACH-000017,-0.832502066618276
ACH-000018,-0.736410383858801
ACH-000019,-0.4096824241535244
ACH-000021,-0.4820306039002705
ACH-000022,-0.7353769298017457
ACH-000025,-0.8402632652148899
ACH-000028,-0.6560074752801918
ACH-000030,-0.5251595730564417
ACH-000035,-0.5205717881452717
ACH-000036,-0.299847910994058
ACH-000037,-0.7779786973927514
ACH-000039,-0.4726004599720834
ACH-000040,-1.0128519576064556
ACH-000041,-0.6281561153059739
ACH-000042,-0.5998939749014921
ACH-000045,-0.7738363987748523
ACH-000047,-0.7175201282147644
ACH-000052,-0.6222938296388183
ACH-000053,-0.5022012986974607
ACH-000054,-0.5677741258074835
ACH-000055,-0.73634366333468
ACH-000060,-0.4267682857803468
ACH-000067,-0.6449985243188611
ACH-000070,-0.7599235822984524
ACH-000075,-0.6850420369093052
ACH-000078,-0.7854467470795709
ACH-000082,-0.7375508668447357
ACH-000085,-1.0121499225203665
ACH-000086,-0.6142908290039842
ACH-000087,-0.7017957402517438
ACH-000092,-0.6729965050312479
ACH-000095,-0.6342329561690345
ACH-000097,-0.5049868767330095
ACH-000098,-0.7665340773664004
ACH-000099,-0.6692917620533412
ACH-000108,-0.5249634159953642
ACH-000113,-0.4637627947121383
ACH-000116,-0.5361410796966538
ACH-000118,-0.4398098947540233
ACH-000120,-0.4662739175291676
ACH-000123,-0.4843474513252218
ACH-000127,-0.4932987536201544
ACH-000128,-0.7909263334018023
ACH-000132,-0.5606368768470775
ACH-000133,-0.5027607048554721
ACH-000137,-0.7037678986983984
ACH-000138,-0.774556182976722
ACH-000142,-0.5915016557249858
ACH-000143,-0.6019355401924408
ACH-000146,-0.6429775862415656
ACH-000148,-0.9476714127586146
ACH-000150,-0.4887062542571988
ACH-000152,-0.6097585443364835
ACH-000153,-0.685067588437465
ACH-000159,-0.3713995082938568
ACH-000160,-0.5303705295585733
ACH-000163,-0.8190823796398357
ACH-000167,-0.13576410688088128
ACH-000168,-0.34139597444627745
ACH-000169,-0.8076903314979095
ACH-000178,-0.6588398743383048
ACH-000183,-0.8789691052463489
ACH-000188,-0.6520233495908451
ACH-000189,-0.7119516261424311
ACH-000190,-0.5370032254954256
ACH-000198,-0.5363805997343193
ACH-000203,-0.4092287401589666
ACH-000204,-0.20082948993342328
ACH-000206,-0.7817468435296143
ACH-000207,-0.4691731405199048
ACH-000208,-0.8323307935322123
ACH-000210,-0.3844157924543147
ACH-000211,-0.8880209296821702
ACH-000215,-0.8381003295708657
ACH-000221,-0.8004643881813485
ACH-000222,-0.4469557015841487
ACH-000223,-0.6372102138295523
ACH-000226,-0.7831117872928597
ACH-000227,-0.4306562768197492
ACH-000228,-0.7968683658126857
ACH-000231,-0.4380475595029415
