,POTEH (23784)
ACH-000004,-0.17667651686210886
ACH-000005,-0.06318450897165727
ACH-000007,-0.061921779425987915
ACH-000009,-0.08836306683905075
ACH-000011,-0.10700498214475733
ACH-000012,-0.26681260039307064
ACH-000013,-0.2224280934107545
ACH-000014,-0.37104852659419824
ACH-000015,-0.09569473387793938
ACH-000017,-0.3894807686580464
ACH-000018,-0.14878750143932587
ACH-000019,-0.4499785455825175
ACH-000021,0.04279089893449137
ACH-000022,-0.2645246205566619
ACH-000025,-0.5164806831490476
ACH-000028,-0.2535759844285148
ACH-000030,-0.13042280651706978
ACH-000035,-0.11905567259226485
ACH-000036,-0.2367058055050321
ACH-000037,-0.4737052124871785
ACH-000039,-0.2116893723234098
ACH-000040,-0.2465416280470697
ACH-000041,-0.3727109821214826
ACH-000042,-0.05242970810079101
ACH-000045,0.17244993819893326
ACH-000047,-0.19205795399129544
ACH-000052,-0.3003220197834473
ACH-000053,-0.2304462731675677
ACH-000054,-0.11372090079503715
ACH-000055,-0.1154452962172467
ACH-000060,-0.2374329628210794
ACH-000067,-0.3241702597124557
ACH-000070,-0.2702453094880015
ACH-000075,-0.040980880454033634
ACH-000078,0.0930558480566121
ACH-000082,-0.11266711372969496
ACH-000085,-0.2465667200167815
ACH-000086,-0.2526572667737043
ACH-000087,-0.0995661950199484
ACH-000092,-0.08435495010461226
ACH-000095,-0.292220411717327
ACH-000097,-0.1180197093753245
ACH-000098,0.011286934252705357
ACH-000099,-0.09709848051570363
ACH-000108,-0.4129746995249657
ACH-000113,-0.2951031390212569
ACH-000116,0.001687087197870614
ACH-000118,-0.4084810206350426
ACH-000120,-0.15685124543564427
ACH-000123,-0.16364958077044878
ACH-000127,-0.13523846828074199
ACH-000128,-0.5266756872460044
ACH-000132,-0.2405719619509408
ACH-000133,-0.3945813610271058
ACH-000137,-0.0605309506801845
ACH-000138,-0.1209493560224576
ACH-000142,-0.30420149004542074
ACH-000143,-0.21048291155037974
ACH-000146,-0.03740153246619229
ACH-000148,-0.2457279917463793
ACH-000150,-0.09450577777540606
ACH-000152,-0.40533414631401854
ACH-000153,-0.0021627148956771865
ACH-000159,-0.13089568664997922
ACH-000160,-0.2423836809203053
ACH-000163,-0.14574326997767592
ACH-000167,-0.2400272604625785
ACH-000168,-0.12884108013132092
ACH-000169,-0.15516280759336934
ACH-000178,-0.11082322998236424
ACH-000183,0.07289876984025014
ACH-000188,-0.16436612728417568
ACH-000189,-0.08638466643794361
ACH-000190,-0.20202709647031328
ACH-000198,-0.19389247490730474
ACH-000203,-0.20160199777885893
ACH-000204,-0.3612577647434397
ACH-000206,-0.356330744342262
ACH-000207,-0.1228920489407793
ACH-000208,-0.1952821658424193
ACH-000210,-0.4333073603771515
ACH-000211,-0.2444572980617055
ACH-000215,-0.2187581530216176
ACH-000221,-0.3179751426915347
ACH-000222,-0.4255113516127136
ACH-000223,-0.007727679379620109
ACH-000226,-0.32607735356888506
ACH-000227,-0.030373838243980187
ACH-000228,-0.043977412446163
ACH-000231,-0.10930399414812243
ACH-000232,-0.3748975161016428
ACH-000233,-0.03655137794541021
ACH-000234,0.025617090196573072
ACH-000235,-0.23093935155204695
ACH-000237,0.007171565213201419
ACH-000238,-0.07657092852840887
ACH-000242,-0.5147671630222399
ACH-000243,-0.222436281338054
ACH-000244,-0.0905731627293543
ACH-000246,-0.057394429965142615
ACH-000248,-0.6979182550768456
ACH-000250,-0.2686213261916315
ACH-000251,-0.17081334750832375
ACH-000252,-0.1222991236075857
ACH-000253,-0.11150511208954528
ACH-000255,-0.15589798272213476
ACH-000256,-0.0652051843258961
ACH-000257,-0.22545484368398397
ACH-000258,-0.3993341334406492
ACH-000259,-0.12175761128617164
ACH-000260,-0.05338836859326372
ACH-000261,-0.2026778910503086
ACH-000262,-0.17736433029337073
ACH-000263,-0.06868221147517159
ACH-000264,-0.13770602538218352
ACH-000265,-0.14741161320145593
ACH-000266,-0.3052703607785927
ACH-000272,-0.3115341886935085
ACH-000274,-0.2069541048182192
ACH-000277,-0.10916412860370936
ACH-000278,-0.09174701502541416
ACH-000279,-0.3377651384829517
ACH-000280,-0.3122612109945521
ACH-000281,-0.057089852790339325
ACH-000288,-0.2878791715103529
ACH-000291,-0.14940831321907272
ACH-000293,-0.049111594983377034
ACH-000294,-0.5313324435147084
ACH-000295,-0.07690577035517493
ACH-000296,-0.26026223414084804
ACH-000302,-0.21762023384408372
ACH-000304,-0.21390524177512985
ACH-000307,-0.0216827919089206
ACH-000308,-0.15170745000238348
ACH-000310,-0.20209571644902746
ACH-000311,-0.3491247770934028
ACH-000312,-0.2316351275222461
ACH-000315,-0.15812041187433182
ACH-000316,-0.24015771083033
ACH-000317,-0.062380405691405176
ACH-000318,-0.26684792549332603
ACH-000319,-0.2023804610904195
ACH-000320,-0.3172691274661371
ACH-000322,-0.27821012111562465
ACH-000323,-0.2952943528406152
ACH-000324,-0.2437705499598373
ACH-000329,-0.19243063952835604
ACH-000330,-0.2158826010616904
ACH-000331,0.03638395546215102
ACH-000332,-0.2642089892188277
ACH-000334,-0.23475372699716396
ACH-000335,-0.2603666083184479
ACH-000336,-0.2096395373503457
ACH-000337,0.0692019512670176
ACH-000338,-0.8014289744183912
ACH-000339,-0.14422379373629848
ACH-000341,-0.2347050812862987
ACH-000348,-0.3288692655022549
ACH-000350,-0.2454742205159837
ACH-000352,-0.1899395724412056
ACH-000356,-0.1605313247087697
ACH-000361,-0.048505885239139165
ACH-000362,-0.2964296615834452
ACH-000363,-0.1976435970947056
ACH-000364,-0.07629481804942861
ACH-000365,-0.17780425037346573
ACH-000366,-0.12727384708340556
ACH-000368,-0.2996142988496077
ACH-000374,-0.1448391155572062
ACH-000375,-0.17870942403273585
ACH-000376,-0.22515947517858945
ACH-000381,-0.24870242528727005
ACH-000383,-0.11343636038221143
ACH-000387,-0.25663006910601643
ACH-000389,-0.2400815509247445
ACH-000390,-0.2814949769216881
ACH-000393,-0.3435509511660931
ACH-000395,-0.08388231807574716
ACH-000396,-0.3407076275645481
ACH-000397,-0.3005886315113351
ACH-000401,-0.3517631123531392
ACH-000402,-0.5313070521975984
ACH-000403,-0.23006092730515346
ACH-000404,-0.08152405621751745
ACH-000406,-0.07134460101552409
ACH-000407,-0.3477661933336778
ACH-000408,-0.18065974876236476
ACH-000410,-0.21157123263910185
ACH-000411,-0.33883115825785
ACH-000414,-0.17553185476597327
ACH-000415,-0.12364859464544575
ACH-000416,-0.13107520679436585
ACH-000420,-0.2282730951323234
ACH-000421,-0.15823476182320895
ACH-000424,-0.3406857727625077
ACH-000425,-0.2828229037018448
ACH-000426,-0.4599633014938749
ACH-000427,0.002952938794683005
ACH-000433,-0.1836114816041474
ACH-000435,0.047119794387384346
ACH-000436,-0.27496878671750336
ACH-000444,-0.1641382982352054
ACH-000445,-0.2659322093772339
ACH-000448,-0.09818797144180397
ACH-000450,-0.3189190293485412
ACH-000452,-0.3089919786538261
ACH-000454,-0.4628297500771861
ACH-000458,-0.08457589852218593
ACH-000459,-0.12270678598144112
ACH-000460,-0.3548941908434545
ACH-000461,-0.595248734270558
ACH-000463,-0.18742661481888634
ACH-000464,-0.17391632808169336
ACH-000466,-0.21280692911506907
ACH-000467,-0.23683005773331414
ACH-000468,-0.14383724367220496
ACH-000469,-0.4508068361734644
ACH-000470,-0.3125661738292553
ACH-000471,-0.14816336371602445
ACH-000472,-0.2794073426263262
ACH-000473,-0.22398618019924796
ACH-000475,-0.3731400281336312
ACH-000476,-0.12925413635170174
ACH-000477,-0.014261218839760937
