,PDPR (55066)
ACH-000004,0.009631948542397331
ACH-000005,-0.13183375634002098
ACH-000007,-0.17790586179214726
ACH-000009,0.0660302409238125
ACH-000011,-0.16599360797015192
ACH-000012,-0.2502640732352425
ACH-000013,-0.22620302112209384
ACH-000014,-0.1842987651035854
ACH-000015,-0.15853924733645364
ACH-000017,-0.14191621747231764
ACH-000018,-0.2341077852862373
ACH-000019,-0.0592416900965553
ACH-000021,0.0027219598042206466
ACH-000022,-0.13650330397500732
ACH-000025,-0.2542439678903127
ACH-000028,-0.14973009838152168
ACH-000030,0.08867264698534832
ACH-000035,0.03965064263778725
ACH-000036,-0.2543130170257914
ACH-000037,-0.13696900717252772
ACH-000039,-0.16848633006815433
ACH-000040,-0.06324957663147887
ACH-000041,-0.0052654833419447005
ACH-000042,-0.21439418536822927
ACH-000045,-0.08832975613004422
ACH-000047,0.003277677176079487
ACH-000052,-0.16432432076519238
ACH-000053,-0.19226402671371973
ACH-000054,-0.3570401735525933
ACH-000055,-0.2568724466660297
ACH-000060,-0.07808694401151092
ACH-000067,-0.16312025118509038
ACH-000070,0.1232497759920854
ACH-000075,-0.18161607321528764
ACH-000078,-0.08322929171490498
ACH-000082,-0.16507546516309154
ACH-000085,0.02898148395480307
ACH-000086,-0.19040005352451148
ACH-000087,-0.01627725030369237
ACH-000092,-0.15277835106014864
ACH-000095,-0.23651403706352084
ACH-000097,-0.2569122711189026
ACH-000098,-0.1603905082705763
ACH-000099,-0.11258430142014476
ACH-000108,-0.27000962361186803
ACH-000113,-0.0062559224379892826
ACH-000116,0.12787747005855313
ACH-000118,-0.027838731198141342
ACH-000120,-0.3824616250747621
ACH-000123,-0.10251222267430772
ACH-000127,-0.11700548832291298
ACH-000128,-0.1665693664633217
ACH-000132,-0.5004001834786065
ACH-000133,-0.23330806960145475
ACH-000137,-0.2104141103711401
ACH-000138,-0.1209224466283394
ACH-000142,0.07675739481737033
ACH-000143,0.06540721613399356
ACH-000146,-0.18040691832079864
ACH-000148,-0.058834849915269126
ACH-000150,-0.12069510119818475
ACH-000152,-0.2341373883821686
ACH-000153,-0.22964924241778634
ACH-000159,-0.07310419047518599
ACH-000160,0.01390243422673309
ACH-000163,-0.037369324644232614
ACH-000167,-0.4248687836580717
ACH-000168,-0.04823540310369172
ACH-000169,0.1105661712475816
ACH-000178,-0.1823942421845307
ACH-000183,-0.036025360415288116
ACH-000188,-0.14387114529912706
ACH-000189,-0.11434602114843928
ACH-000190,-0.14620382336334528
ACH-000198,-0.14095039359036882
ACH-000203,-0.18395884393755016
ACH-000204,-0.12724096712567465
ACH-000206,-0.0559647866752338
ACH-000207,-0.03183327147978879
ACH-000208,-0.13656738428498508
