,TBL3 (10607)
ACH-000004,-0.8203659268064208
ACH-000005,-0.885852590816469
ACH-000007,-1.0099457868179538
ACH-000009,-0.44844281098239297
ACH-000011,-0.7232897232905892
ACH-000012,-0.8819782240689329
ACH-000013,-0.622243776605624
ACH-000014,-0.8532588479866358
ACH-000015,-0.8413753300352401
ACH-000017,-0.8555141754189093
ACH-000018,-0.98868510385006
ACH-000019,-0.6542625829395019
ACH-000021,-0.9386089802760594
ACH-000022,-0.6263467604734356
ACH-000025,-1.0344547156120631
ACH-000028,-0.8184516382663948
ACH-000030,-0.7856712688324594
ACH-000035,-0.8909474304471839
ACH-000036,-0.8705417142822209
ACH-000037,-0.7118240256235905
ACH-000039,-0.7958222243389101
ACH-000040,-0.8079342229481757
ACH-000041,-0.3819428172936541
ACH-000042,-0.6241861988544983
ACH-000045,-0.7940258818595766
ACH-000047,-0.6203973476946231
ACH-000052,-0.8133830774027124
ACH-000053,-0.555209095332966
ACH-000054,-0.8583393537084177
ACH-000055,-0.5297465947861071
ACH-000060,-0.8875314712886495
ACH-000067,-0.7012925266816388
ACH-000070,-0.6706865531149613
ACH-000075,-1.152200864898388
ACH-000078,-0.8208898056309516
ACH-000082,-0.9776222528921654
ACH-000085,-0.7207200754397457
ACH-000086,-1.043679991716083
ACH-000087,-0.835527948333772
ACH-000092,-0.8888604598013539
ACH-000095,-0.6421756616711645
ACH-000097,-0.6350029301953101
ACH-000098,-1.0512672088666348
ACH-000099,-0.9282330847126808
ACH-000108,-0.8570970341309855
ACH-000113,-0.6874675724315503
ACH-000116,-0.7532109472260089
ACH-000118,-0.6224139934370727
ACH-000120,-0.771260262067624
ACH-000123,-0.9258068611691352
ACH-000127,-0.9144602176959514
ACH-000128,-0.5701289406903367
ACH-000132,-0.8925868411761165
ACH-000133,-1.0345765117276566
ACH-000137,-0.9326225976594552
ACH-000138,-0.6565026937577518
ACH-000142,-0.9034449532000994
ACH-000143,-0.5013517944331487
ACH-000146,-0.6849407207583762
ACH-000148,-0.8917712993814378
ACH-000150,-0.8917719339053474
ACH-000152,-0.6769760983493512
ACH-000153,-0.8217013587326102
ACH-000159,-0.7543702829239569
ACH-000160,-0.8338036570755707
ACH-000163,-0.7621730777068467
ACH-000167,-0.7588210520805702
ACH-000168,-0.6944000101308747
ACH-000169,-0.9306003724730236
ACH-000178,-0.7039219524555044
ACH-000183,-0.7484275882395173
ACH-000188,-0.7842173638111842
ACH-000189,-0.7914052913417918
ACH-000190,-0.8007968291663818
ACH-000198,-0.4638282067830956
ACH-000203,-0.5783652962763425
ACH-000204,-0.8882510774108581
ACH-000206,-1.0275274877095408
ACH-000207,-0.5303173144586524
ACH-000208,-0.5583676390250825
ACH-000210,-0.9034803906500862
ACH-000211,-1.0681979279772718
ACH-000215,-0.9804432883133856
ACH-000221,-0.8253186094473934
ACH-000222,-0.5824273769210739
ACH-000223,-0.6675379388522402
ACH-000226,-0.9055980920102764
ACH-000227,-0.6744893246145387
ACH-000228,-0.7624118966923933
ACH-000231,-1.2210442587657555
ACH-000232,-0.7051856572203259
ACH-000233,-0.648200905448606
ACH-000234,-0.9173154185367974
ACH-000235,-0.5418621422630657
ACH-000237,-0.9319579763546983
ACH-000238,-0.5643740172860136
ACH-000242,-0.6773423469693767
ACH-000243,-0.8407198239244419
ACH-000244,-0.5448479407106214
ACH-000246,-0.770532961156749
ACH-000248,-0.8154397452681301
ACH-000250,-1.1141676398963374
ACH-000251,-1.2049502239077101
ACH-000252,-0.8820152776890816
ACH-000253,-0.9921267358975498
ACH-000255,-0.7591915246981717
ACH-000256,-0.5062857316998366
ACH-000257,-0.7315337012357599
ACH-000258,-0.7445796343633577
ACH-000259,-0.7821228275173373
ACH-000260,-0.95278099278158
ACH-000261,-0.8130127298885133
ACH-000262,-0.7584498809119045
ACH-000263,-0.6451803868268614
ACH-000264,-0.7648824282763049
