,PRKRIP1 (79706)
ACH-000004,-0.5910508777481261
ACH-000005,-0.4160206555244495
ACH-000007,-0.4111812963039344
ACH-000009,-0.4612606584311195
ACH-000011,-0.026755253913665702
ACH-000012,-0.5411549881169271
ACH-000013,-0.5181320293022903
ACH-000014,-0.4501830545567002
ACH-000015,-0.3792182489818904
ACH-000017,-0.381824339885154
ACH-000018,-0.3366961658675194
ACH-000019,-0.4259351748851
ACH-000021,-0.6741869122757987
ACH-000022,-0.7392120406484182
ACH-000025,-0.7476478973813717
ACH-000028,-0.4849714922916579
ACH-000030,-0.5834716858512529
ACH-000035,-0.6705816365889764
ACH-000036,-0.5499179940916468
ACH-000037,-0.6482219053237828
ACH-000039,-0.4296684132439634
ACH-000040,-0.5340266418988967
ACH-000041,-0.4938594096945022
ACH-000042,-0.622955237334031
ACH-000045,-0.3274553652383909
ACH-000047,-0.4331898348775912
ACH-000052,-0.3717932756493905
ACH-000053,-0.3467680669805823
ACH-000054,-0.2958087616345708
ACH-000055,-0.7906253347950463
ACH-000060,-0.5716866304082191
ACH-000067,-0.6714214524789313
ACH-000070,-0.5197556677976316
ACH-000075,-0.5966173664888764
ACH-000078,-0.4241756464689809
ACH-000082,-0.4715082429635206
ACH-000085,-0.5974632354926236
ACH-000086,-0.42029646569050383
ACH-000087,-0.63100350967103
ACH-000092,-0.33893965363031553
ACH-000095,-0.4756627869032682
ACH-000097,-0.2488255068082745
ACH-000098,-0.456545854063394
ACH-000099,-0.4620503054323398
ACH-000108,-0.7028606722756315
ACH-000113,-0.4691939130877373
ACH-000116,-0.3847262173808412
ACH-000118,-0.6278795966770558
ACH-000120,-0.6707451994650211
ACH-000123,-0.3660014268060193
ACH-000127,-0.6223918932221842
ACH-000128,-0.538738727788252
ACH-000132,-0.5715132518356412
ACH-000133,-0.4105686753407035
ACH-000137,-0.5201532025473866
ACH-000138,-0.5204049229929715
ACH-000142,-0.4642928136957289
ACH-000143,-0.6627973935140999
ACH-000146,-0.2994728389417574
ACH-000148,-0.6201771936563182
ACH-000150,-0.7308428857470363
ACH-000152,-0.5147797538586828
ACH-000153,-0.5848980768403479
ACH-000159,-0.3851927923031109
ACH-000160,-0.8120624362996635
ACH-000163,-0.6151517477523034
ACH-000167,-0.6424598052751489
ACH-000168,-0.3525942674064307
ACH-000169,-0.43823325895478377
ACH-000178,-0.6042960483933268
ACH-000183,-0.8491775443724162
ACH-000188,-0.6648457139476452
ACH-000189,-0.6886428298704399
ACH-000190,-0.7425000709250916
ACH-000198,-0.3860265581697516
ACH-000203,-0.6471554627064224
ACH-000204,-0.5664302086380171
ACH-000206,-0.3768502825333251
ACH-000207,-0.4327878355209412
ACH-000208,-0.6638492334342047
ACH-000210,-0.5988767015731948
ACH-000211,-0.6861336752495754
ACH-000215,-0.3477754353869869
ACH-000221,-0.5903781253330473
ACH-000222,-0.4951595729636103
ACH-000223,-0.42223571566315576
ACH-000226,-0.6938383323416089
ACH-000227,-0.4718912166231499
ACH-000228,-0.4367222419248033
ACH-000231,-0.5750821340382328
ACH-000232,-0.35817797238885585
ACH-000233,-0.5569601946693533
ACH-000234,-0.4012129179219561
ACH-000235,-0.4081736851980324
ACH-000237,-0.6684539238733271
ACH-000238,-0.6388991062638623
ACH-000242,-0.5834282272756733
ACH-000243,-0.6001844421210095
ACH-000244,-0.6266823587965273
ACH-000246,-0.4232314481626887
ACH-000248,-0.3986137090818383
ACH-000250,-0.5446464163290176
ACH-000251,-0.5290968951074334
ACH-000252,-0.4644466454110211
ACH-000253,-0.515004105497591
ACH-000255,-0.87311537804353
ACH-000256,-0.39496254871677977
ACH-000257,-0.3246566640776116
ACH-000258,-0.8094010189678751
ACH-000259,-0.4919853115071892
ACH-000260,-0.8560026821625996
ACH-000261,-0.5792223930414409
ACH-000262,-0.6674212533684181
ACH-000263,-0.48584450197728707
ACH-000264,-0.4769854685217561
ACH-000265,-0.5476237140789052
ACH-000266,-0.494114068168478
ACH-000272,-0.3143925551018697
ACH-000274,-0.3176365185985477
ACH-000277,-0.2373091326046948
ACH-000278,-0.7098948011110742
ACH-000279,-0.6119594304785569
ACH-000280,-0.4947992040598324
ACH-000281,-0.5161377997324934
ACH-000288,-0.589754259193824
ACH-000291,-0.3470222299231612
ACH-000293,-0.4721322784559653
ACH-000294,-0.5037042283379316
ACH-000295,-0.5244448217817406
ACH-000296,-0.4116818139641353
ACH-000302,-0.5767004769821523
ACH-000304,-0.4689593271523359
ACH-000307,-0.5768327905663158
ACH-000308,-0.3615094328485551
ACH-000310,-0.3579362453170452
ACH-000311,-0.3779888334477332
ACH-000312,-0.5805054164247637
ACH-000315,-0.40469695853280296
ACH-000316,-0.5510818091658655
ACH-000317,-0.6646955587861264
ACH-000318,-0.43122790682731066
ACH-000319,-0.5826981344656337
ACH-000320,-0.6536941402313641
ACH-000322,-0.4994305936610165
ACH-000323,-0.5318968095804661
ACH-000324,-0.4925702837981349
ACH-000329,-0.4413609624410905
ACH-000330,-0.7160477387493348
ACH-000331,-0.6066918566524346
ACH-000332,-0.38565981380689374
ACH-000334,-0.5017039804859018
ACH-000335,-0.43562015616566013
ACH-000336,-0.4974740398101166
ACH-000337,-0.5886012765932251
ACH-000338,-0.25810039808214075
ACH-000339,-0.6861345749271913
ACH-000341,-0.4275064331403376
ACH-000348,-0.7209225928247424
ACH-000350,-0.3597500829561912
ACH-000352,-0.3631689756247437
ACH-000356,-0.5071938899154741
ACH-000361,-0.466526967036711
ACH-000362,-0.1784511581434415
ACH-000363,-0.4641738313480567
ACH-000364,-0.620882677013734
ACH-000365,-0.5723421623685517
ACH-000366,-0.5714780684463028
ACH-000368,-0.6967086302983906
ACH-000374,-0.9162123663897171
ACH-000375,-0.4169996422501562
ACH-000376,-0.5150079888513368
ACH-000381,-0.5499026896639276
ACH-000383,-0.6551373877505814
ACH-000387,-0.4218079904868484
ACH-000389,-0.2678106868031175
ACH-000390,-0.5218437442634458
ACH-000393,-0.4560846521448501
ACH-000395,-0.3260793143122677
ACH-000396,-0.5977574808607745
ACH-000397,-0.3626252781175093
ACH-000401,-0.4686628046311314
ACH-000402,-0.7066973923151307
ACH-000403,-0.4192330402334436
ACH-000404,-0.6231018333806452
ACH-000406,-0.6620364874883425
ACH-000407,-0.6071079876095924
ACH-000408,-0.933783585008682
ACH-000410,-0.3165911288220102
ACH-000411,-0.5401812312523261
ACH-000414,-0.3096926573792754
ACH-000415,-0.8962524964133134
ACH-000416,-0.43085136596929946
ACH-000420,-0.35539483835427715
ACH-000421,-0.5312185309591715
ACH-000424,-0.5605520580553268
ACH-000425,-0.3759149605934642
ACH-000426,-0.3353491388772229
ACH-000427,-0.5675305010697766
ACH-000433,-0.5459761729657173
ACH-000435,-0.5546335009968562
ACH-000436,-0.4765270900367101
ACH-000444,-0.6802297908029676
ACH-000445,-0.7435783034874672
ACH-000448,-0.3235179147145665
ACH-000450,-0.3507412968232416
ACH-000452,-0.7960112858353597
ACH-000454,-0.714306183158747
ACH-000458,-0.624009175299151
ACH-000459,-0.5938146032975907
ACH-000460,-0.5001034339660093
ACH-000461,-0.6404939024715702
ACH-000463,-0.6709267865465551
ACH-000464,-0.4507941515930538
ACH-000466,-0.44418424355894615
ACH-000467,-0.3704758733733595
ACH-000468,-0.5720864994373038
ACH-000469,-0.8776013913969382
ACH-000470,-0.5140277048498473
ACH-000471,-0.4271751730460635
ACH-000472,-0.523433068887369
ACH-000473,-0.9848148298019602
ACH-000475,-0.4135272979390993
ACH-000476,-0.6109483559061695
