,IMPA1 (3612)
ACH-000004,-0.09350373461888166
ACH-000005,-0.11740157227489405
ACH-000007,-0.124252149010465
ACH-000009,-0.12414831445528304
ACH-000011,-0.07837519659920138
ACH-000012,-0.2010952906528337
ACH-000013,-0.09077841358403303
ACH-000014,0.04959489483451875
ACH-000015,-0.010677397318830809
ACH-000017,-0.03542902136904732
ACH-000018,-0.04402587303895901
ACH-000019,0.06431996993710222
ACH-000021,-0.004705610648147621
ACH-000022,-0.1372001011613942
ACH-000025,-0.09350690992317644
ACH-000028,-0.03290113829888292
ACH-000030,-0.10494770218689756
ACH-000035,0.010190285496859365
ACH-000036,-0.14080575618626676
ACH-000037,-0.16677876544306475
ACH-000039,-0.08317749698897697
ACH-000040,-0.09697092517372767
ACH-000041,-0.1874511061905923
ACH-000042,-0.12772699760550865
ACH-000045,0.07834889219353268
ACH-000047,-0.1031113972447495
ACH-000052,-0.288730354604932
ACH-000053,-0.08130462883426673
ACH-000054,-0.0950367165053604
ACH-000055,-0.24999538279407815
ACH-000060,-0.17340560767366708
ACH-000067,-0.08786213768045037
ACH-000070,-0.09691963509703452
ACH-000075,-0.0914530242126598
ACH-000078,-0.08704482437231131
ACH-000082,-0.1227330834881058
ACH-000085,-0.27464018383595645
ACH-000086,0.04326335667758691
ACH-000087,-0.10495039113441773
ACH-000092,-0.1454434927741313
ACH-000095,-0.03529438518930788
ACH-000097,-0.1252231109291225
ACH-000098,-0.06012651253037107
ACH-000099,-0.08697169788386808
ACH-000108,0.02345372703262669
ACH-000113,-0.06138699676628258
ACH-000116,0.0047954169954503205
ACH-000118,-0.014405158887168671
ACH-000120,-0.005416918573693772
ACH-000123,-0.11494214760739907
ACH-000127,-0.06024472673421701
ACH-000128,0.02216178203521989
ACH-000132,0.05701515832328824
ACH-000133,-0.10454149115637973
ACH-000137,0.04721492263689474
ACH-000138,-0.07053751371426731
ACH-000142,-0.07449825674695529
ACH-000143,-0.18659007042455086
ACH-000146,-0.06421484229345713
ACH-000148,-0.08961154226119745
