,CRAT (1384)
ACH-000004,-0.2618658158470435
ACH-000005,0.014168727567037104
ACH-000007,-0.2644700418812659
ACH-000009,-0.2039627862961111
ACH-000011,-0.08877316431909406
ACH-000012,-0.2909268061815625
ACH-000013,-0.3123981799022957
ACH-000014,-0.14293145171391874
ACH-000015,-0.26196998882037364
ACH-000017,-0.12364816763079314
ACH-000018,-0.29282780958356364
ACH-000019,-0.14082227113099033
ACH-000021,-0.14728762457918645
ACH-000022,-0.08859535762925855
ACH-000025,-0.0999458366450688
ACH-000028,-0.0901482411440139
ACH-000030,-0.12264524235667636
ACH-000035,-0.1059054386377122
ACH-000036,-0.2553755268472935
ACH-000037,-0.11254651286884104
ACH-000039,0.11495118520387425
ACH-000040,-0.08897746927321287
ACH-000041,-0.12727757700830167
ACH-000042,-0.25449910706710666
ACH-000045,0.02603411539167474
ACH-000047,-0.115659719522728
ACH-000052,-0.4192894459308432
ACH-000053,-0.1179603194379816
ACH-000054,-0.2176308307589408
ACH-000055,-0.12908530907961885
ACH-000060,-0.21971473373468187
ACH-000067,0.0360378705525729
ACH-000070,-0.2571868205268258
ACH-000075,0.003937461258745954
ACH-000078,-0.2520969372049737
ACH-000082,-0.1378567457888201
ACH-000085,-0.14374857139436822
ACH-000086,-0.3526881364881321
ACH-000087,-0.4122281668753377
ACH-000092,-0.267087977148013
ACH-000095,-0.04107015537573034
ACH-000097,-0.07897508057000431
ACH-000098,-0.14309542724623106
ACH-000099,-0.24980979438038214
ACH-000108,-0.2522318366219737
ACH-000113,-0.13343663768146358
ACH-000116,-0.061195075031368125
ACH-000118,-0.23454589915609544
ACH-000120,-0.2230363144111411
ACH-000123,-0.1872682114272993
ACH-000127,-0.1393463742785591
ACH-000128,-0.1767072997186989
ACH-000132,-0.263193672523959
ACH-000133,0.013358318660164504
ACH-000137,-0.14350349459627634
ACH-000138,-0.24136017241113636
ACH-000142,-0.2936542287686794
ACH-000143,-0.2476458121755009
ACH-000146,-0.15542962034387964
ACH-000148,-0.15607874430035218
ACH-000150,-0.17784496119619236
ACH-000152,-0.3906449309068483
ACH-000153,-0.10557462331786026
ACH-000159,-0.13530686845403933
ACH-000160,-0.2495315240966095
ACH-000163,-0.08207929814650383
ACH-000167,-0.2872738694450901
ACH-000168,-0.17586530643343345
ACH-000169,-0.3797364214058006
ACH-000178,0.02712718900715564
ACH-000183,-0.2313626173153203
ACH-000188,-0.3759353911337638
ACH-000189,-0.11068803998868036
ACH-000190,0.01742732967022007
ACH-000198,-0.18829655945613152
ACH-000203,-0.8210890538656328
ACH-000204,-0.0192421249004852
ACH-000206,0.06704804002461677
ACH-000207,-0.10565231818485367
ACH-000208,-0.198988848669648
ACH-000210,0.021523567658329603
ACH-000211,-0.08236454163282618
ACH-000215,-0.10898765986996088
ACH-000221,-0.1282026399937246
ACH-000222,-0.22685374886106474
ACH-000223,-0.051905037700727685
ACH-000226,0.02710281417837269
ACH-000227,-0.3197840001411174
ACH-000228,-0.1118403610437981
ACH-000231,-0.1293853915253417
ACH-000232,-0.08630054423318645
ACH-000233,-0.12977407513005673
ACH-000234,-0.230504953987776
ACH-000235,-0.14396062000419693
ACH-000237,-0.18940651187509824
ACH-000238,-0.1797932466038773
ACH-000242,-0.13432597769033489
ACH-000243,-0.20748523804709804
ACH-000244,-0.121572374265868
ACH-000246,-0.15221643975188726
ACH-000248,-0.15633345932395667
ACH-000250,-0.3222801611277687
ACH-000251,-0.21918245249062734
ACH-000252,0.127338553992498
ACH-000253,-0.09294866135583416
ACH-000255,-0.10816314564342287
ACH-000256,-0.18228817859944527
ACH-000257,-0.2477664425024494
ACH-000258,-0.2346869234056973
ACH-000259,-0.3429025006157788
ACH-000260,-0.1916399556668243
ACH-000261,-0.04782037271632298
ACH-000262,0.21895172008890684
ACH-000263,-0.1416001168508194
ACH-000264,-0.12338913453113452
ACH-000265,-0.11721656701655653
ACH-000266,-0.338045845811013
ACH-000272,-0.2720418167891901
ACH-000274,-0.21311684832578406
ACH-000277,-0.19791414809416966
ACH-000278,-0.19715978285942004
ACH-000279,-0.07368442546872615
ACH-000280,-0.2605663365917893
ACH-000281,-0.0791175770596983
ACH-000288,-0.2298676173964539
ACH-000291,-0.2030913342389228
ACH-000293,-0.24056515870148906
ACH-000294,-0.19222785935919495
ACH-000295,-0.2397995686358743
ACH-000296,-0.10661774230368412
ACH-000302,-0.158547924789418
ACH-000304,-0.26761793061532885
ACH-000307,-0.22499144168790636
ACH-000308,-0.10806599322576346
ACH-000310,-0.08465223955855107
ACH-000311,-0.1533185502234389
ACH-000312,-0.21622207965748985
ACH-000315,-0.2932324350178732
ACH-000316,0.04050633626868544
ACH-000317,-0.153794768542156
ACH-000318,-0.1491889513363557
ACH-000319,0.04000237471344705
ACH-000320,-0.1797765192760715
ACH-000322,-0.01967919636162246
ACH-000323,-0.24364266917783275
ACH-000324,-0.1535349012049137
ACH-000329,-0.2094391255635199
ACH-000330,-0.07137947891770755
ACH-000331,-0.1213273057183296
ACH-000332,-0.1867511448150164
ACH-000334,-0.23088511262021866
ACH-000335,-0.2080763908944448
ACH-000336,0.09164148483563143
