,MGAT4A (11320)
ACH-000004,-0.07175627299163984
ACH-000005,-0.23561210328706875
ACH-000007,0.07585171343923905
ACH-000009,-0.1645713234265101
ACH-000011,0.04062623588319739
ACH-000012,-0.15102030160585925
ACH-000013,-0.067519506364086
ACH-000014,-0.1514237899013922
ACH-000015,-0.18786293266306886
ACH-000017,0.02729998967724895
ACH-000018,-0.2976740177993214
ACH-000019,-0.10655887808737584
ACH-000021,0.01664156538594171
ACH-000022,-0.1168979660078302
ACH-000025,-0.09600379950503912
ACH-000028,-0.20678493786304936
ACH-000030,-0.1581113272286839
ACH-000035,-0.09438024698001823
ACH-000036,-0.051731718462645286
ACH-000037,-0.07591983740489097
ACH-000039,0.07519744096635217
ACH-000040,-0.01717620216098464
ACH-000041,-0.06881339235806612
ACH-000042,0.02070584073115692
ACH-000045,-0.14589455724393882
ACH-000047,-0.03483113341784918
ACH-000052,-0.02336955940995993
ACH-000053,-0.06222811875672879
ACH-000054,-0.2218804693272388
ACH-000055,-0.05674898274069836
ACH-000060,-0.01916356118832306
ACH-000067,-0.0011593845849627426
ACH-000070,-0.10985508492622882
ACH-000075,-0.19842858339651934
ACH-000078,-0.09402565173183247
ACH-000082,-0.1304295806178416
ACH-000085,0.07239794041538787
ACH-000086,-0.1435841042984441
ACH-000087,0.07424308348390106
ACH-000092,-0.3675339163660824
ACH-000095,-0.1478107183165623
ACH-000097,-0.04271158585782536
ACH-000098,-0.27926005341158633
ACH-000099,-0.08097239767227425
ACH-000108,-0.06409678533460089
ACH-000113,-0.21491769840807706
ACH-000116,-0.0705858861068284
ACH-000118,-0.1210285736149926
ACH-000120,-0.1444762935660144
ACH-000123,-0.2032811309503489
ACH-000127,-0.09309500966219238
ACH-000128,-0.17298466823434275
ACH-000132,-0.12213891704045088
ACH-000133,-0.32049213316763697
ACH-000137,-0.07970188231839329
ACH-000138,-0.035418648344606014
ACH-000142,-0.07198202732373286
ACH-000143,-0.2660877297406321
ACH-000146,-0.03963793111207035
ACH-000148,-0.117749119082802
ACH-000150,-0.0015254303680987875
ACH-000152,-0.2219958309299472
ACH-000153,0.005328614476536486
ACH-000159,-0.2448783780749032
ACH-000160,-0.21140240027079524
ACH-000163,-0.08732462993755251
ACH-000167,-0.3253249718244681
ACH-000168,-0.056967493255815564
ACH-000169,-0.11289816636992288
ACH-000178,0.010694005040914866
ACH-000183,-0.07498047568092155
ACH-000188,-0.04006666237589912
ACH-000189,-0.034599877284926264
ACH-000190,-0.11726593490803645
ACH-000198,-0.025513979942691202
ACH-000203,-0.2578354934231238
ACH-000204,-0.15063844858663894
ACH-000206,-0.20719013716859996
ACH-000207,-0.14258655717061838
ACH-000208,-0.020653079996910413
ACH-000210,0.08441179754253049
ACH-000211,-0.2406058331955583
ACH-000215,-0.1396238115559245
ACH-000221,-0.1450717927320945
ACH-000222,-0.04253445601994457
ACH-000223,-0.2747805216667932
ACH-000226,-0.10370138133235147
ACH-000227,-0.16570396617851058
ACH-000228,-0.2537554597717477
ACH-000231,-0.0913585882040932
ACH-000232,-0.1313795666822451
ACH-000233,-0.2343514793709909
ACH-000234,-0.07270005757431905
ACH-000235,-0.1227656184369597
ACH-000237,-0.08192415073632471
ACH-000238,-0.00436383399328646
ACH-000242,-0.3209940376385464
ACH-000243,-0.17672094314054065
ACH-000244,-0.20255309697201532
ACH-000246,-0.13045560565671316
ACH-000248,-0.0328170623756673
ACH-000250,-0.09633860284809803
ACH-000251,-0.2843511112932934
ACH-000252,-0.09439603087187258
ACH-000253,-0.11534801547721682
ACH-000255,-0.20615318334667404
ACH-000256,-0.10221972001328594
ACH-000257,-0.1056015523138208
ACH-000258,0.04216915534712153
ACH-000259,-0.05763616503669816
ACH-000260,-0.12647440598493614
ACH-000261,-0.1558678954529064
ACH-000262,-0.07380072318927694
ACH-000263,0.033496316460004553
ACH-000264,-0.04294069811622783
ACH-000265,-0.15539246970358134
ACH-000266,-0.005354665649260086
ACH-000272,-0.14378322643955374
ACH-000274,-0.1620773394697208
ACH-000277,0.05320603473475357
ACH-000278,-0.041534962967956085
ACH-000279,-0.1033631700242246
ACH-000280,-0.0479493336232601
ACH-000281,0.03614874688477256
ACH-000288,-0.14059660568273202
ACH-000291,-0.1403613834473689
ACH-000293,-0.0982363608211814
ACH-000294,-0.1035493183771108
ACH-000295,-0.13995364430825055
ACH-000296,-0.16275326915030586
ACH-000302,-0.1449467398921209
ACH-000304,-0.136160738611964
ACH-000307,-0.27934333141192924
ACH-000308,-0.2020014062577157
ACH-000310,-0.05465014389696362
ACH-000311,-0.12221916654305676
ACH-000312,-0.09416071063826327
ACH-000315,0.03251696389334486
ACH-000316,-0.1685238635829187
ACH-000317,-0.19538848659020272
ACH-000318,-0.09077237002103493
ACH-000319,0.028541424602186588
ACH-000320,-0.12131072091937264
ACH-000322,0.021077631960326408
ACH-000323,-0.12798627724328573
ACH-000324,-0.2725754925186699
ACH-000329,-0.16958010088330822
ACH-000330,-0.23543146806069304
ACH-000331,-0.26614803766854345
ACH-000332,-0.0315470809790054
ACH-000334,-0.34603298503645474
ACH-000335,-0.19494124145520275
ACH-000336,-0.1646979961077068
ACH-000337,-0.14332266101097535
ACH-000338,-0.024187973756814658
ACH-000339,-0.06685930793406393
ACH-000341,-0.19360409070105225
ACH-000348,-0.10322154921470876
ACH-000350,0.016690889927624387
ACH-000352,-0.153899172487654
ACH-000356,-0.0790244284769934
ACH-000361,-0.2672969485977805
ACH-000362,-0.14753435017387212
ACH-000363,-0.13289019941315255
ACH-000364,-0.20014849760889555
ACH-000365,-0.2064767770454868
ACH-000366,-0.09564227367630454
ACH-000368,-0.040041634928715486
ACH-000374,-0.12973524706917294
ACH-000375,-0.08389448220365926
ACH-000376,-0.20218025038873785
ACH-000381,-0.17406851876876436
ACH-000383,-0.046980192630677854
ACH-000387,-0.21006924089623766
ACH-000389,-0.016586081491613437
ACH-000390,-0.13300008598529425
ACH-000393,-0.27561991859187435
ACH-000395,-0.01427730965763288
ACH-000396,-0.20891285045872768
ACH-000397,-0.1695187984628239
ACH-000401,0.006218918812032648
ACH-000402,-0.2884076979196577
ACH-000403,-0.0579263798683779
ACH-000404,-0.06046935455174594
ACH-000406,-0.1610902802759746
ACH-000407,-0.10470517722799834
ACH-000408,-0.108413621791529
ACH-000410,-0.024753290087140084
ACH-000411,-0.06715454215821118
ACH-000414,-0.08967246193929965
ACH-000415,-0.16337399508280193
ACH-000416,-0.1255651986725421
ACH-000420,-0.10521741320866868
ACH-000421,-0.0849165722014255
ACH-000424,-0.29222229008016765
ACH-000425,-0.16916887404438866
ACH-000426,-0.030037701956086037
ACH-000427,0.006097138616218853
ACH-000433,-0.061830453758225525
ACH-000435,0.07959952287352089
ACH-000436,0.013729691726246782
ACH-000444,-0.10677021839503507
ACH-000445,-0.26868519878617336
ACH-000448,-0.07963668803162552
ACH-000450,-0.24870729309422465
ACH-000452,-0.09113463011778802
ACH-000454,-0.10644840684658667
ACH-000458,-0.09579030243519032
ACH-000459,-0.02191229513964411
ACH-000460,-0.013190442524467156
ACH-000461,-0.04973719739785893
ACH-000463,-0.30434074738927785
ACH-000464,-0.13583487137572706
ACH-000466,-0.17603624737443976
