,TMBIM4 (51643)
ACH-000004,-0.1266190568578842
ACH-000005,-0.4880376096261686
ACH-000007,-0.02445093037856207
ACH-000009,-0.028087573911384958
ACH-000011,-0.10622985024551912
ACH-000012,-0.13886976687609273
ACH-000013,-0.01893975901046404
ACH-000014,-0.09449015058786232
ACH-000015,-0.12276308249929012
ACH-000017,-0.11880679236107193
ACH-000018,0.010809526218028229
ACH-000019,-0.2905801160375654
ACH-000021,-0.072826363080957
ACH-000022,0.0540755146562171
ACH-000025,-0.2672130956987082
ACH-000028,0.018387970599710927
ACH-000030,-0.014910704133174428
ACH-000035,-0.2201745963771455
ACH-000036,-0.2273285415157769
ACH-000037,-0.1824915896985197
ACH-000039,-0.12452011336202375
ACH-000040,-0.08004515455282961
ACH-000041,-0.13502375513281148
ACH-000042,-0.1415190666452193
ACH-000045,-0.19915181145325156
ACH-000047,-0.097489827625412
ACH-000052,-0.2133736600827184
ACH-000053,-0.04560539307943368
ACH-000054,-0.18237413647733453
ACH-000055,-0.1957853811535573
ACH-000060,-0.052226380864463774
ACH-000067,-0.1943181022831819
ACH-000070,-0.06131399526750985
ACH-000075,-0.4780019133902692
ACH-000078,0.0993067493749116
ACH-000082,-0.27795863727831266
ACH-000085,-0.07767537473294507
ACH-000086,-0.2471407869558473
ACH-000087,-0.18671606920815545
ACH-000092,-0.07131332961503717
ACH-000095,0.01445590488948161
ACH-000097,0.00529681547402009
ACH-000098,0.061469247783671174
ACH-000099,0.01299554600230445
ACH-000108,-0.049408054384107614
ACH-000113,-0.007682813358551222
ACH-000116,-0.2541032788477092
ACH-000118,-0.10023254273503554
ACH-000120,-0.23014971297328224
ACH-000123,0.02320428223753717
ACH-000127,-0.11571754632068935
ACH-000128,-0.04144581147998518
ACH-000132,0.014464866393022129
ACH-000133,-0.11914067334917501
ACH-000137,-0.013451166335273306
ACH-000138,-0.060865555241545875
ACH-000142,-0.04045421054819155
ACH-000143,-0.10471103190423624
ACH-000146,-0.07734782352755012
ACH-000148,-0.040523484748695764
ACH-000150,-0.15793305716018038
ACH-000152,-0.08815722853819154
ACH-000153,-0.0025012458894138967
ACH-000159,-0.024125898993555543
ACH-000160,0.0004404859634326525
ACH-000163,-0.20373883003101026
ACH-000167,-0.13534038251043667
ACH-000168,0.06396306960460436
ACH-000169,-0.11423181303426935
ACH-000178,-0.12669511668173686
ACH-000183,-0.1300587418323759
ACH-000188,-0.1576808048120064
ACH-000189,-0.015016707888846334
ACH-000190,-0.11299488147933905
ACH-000198,-0.031290860791967405
ACH-000203,0.3475309553388792
ACH-000204,-0.2834889132926487
ACH-000206,0.0199450294067089
ACH-000207,-0.0643245963849155
ACH-000208,-0.4252479259819349
ACH-000210,0.20403333388292627
ACH-000211,-0.262138249811113
ACH-000215,-0.2498161838989389
ACH-000221,-0.033485414905012084
ACH-000222,-0.038119119852783864
ACH-000223,-0.21055315127018367
ACH-000226,-0.15183213087143302
ACH-000227,-0.003979411577549406
ACH-000228,-0.025419394489406825
ACH-000231,-0.0873898326518003
ACH-000232,-0.14820527142995726
ACH-000233,-0.05241139664046765
ACH-000234,-0.13984673016025373
ACH-000235,-0.12859345173093858
ACH-000237,-0.09936277877066148
ACH-000238,-0.2021139615704034
ACH-000242,-0.5918935319947114
ACH-000243,-0.1843349762918404
ACH-000244,-0.2429409330892457
ACH-000246,-0.043038162407902
ACH-000248,-0.36299687101269257
ACH-000250,-0.15360890231326327
ACH-000251,-0.4639303198039957
ACH-000252,-0.10102388302862192
ACH-000253,-0.14568709513033287
ACH-000255,-0.09005995241300334
ACH-000256,-0.03602945892939339
ACH-000257,-0.09057773617791404
ACH-000258,-0.14483683179181212
ACH-000259,-0.0337604405653268
ACH-000260,-0.023635935767890942
ACH-000261,-0.13535089377875872
ACH-000262,0.03146161494533964
ACH-000263,-0.4281129996631309
ACH-000264,-0.1211061704600488
ACH-000265,-0.052214973386553364
ACH-000266,-0.1539913140447077
ACH-000272,-0.02119800658288257
ACH-000274,-0.1093971519874746
ACH-000277,-0.039185948567777115
ACH-000278,-0.15196593054870208
ACH-000279,-0.0548481963365024
ACH-000280,-0.0759314411047659
ACH-000281,-0.002831119152495555
ACH-000288,-0.17562642212597673
ACH-000291,-0.0130963558601382
ACH-000293,-0.024260725464904
ACH-000294,-0.06485835469640458
ACH-000295,0.27101119570474264
ACH-000296,-0.14201135249554767
ACH-000302,0.019846387666089597
ACH-000304,-0.11812702553915384
ACH-000307,0.00611259043879343
ACH-000308,-0.11578763429929105
ACH-000310,-0.09621606219653693
ACH-000311,-0.02350881612206502
ACH-000312,-0.03795030749452191
ACH-000315,0.11000831019790512
ACH-000316,-0.2121237367922557
ACH-000317,-0.0885458962266982
ACH-000318,-0.08538826424315034
ACH-000319,-0.12109400616547035
ACH-000320,-0.2947835560599108
ACH-000322,-0.06772937900345592
ACH-000323,-0.03254321014100812
ACH-000324,-0.15482605731133794
ACH-000329,-0.17006405122362506
ACH-000330,-0.022873892787665263
ACH-000331,-0.20971267913593705
ACH-000332,-0.06501527656687088
ACH-000334,-0.2747132574220026
ACH-000335,-0.2128506398547028
ACH-000336,0.361334529209404
ACH-000337,-0.6061014646090647
ACH-000338,0.4661853779178597
ACH-000339,-0.15213984463080674
ACH-000341,-0.3489473844968829
ACH-000348,-0.14621482360047364
ACH-000350,-0.04784424900048519
ACH-000352,-0.09429879058860273
ACH-000356,0.054444732859210906
ACH-000361,-0.11786024385689516
ACH-000362,-0.13070966348308688
ACH-000363,0.032987655537175586
ACH-000364,-0.1912758890087564
ACH-000365,-0.1165958966742142
ACH-000366,-0.07004745895665841
ACH-000368,-0.2665286161309238
ACH-000374,0.0067129348049230495
ACH-000375,-0.06179058334491346
ACH-000376,0.049577389805813735
ACH-000381,0.07014308838426017
ACH-000383,-0.03259213392768121
ACH-000387,-0.08867411895050825
ACH-000389,-0.1863368712425344
ACH-000390,-0.010039146717297474
ACH-000393,-0.13262074832138152
ACH-000395,-0.09866160537282016
ACH-000396,0.13728613452657662
ACH-000397,-0.03201686270562719
ACH-000401,-0.026398660283239932
ACH-000402,0.17659643750851234
ACH-000403,-0.0820282707433271
ACH-000404,0.033316336674348065
ACH-000406,-0.06140934514212003
ACH-000407,-0.3059570390159688
ACH-000408,0.2499284555553747
ACH-000410,-0.045112091872391374
ACH-000411,-0.364649455603074
ACH-000414,-0.0318502358948368
ACH-000415,-0.1119617205120672
ACH-000416,-0.0849841844700125
ACH-000420,-0.19300734463733005
ACH-000421,-0.05454771261289061
ACH-000424,-0.12208984421855555
ACH-000425,0.16008651080159772
ACH-000426,-0.01881940927346784
ACH-000427,-0.16514552214438716
ACH-000433,-0.2288159580548573
ACH-000435,0.686858541764353
ACH-000436,-0.4457784749627357
ACH-000444,0.0056852693390833705
ACH-000445,-0.3026509752162793
ACH-000448,-0.21960967586389107
ACH-000450,-0.04807339168556432
ACH-000452,-0.14032112692200513
ACH-000454,-0.16384641939041972
ACH-000458,-0.07291015347587393
ACH-000459,0.10421780076400652
ACH-000460,-0.15832977079508526
ACH-000461,-0.10900086226032364
ACH-000463,-0.13826342128797925
ACH-000464,0.05003475224557274
ACH-000466,-0.17172082317700582
ACH-000467,0.026593096894453626
ACH-000468,-0.08340969234269026
ACH-000469,-0.1612344472036864
ACH-000470,-0.108323576206899
ACH-000471,-0.17721820555343734
ACH-000472,-0.10981795376200293
ACH-000473,-0.0015478809028693413
ACH-000475,-0.051436846412766635
ACH-000476,-0.17443384369679155
ACH-000477,0.10117130832683847
ACH-000479,-0.18970059085547009
ACH-000480,-0.14418238119591031
ACH-000481,0.014867884668681922
ACH-000483,-0.2015395796269245
ACH-000484,-0.2639308324462214
ACH-000485,-0.09884333880094584
ACH-000486,-0.25681414843363176
ACH-000487,-0.0016866692498467726
ACH-000488,-0.09384884837886937
ACH-000490,-0.19890610237871445
ACH-000491,0.07595810301927433
ACH-000495,-0.165685722731324
ACH-000496,-0.15297499473551315
ACH-000499,-0.03202143010903381
ACH-000500,-0.6758300073306943
ACH-000502,-0.12100812925245735
ACH-000503,0.014428167546080771
ACH-000505,-0.08929931344350145
ACH-000507,-0.22097145167667973
ACH-000510,-0.06418677873911457
ACH-000511,-0.05859801423872035
ACH-000512,-0.007179294842626869
ACH-000516,-0.15694575740793254
ACH-000517,-0.1056093019605686
ACH-000518,0.1354811882766379
ACH-000520,-0.20394218634808184
ACH-000521,-0.17702685984975985
ACH-000522,-0.13798977661240153
ACH-000524,-0.12721774636510286
ACH-000527,-0.0011510709936683647
ACH-000528,-0.03999621003671643
ACH-000537,0.06687240548958373
ACH-000541,0.2516336054356676
ACH-000542,-0.04365365176733548
ACH-000544,-0.1241458344579428
ACH-000545,-0.3316735146828925
ACH-000547,0.22512314994700705
ACH-000548,-0.04616798690287036
ACH-000549,-0.05961138500388194
ACH-000550,-0.12435144609734172
ACH-000552,0.039237384683970165
ACH-000556,-0.16531775729153111
ACH-000557,-0.06619110322738962
ACH-000569,-0.3383157044159047
ACH-000570,-0.14516583616318526
ACH-000571,-0.13782246332822934
ACH-000573,-0.09365718378453124
ACH-000576,-0.14016301702108072
ACH-000579,-0.3204783762280427
ACH-000580,-0.05019273585237552
ACH-000584,-0.11360864117196624
ACH-000585,-0.051394841614203865
ACH-000588,-0.110752044910812
ACH-000589,-0.1940689239412503
ACH-000591,-0.22508051252378186
ACH-000593,0.020121869299237063
ACH-000600,-0.10121301167034212
ACH-000601,-0.03281223898559879
ACH-000605,-0.1935056075969284
ACH-000606,-0.11958900478902247
ACH-000608,-0.08034242275639387
ACH-000614,-0.15503790602936945
ACH-000616,-0.1289111776613952
ACH-000618,-0.17667074337223887
ACH-000619,-0.0070402266730314874
ACH-000620,-0.1585134392033276
ACH-000621,-0.11678465959509975
ACH-000622,-0.022599036213213117
ACH-000623,-0.15490645793831567
ACH-000624,-0.22024026629862967
ACH-000627,0.05177979231945072
ACH-000630,-0.06173164762055053
ACH-000631,0.11417763874597185
ACH-000632,-0.08572846225406314
ACH-000633,-0.039564067645219775
ACH-000637,-0.09896388883979694
ACH-000638,-0.20879635742958735
ACH-000646,-0.09689329688778424
ACH-000647,-0.17060570954556747
ACH-000648,-0.04202824005006065
ACH-000649,-0.02973753060544416
ACH-000651,-0.10689398313461433
ACH-000652,-0.11693146865155653
ACH-000653,-0.27249053659968314
ACH-000657,-0.025135652255208408
ACH-000658,0.024069762739256567
ACH-000661,0.0145325532372978
ACH-000662,-0.3294690008128761
ACH-000663,0.02194785676302704
ACH-000665,-0.2617426453460971
ACH-000671,-0.1156215246720239
ACH-000672,-0.2004334392424173
ACH-000673,-0.20314174807948546
ACH-000676,-0.039892376589599064
ACH-000677,-0.22117632219196415
ACH-000681,-0.09876793536070046
ACH-000683,-0.04258610422049144
ACH-000684,-0.023336447121516928
ACH-000688,-0.1708901511431978
