,GATC (283459)
ACH-000004,-0.07790223183635715
ACH-000005,-0.26947005749942005
ACH-000007,-0.4526557264326764
ACH-000009,-0.17878579499878766
ACH-000011,-0.08399326927144753
ACH-000012,-0.2940488649889567
ACH-000013,-0.2644580071481412
ACH-000014,-0.3092835022817017
ACH-000015,-0.3229373116155705
ACH-000017,-0.22055116844021605
ACH-000018,-0.7423318614129057
ACH-000019,-0.17564556593378305
ACH-000021,-0.2877618358145713
ACH-000022,-0.3508431713831467
ACH-000025,-0.4629711337627216
ACH-000028,-0.4418925057216893
ACH-000030,-0.35960728678652715
ACH-000035,-0.5537555697821388
ACH-000036,0.07826745573952944
ACH-000037,-0.2823708610311632
ACH-000039,-0.31313106612361263
ACH-000040,-0.2841643757013293
ACH-000041,-0.34344621807961795
ACH-000042,-0.3282021606780771
ACH-000045,-0.3607686238170204
ACH-000047,-0.32554832919512383
ACH-000052,-0.2337458100536801
ACH-000053,-0.31996913835071633
ACH-000054,-0.24842225107488464
ACH-000055,-0.4581789446584482
ACH-000060,-0.4084116854383149
ACH-000067,-0.4329557849385371
ACH-000070,-0.2407728715439853
ACH-000075,-0.3703764762486833
ACH-000078,-0.08219762878049497
ACH-000082,-0.1691692658064842
ACH-000085,-0.2656013009100338
ACH-000086,-0.2520234214841535
ACH-000087,-0.185970614987212
ACH-000092,-0.2562105738856168
ACH-000095,-0.08655880188864053
ACH-000097,-0.2118140007378789
ACH-000098,-0.2694377363412338
ACH-000099,-0.26262167431401834
ACH-000108,-0.20818789955574754
ACH-000113,-0.4882218786836086
ACH-000116,-0.18139000537523292
ACH-000118,-0.5976212367341204
ACH-000120,-0.4086637740115357
ACH-000123,-0.3695833146189907
ACH-000127,-0.3738182510479179
ACH-000128,-0.2413145312490171
ACH-000132,-0.3470109228973497
ACH-000133,-0.352109647378788
ACH-000137,-0.26050378002492464
ACH-000138,-0.27209836791595626
ACH-000142,-0.17455782588404228
ACH-000143,-0.31136218490766193
ACH-000146,-0.2624493649239497
ACH-000148,-0.4775476157774811
ACH-000150,-0.6129545290074244
ACH-000152,-0.2352735451535657
ACH-000153,-0.3763899038155794
ACH-000159,-0.16357152579565468
ACH-000160,-0.3361222014194563
ACH-000163,-0.3003408914556786
ACH-000167,-0.3356099452638796
ACH-000168,-0.05537600902841722
ACH-000169,-0.29497442605729224
ACH-000178,-0.3744133157138543
ACH-000183,-0.4731423106378882
ACH-000188,-0.17566480746500387
ACH-000189,-0.6447707158107814
ACH-000190,-0.443918955562762
ACH-000198,-0.1111286368279715
ACH-000203,-0.3655580005298178
ACH-000204,-0.3163257124658901
ACH-000206,-0.8080754313752655
ACH-000207,-0.3601315376134499
ACH-000208,-0.3023933422939599
ACH-000210,-0.20905437249733788
ACH-000211,-0.3444552094702332
ACH-000215,-0.3076382830286352
ACH-000221,-0.7222398097283574
ACH-000222,-0.3166410049613213
ACH-000223,-0.24711369111974216
ACH-000226,-0.2011766811611943
ACH-000227,-0.30376373876737106
ACH-000228,-0.04418365568403895
ACH-000231,-0.3138799494491507
ACH-000232,-0.3850645611120807
ACH-000233,-0.3035392860595961
ACH-000234,-0.13832986177261294
ACH-000235,-0.3532224632979604
ACH-000237,-0.13797965583809846
