,CEBPB (1051)
ACH-000004,-0.05292886519500717
ACH-000005,0.0023387902490597987
ACH-000007,-0.24129045769720014
ACH-000009,-0.2674610497042144
ACH-000011,-0.460211789185798
ACH-000012,-0.06958477532902267
ACH-000013,-0.3867438749090858
ACH-000014,-0.44905048045358936
ACH-000015,0.0604929727137862
ACH-000017,-0.8504916877958697
ACH-000018,-0.2665309412129234
ACH-000019,-0.2465290904357615
ACH-000021,-0.07740124108699571
ACH-000022,-0.07533754202331669
ACH-000025,0.01670745409243656
ACH-000028,-0.16508714101784167
ACH-000030,-0.23773359569676195
ACH-000035,-0.0933451195764806
ACH-000036,-0.16917793712022064
ACH-000037,-0.13444645141791733
ACH-000039,-0.045414621463696105
ACH-000040,-0.2507707401651766
ACH-000041,-0.19266833674964465
ACH-000042,-0.5631516036885291
ACH-000045,-0.05399337528832025
ACH-000047,-0.27690811567066603
ACH-000052,-0.2868354187813808
ACH-000053,0.3679322254882183
ACH-000054,-0.18290722703675327
ACH-000055,-0.2792405672266867
ACH-000060,-0.1370518969731414
ACH-000067,-0.3712000522823787
ACH-000070,-0.13839922054922704
ACH-000075,-0.37187045611065617
ACH-000078,-0.06983497407977872
ACH-000082,-0.2515225380322397
ACH-000085,-0.3504657685661028
ACH-000086,-0.09398131381657636
ACH-000087,-0.09254080123988877
ACH-000092,-0.2119261170325438
ACH-000095,-0.11960056846663672
ACH-000097,-0.531120827922553
ACH-000098,0.05500157719551317
ACH-000099,-0.08471887204045014
ACH-000108,-0.032732293872182024
ACH-000113,-0.013071499474236671
ACH-000116,-0.22247008480220365
ACH-000118,-0.1746894353442272
ACH-000120,-0.11212002926965332
ACH-000123,-0.013582947965136807
ACH-000127,-0.16830984327104487
ACH-000128,-0.25693437869162994
ACH-000132,-0.07816523023913365
ACH-000133,-0.3334869065093599
ACH-000137,-0.22550997821672364
ACH-000138,-0.30441352745608324
ACH-000142,-0.16039972626840068
ACH-000143,-0.10127989031137924
ACH-000146,-0.1608188787132567
ACH-000148,-0.06878986766599511
ACH-000150,-0.07977000055234812
ACH-000152,-0.2001207857474599
ACH-000153,-0.2308449827500933
ACH-000159,-0.2285805093420313
ACH-000160,-0.14508048323013278
ACH-000163,-0.18465726727801327
ACH-000167,-0.5487672620948284
ACH-000168,-0.4447363957419378
ACH-000169,-0.07685550708854068
ACH-000178,-0.2960924302647736
ACH-000183,-0.1369433319024866
ACH-000188,0.02386242699109836
ACH-000189,-0.024629176882919948
ACH-000190,-0.22001010865532386
ACH-000198,-0.20741803683155555
ACH-000203,0.1162187502921444
ACH-000204,-0.21505520391324184
ACH-000206,-0.1978557516012585
ACH-000207,-0.3209230218364359
ACH-000208,-0.16927969200930196
ACH-000210,-0.053888841383045484
ACH-000211,-0.03698189615614952
ACH-000215,-0.25925473320458325
ACH-000221,-0.08970468941239503
ACH-000222,-0.3960227126916277
ACH-000223,-0.21240779449468333
ACH-000226,-0.16493034961515607
ACH-000227,-0.11353538492718784
ACH-000228,-0.03547145349333105
ACH-000231,-0.2696783710527759
ACH-000232,-0.033837125505889534
ACH-000233,-0.2874711367800987
ACH-000234,-0.3499010945326051
ACH-000235,-0.2941009677298527
ACH-000237,0.081631026389719
ACH-000238,-0.299860231281372
ACH-000242,-0.8435510122451448
ACH-000243,-0.2979495562530698
ACH-000244,0.18858090180190856
ACH-000246,-0.1471499388027797
ACH-000248,-0.4903436104439999
ACH-000250,-0.044012961229376736
ACH-000251,-0.5436845636290125
ACH-000252,-0.27877280172431124
ACH-000253,-0.4909481662045294
ACH-000255,-0.07231136425692425
ACH-000256,-0.1927442228151668
ACH-000257,0.051762984601398235
ACH-000258,-0.31634666800177635
ACH-000259,-0.12879032294658466
ACH-000260,-0.057740467769291315
ACH-000261,-0.255606030253887
ACH-000262,-0.14677340017786986
ACH-000263,0.056206994993079684
ACH-000264,-0.1744267419606936
ACH-000265,-0.0549280678655838
ACH-000266,-0.4512782490540441
ACH-000272,-0.12983745907462907
ACH-000274,-0.3496953461811119
ACH-000277,-0.4742561522606328
ACH-000278,-0.2808335564985661
ACH-000279,-0.1418755866092389
ACH-000280,-0.15892165507898706
ACH-000281,-0.2461535969761393
ACH-000288,-0.3344134832079553
ACH-000291,-0.274337586017022
ACH-000293,-0.16429359679080036
ACH-000294,-0.10498295638181132
ACH-000295,-0.13091711392683342
ACH-000296,-0.3602298195249264
ACH-000302,-0.09969987603832542
ACH-000304,-0.2844123963098601
ACH-000307,-0.2869068064804709
ACH-000308,-0.3959362819233363
ACH-000310,-0.11666581442325462
ACH-000311,-0.21372170113115416
ACH-000312,-0.2265785319062415
ACH-000315,-0.1154918557754932
ACH-000316,-0.18973599140847772
ACH-000317,-0.3219024437342037
ACH-000318,-0.3427695176034003
ACH-000319,-0.3132983830842578
ACH-000320,-0.7656050681974809
ACH-000322,-0.5791125930213463
ACH-000323,-0.20205645570387365
ACH-000324,-0.16957284799511316
ACH-000329,-0.05322289024215724
ACH-000330,-0.2696851996998763
ACH-000331,-0.0005089619503874045
ACH-000332,-0.3831482367733205
