,CDK2AP2 (10263)
ACH-000004,-0.2857963342558115
ACH-000005,0.08676574533327114
ACH-000007,-0.09832002244416163
ACH-000009,-0.24403938670602116
ACH-000011,-0.19879090616050865
ACH-000012,-0.1989938629563206
ACH-000013,-0.3129912916270483
ACH-000014,0.03403500151764677
ACH-000015,-0.20882778133110652
ACH-000017,-0.21738229238371706
ACH-000018,-0.4249939858651487
ACH-000019,-0.3131068685361991
ACH-000021,-0.224947247217488
ACH-000022,-0.18728972354463733
ACH-000025,-0.013246557786044869
ACH-000028,-0.4442345348586001
ACH-000030,-0.3585398190919308
ACH-000035,-0.1291820812738941
ACH-000036,-0.174379085939935
ACH-000037,-0.19722754864743253
ACH-000039,-0.3829091696992841
ACH-000040,-0.26396884973315715
ACH-000041,-0.4244677186659392
ACH-000042,-0.2907797675753299
ACH-000045,-0.13822981702828646
ACH-000047,-0.03104417629050975
ACH-000052,-0.37687211798410497
ACH-000053,-0.3778880682958029
ACH-000054,-0.2613354820951337
ACH-000055,-0.17895892406285255
ACH-000060,-0.4153296104211223
ACH-000067,-0.0461068987345177
ACH-000070,-0.30384419501041826
ACH-000075,-0.32347305674650434
ACH-000078,-0.17102023383153642
ACH-000082,-0.278241226715943
ACH-000085,-0.28304116223879433
ACH-000086,-0.3429849884789045
ACH-000087,0.16337449197903864
ACH-000092,-0.2325602398260381
ACH-000095,-0.1816928951142721
ACH-000097,-0.6003133178176232
ACH-000098,-0.16840531540418172
ACH-000099,-0.2030211233042916
ACH-000108,-0.29132325664610376
ACH-000113,-0.2774064425115321
ACH-000116,-0.34708334964779514
ACH-000118,-0.3829812269781093
ACH-000120,-0.19907200951344967
ACH-000123,-0.2808366258078225
ACH-000127,-0.2852536523049717
ACH-000128,-0.18682183028086985
ACH-000132,-0.3668539933194094
ACH-000133,-0.3620111938941644
ACH-000137,-0.14450790627554874
ACH-000138,-0.4577817829721505
ACH-000142,-0.270746110770445
ACH-000143,-0.19514974027634352
ACH-000146,-0.2398877578838463
ACH-000148,-0.0904173099281115
ACH-000150,-0.31756410228958504
ACH-000152,-0.044570713470187484
ACH-000153,-0.3649843204188215
ACH-000159,-0.22471451286843835
ACH-000160,-0.4887583468275382
ACH-000163,-0.07374775993709032
ACH-000167,0.01771385740708717
ACH-000168,-0.2454312983794296
ACH-000169,-0.19884394643848508
ACH-000178,-0.2385105324670729
ACH-000183,-0.2666444936768605
ACH-000188,-0.2951689509299243
ACH-000189,0.0872687931206838
ACH-000190,-0.4239450853125825
ACH-000198,-0.3661782394697656
ACH-000203,-0.4092439734509958
ACH-000204,-0.362660494209156
ACH-000206,-0.3784164606335615
ACH-000207,-0.3299235708481059
ACH-000208,-0.3233899140388269
ACH-000210,0.0306778458216549
ACH-000211,-0.18614853722891328
ACH-000215,-0.2288548222587796
ACH-000221,-0.1817298503700893
ACH-000222,-0.16318509446973442
ACH-000223,-0.2636255839748367
ACH-000226,-0.23785525437797575
ACH-000227,-0.11294482360171562
ACH-000228,-0.3996664729946657
ACH-000231,-0.27314620007908924
ACH-000232,-0.1238559768951215
ACH-000233,-0.2828643407072525
ACH-000234,-0.2758067607257045
ACH-000235,-0.33734320566614984
ACH-000237,-0.33189171714791865
ACH-000238,-0.39033648234317775
ACH-000242,0.05454514493644365
ACH-000243,-0.2563885522657814
ACH-000244,-0.3427426139869296
ACH-000246,-0.15702643518414686
ACH-000248,-0.14629396299561945
ACH-000250,-0.21066993587975136
ACH-000251,0.013305528997027877
ACH-000252,-0.21455780142990197
ACH-000253,-0.2038353909922708
ACH-000255,-0.3145812057987268
ACH-000256,-0.4446409131548222
ACH-000257,-0.011194805508291135
ACH-000258,-0.14524913771327094
ACH-000259,-0.2432372194411511
ACH-000260,-0.26860053586797245
ACH-000261,-0.253391563800493
ACH-000262,0.0690913390536627
ACH-000263,-0.2260696634374625
ACH-000264,-0.2515272943914429
ACH-000265,-0.16616428331025504
ACH-000266,-0.25815855207991484
ACH-000272,-0.15618787195580738
ACH-000274,-0.22579615856370575
ACH-000277,-0.2708810593744737
ACH-000278,-0.26426851262421824
ACH-000279,-0.2068237251957663
ACH-000280,-0.18795380426527825
ACH-000281,-0.13670349867490694
ACH-000288,-0.1969907238075527
ACH-000291,-0.23721366134665384
ACH-000293,-0.3497497977839507
ACH-000294,-0.4247369483885578
ACH-000295,-0.34644422042784007
ACH-000296,-0.2175093492871133
ACH-000302,-0.2378801419767696
ACH-000304,-0.20729251554422096
ACH-000307,-0.2404242761496751
ACH-000308,-0.39029857063606027
ACH-000310,-0.2503379882484514
ACH-000311,-0.2183790363973363
ACH-000312,-0.17408381187985944
ACH-000315,-0.2410878204730297
ACH-000316,-0.5383011739709698
ACH-000317,-0.21193904358159704
ACH-000318,-0.28926223812430524
ACH-000319,-0.34487541134609745
ACH-000320,-0.2703446128817913
ACH-000322,0.014799608226301206
ACH-000323,-0.06380306284313368
ACH-000324,-0.3858682687636255
ACH-000329,-0.10854351565728253
ACH-000330,-0.14045710504363296
ACH-000331,-0.29367594299534105
ACH-000332,-0.37168345066141184
ACH-000334,-0.6311705069228208
ACH-000335,-0.4887007390610976
ACH-000336,-0.24334592831931715
ACH-000337,-0.5122830578542195
ACH-000338,-0.3626596380071428
ACH-000339,-0.22188522831904328
ACH-000341,-0.39182459135873615
ACH-000348,-0.27331218087903497
ACH-000350,-0.2647007280744416
ACH-000352,-0.3357664194949346
ACH-000356,-0.10323015623480372
ACH-000361,-0.2357561358607405
ACH-000362,-0.18206868572792886
ACH-000363,-0.328731025829596
ACH-000364,-0.26932061788345285
ACH-000365,-0.16506321015224512
ACH-000366,-0.4657046130574517
ACH-000368,-0.1111588303338762
ACH-000374,-0.4555739698859618
ACH-000375,-0.1562995181558715
ACH-000376,-0.4129502523589456
ACH-000381,-0.20592205068962627
ACH-000383,-0.21420975332574024
ACH-000387,-0.25963609008758104
ACH-000389,-0.16884296109368346
ACH-000390,-0.16252091018783768
ACH-000393,-0.3067810419456773
ACH-000395,-0.4492377341314748
ACH-000396,-0.6302809702346392
ACH-000397,-0.3724905597340372
ACH-000401,-0.14312310742978704
ACH-000402,-0.7586618317078189
ACH-000403,-0.30023614700781515
ACH-000404,-0.24279482635187866
ACH-000406,-0.21594002938727155
ACH-000407,-0.21891998698069676
ACH-000408,-0.122194233757849
ACH-000410,-0.3008159382455211
ACH-000411,-0.2282530657916145
ACH-000414,-0.2175460857404195
ACH-000415,-0.3836282791962923
ACH-000416,-0.2224099866871008
ACH-000420,-0.09725034630937586
ACH-000421,-0.2324683099094023
ACH-000424,-0.17897340369615047
ACH-000425,-0.2300013745742045
ACH-000426,-0.7332298536927956
ACH-000427,-0.3285555713590399
ACH-000433,-0.3719788074400601
ACH-000435,-0.08082933047690798
ACH-000436,-0.02959841345147451
ACH-000444,-0.21421446268905006
ACH-000445,-0.16632792933325896
ACH-000448,-0.3048967214869387
ACH-000450,-0.37251391646723975
ACH-000452,-0.2311921750876457
ACH-000454,-0.20193145191377088
ACH-000458,-0.4140865927906913
ACH-000459,-0.04967737006388519
ACH-000460,-0.17290614387659525
ACH-000461,-0.3983781747402392
ACH-000463,-0.2114513630516674
ACH-000464,0.13372927913668034
ACH-000466,-0.20999488615405573
ACH-000467,-0.02950745927907888
ACH-000468,-0.2609310286863453
ACH-000469,-0.2559416223275838
ACH-000470,-0.3398506380183193
ACH-000471,-0.2118676527083864
ACH-000472,-0.1914004517346116
ACH-000473,-0.3674938126218783
ACH-000475,-0.32789591016394937
ACH-000476,-0.16967338643624588
ACH-000477,-0.20323474755337395
ACH-000479,-0.3011358548696079
ACH-000480,-0.5640199736520519
ACH-000481,-0.29248682758058275
