,MGAT2 (4247)
ACH-000004,-0.2693081593107062
ACH-000005,-0.15976124553926765
ACH-000007,-0.2448777785885573
ACH-000009,-0.3383919784321752
ACH-000011,-0.21737255137529565
ACH-000012,-0.15509974718613292
ACH-000013,-0.08715148425340805
ACH-000014,-0.09238337706001873
ACH-000015,-0.12801920141777562
ACH-000017,-0.18896963255111046
ACH-000018,0.009938248116469556
ACH-000019,-0.08758634205092641
ACH-000021,-0.08181868987369967
ACH-000022,-0.18368061751268547
ACH-000025,-0.383838121299234
ACH-000028,-0.10108604935626096
ACH-000030,-0.2576221168932901
ACH-000035,-0.058779321752347874
ACH-000036,0.19868369676233136
ACH-000037,-0.11988408827424495
ACH-000039,-0.04147982654252511
ACH-000040,-0.22533955879107825
ACH-000041,0.098707102306394
ACH-000042,-0.0434797386131592
ACH-000045,-0.11415491607709866
ACH-000047,-0.14803286411330274
ACH-000052,-0.04119474568881208
ACH-000053,-0.2405509857043695
ACH-000054,-0.482650579191318
ACH-000055,-0.2563768801544346
ACH-000060,-0.2642768172974061
ACH-000067,-0.0211774931017265
ACH-000070,-0.17622505062786367
ACH-000075,-0.4099095517838312
ACH-000078,-0.09490048887429907
ACH-000082,-0.19327912607650974
ACH-000085,-0.013408101349605414
ACH-000086,-0.12002063228874935
ACH-000087,-0.0997262587296306
ACH-000092,-0.2381822624309285
ACH-000095,-0.1828012280708708
ACH-000097,-0.2931258894658959
ACH-000098,-0.16550756871636546
ACH-000099,0.010646328152334236
ACH-000108,-0.17595401870911018
ACH-000113,-0.34942963438451274
ACH-000116,-0.17536288879934492
ACH-000118,-0.3428917800072899
ACH-000120,-0.04782271190883704
ACH-000123,-0.21195697948637446
ACH-000127,-0.31798173746799924
ACH-000128,-0.21138645019478688
ACH-000132,-0.13664082154116552
ACH-000133,-0.2461724403882453
ACH-000137,-0.25091658790821997
ACH-000138,-0.2800768475845279
ACH-000142,0.04624558199646448
ACH-000143,-0.20127340054410955
ACH-000146,-0.07013994799640287
ACH-000148,-0.15855776313846348
ACH-000150,-0.04596018556175814
ACH-000152,-0.14328434169539628
ACH-000153,-0.21837651192986451
ACH-000159,-0.2806443113827468
ACH-000160,-0.30879029361162746
ACH-000163,0.08524845276698644
ACH-000167,-0.3643147147896109
ACH-000168,-0.4243908234553593
ACH-000169,-0.10397589713610393
ACH-000178,-0.20854566986062475
ACH-000183,-0.3628617764171294
ACH-000188,-0.006752322013591838
ACH-000189,-0.4331329122079461
ACH-000190,-0.2948188996765382
ACH-000198,-0.1944893214633823
ACH-000203,-0.7846298065990633
ACH-000204,-0.18407558049598133
ACH-000206,-0.2423555866653563
ACH-000207,-0.3782481154265451
ACH-000208,-0.2059288936953634
ACH-000210,-0.2721463767392662
ACH-000211,-0.2956853962659867
ACH-000215,-0.1651098327519994
ACH-000221,-0.07709629294941145
ACH-000222,-0.32175252878877725
