,DMRTC2 (63946)
ACH-000004,-0.0797000339810669
ACH-000005,-0.2822404042550091
ACH-000007,-0.19046504068141232
ACH-000009,-0.11550073071546255
ACH-000011,-0.012011148944579277
ACH-000012,-0.15442932629504474
ACH-000013,-0.18388899985369447
ACH-000014,-0.1681502642985198
ACH-000015,-0.2875850610718787
ACH-000017,-0.0789154786209126
ACH-000018,-0.2300366374524025
ACH-000019,-0.22943551045238714
ACH-000021,-0.11488727168631928
ACH-000022,-0.19847037690127897
ACH-000025,0.020219416527790975
ACH-000028,-0.14731779096050518
ACH-000030,-0.11475326658661812
ACH-000035,-0.16983196765070532
ACH-000036,-0.2000667446443886
ACH-000037,-0.2789229078986761
ACH-000039,0.003736389064326033
ACH-000040,-0.05900624991294024
ACH-000041,-0.14265819677708189
ACH-000042,-0.09762529291444694
ACH-000045,-0.137727651357388
ACH-000047,-0.1397534077075182
ACH-000052,-0.15428124687911451
ACH-000053,-0.2438008911104287
ACH-000054,-0.10242357224136024
ACH-000055,-0.22371109570628653
ACH-000060,0.010839742497427805
ACH-000067,0.09389780292230837
ACH-000070,0.02365008884974327
ACH-000075,0.007466253835913137
ACH-000078,-0.11475804658266145
ACH-000082,-0.1361512737196815
ACH-000085,-0.03165577823179587
ACH-000086,-0.1766666574529362
ACH-000087,-0.16986129575919648
ACH-000092,-0.1294833867343224
ACH-000095,-0.12463606896948907
ACH-000097,-0.1790901605104952
ACH-000098,-0.20230701369968435
ACH-000099,-0.05157566643478463
ACH-000108,-0.1675240569903489
ACH-000113,-0.09881336806397524
ACH-000116,0.004284677871121415
ACH-000118,-0.2711498185750885
ACH-000120,-0.08322225457973287
ACH-000123,-0.06224290676749478
ACH-000127,-0.10659682660261384
ACH-000128,0.01793199125434809
ACH-000132,-0.12523689810012809
ACH-000133,-0.13665803853862368
ACH-000137,-0.17576420813163873
ACH-000138,-0.2632844305364031
ACH-000142,-0.1939332172214253
ACH-000143,-0.356479902510163
ACH-000146,-0.16701992994041848
ACH-000148,-0.1529494821834738
ACH-000150,-0.2382680223244904
ACH-000152,-0.11099770217724744
ACH-000153,-0.36205457610232417
ACH-000159,-0.0992493689691442
ACH-000160,-0.2393504798585673
ACH-000163,-0.019873477789765632
ACH-000167,0.35555137971819084
ACH-000168,-0.2392284503267487
ACH-000169,-0.08827530215057776
ACH-000178,-0.04028400499589715
ACH-000183,-0.2547264776413353
ACH-000188,-0.19068321717094688
