,PIK3R4 (30849)
ACH-000004,-0.9143399629295352
ACH-000005,-0.2763249544322013
ACH-000007,-0.5102599171905762
ACH-000009,-0.36682199756006295
ACH-000011,-0.4763715453819039
ACH-000012,-0.4138528904044533
ACH-000013,-0.20285324191570173
ACH-000014,-0.2694423646725741
ACH-000015,-0.4642865041783418
ACH-000017,-0.6759090719227616
ACH-000018,-0.6322901468191475
ACH-000019,-0.5358906915148477
ACH-000021,-0.7278315463090888
ACH-000022,-0.3963963391751729
ACH-000025,-0.4696359875026654
ACH-000028,-0.3720440740615616
ACH-000030,-0.4384174747277305
ACH-000035,-0.8224966963455398
ACH-000036,-0.5664143107974505
ACH-000037,-0.35051226312904704
ACH-000039,-0.3978705917663165
ACH-000040,-0.3250219069141003
ACH-000041,-0.4716081729623895
ACH-000042,-0.5010563453389304
ACH-000045,-0.4179172966084001
ACH-000047,-0.603229809945134
ACH-000052,-0.8434047543684918
ACH-000053,-0.4629221338406945
ACH-000054,-0.4360991128296392
ACH-000055,-0.2432637745898048
ACH-000060,-0.21208650566160345
ACH-000067,-0.7414080454583619
ACH-000070,-0.37707958328956587
ACH-000075,-0.3379614709255058
ACH-000078,-0.3253961399581205
ACH-000082,-0.3647746808565946
ACH-000085,-0.676052709900347
ACH-000086,-0.41221885295962396
ACH-000087,-0.6627242337528869
ACH-000092,-0.5507547781428027
ACH-000095,-0.3879627666303091
ACH-000097,-0.6466402339960423
ACH-000098,-0.42172418332596856
ACH-000099,-0.3285364434571217
ACH-000108,-0.4668981488974637
ACH-000113,-0.5375045233248112
ACH-000116,-0.4331809551135915
ACH-000118,-0.5307363879877688
ACH-000120,-0.3983642659799704
ACH-000123,-0.4340018571254263
ACH-000127,-0.5283177120637873
ACH-000128,-0.3876919592677006
ACH-000132,-0.5335746350616455
ACH-000133,-0.583565477549166
ACH-000137,-0.529302820436105
ACH-000138,-0.4327637408633361
ACH-000142,-0.2403586793639919
ACH-000143,-0.384960772309765
ACH-000146,-0.1991287287281029
ACH-000148,-0.4747993013626236
ACH-000150,-0.3318780363039468
ACH-000152,-0.6138157242979491
ACH-000153,-0.16271215555567098
ACH-000159,-0.4463424210187637
ACH-000160,-0.5612642573218789
ACH-000163,-0.5578418224034056
ACH-000167,-0.2876859095969337
ACH-000168,-0.3860670421199772
ACH-000169,-0.7335501419324773
ACH-000178,-0.5344006345821073
ACH-000183,-0.6164096000177878
ACH-000188,-0.5903279084780627
ACH-000189,-0.08266769022343112
ACH-000190,-0.400570770677408
ACH-000198,-0.5852718138422384
ACH-000203,-0.7290930441961712
ACH-000204,-0.6053385515421623
ACH-000206,-0.4532311950007552
ACH-000207,-0.3363508675611557
ACH-000208,-0.3941427672025888
ACH-000210,-0.16816163797123554
ACH-000211,-0.5080754862867775
ACH-000215,-0.4675619991610558
ACH-000221,-0.4912717479739249
ACH-000222,-0.4221017245560373
ACH-000223,-0.7525482796174868
ACH-000226,-0.4656935481231277
ACH-000227,-0.26568335388298825
ACH-000228,-0.4990332584516393
ACH-000231,-0.5100409686348094
ACH-000232,-0.3716417600123145
ACH-000233,-0.4201622942110873
ACH-000234,-0.6576217221767372
ACH-000235,-0.5993226810793938
ACH-000237,-0.6543801676607166
ACH-000238,-0.5046519305366384
ACH-000242,-0.6567568894719137
ACH-000243,-0.3352404276161258
ACH-000244,-0.6539418871932611
ACH-000246,-0.19328465603058295
ACH-000248,-0.694441560649432
ACH-000250,-0.4649962020843605
ACH-000251,-0.3780486591740742
ACH-000252,-0.5059407823572716
ACH-000253,-0.5495584150685867
ACH-000255,-0.4123744666944239
ACH-000256,-0.3805877478405492
ACH-000257,-0.5090041007466151
ACH-000258,-0.2608453068874052
ACH-000259,-0.4081069443531963
ACH-000260,-0.4524452112123054
ACH-000261,-0.39874549472258586
ACH-000262,-0.3660434286715589
ACH-000263,-0.5081139195772226
ACH-000264,-0.4586237341702514
ACH-000265,-0.4506585336317133
ACH-000266,-0.7370636974908154
ACH-000272,-0.44229663077797104
ACH-000274,-0.23431046713708745
ACH-000277,-0.6242860961211133
ACH-000278,-0.4660696624609761
ACH-000279,-0.6412022461894746
ACH-000280,-0.4094306246336928
ACH-000281,-0.5324041064153924
ACH-000288,-0.351049649607818
ACH-000291,-0.5095748410588594
ACH-000293,-0.6212162371407599
ACH-000294,-0.7179778783723634
ACH-000295,-0.417863335629281
ACH-000296,-0.5310831288033894
ACH-000302,-0.4669273744292746
ACH-000304,-0.2800473419356997
ACH-000307,-0.4175352223326238
ACH-000308,-0.5603819228468534
ACH-000310,-0.21196074682377075
ACH-000311,-0.5787757411283558
ACH-000312,-0.4256420511609501
ACH-000315,-0.3285132696744337
ACH-000316,-0.5487697416104345
ACH-000317,-0.3571502967381488
ACH-000318,-0.5812955521747215
ACH-000319,-0.7446920747232834
ACH-000320,-0.6358141313385922
ACH-000322,-0.10486716590042013
ACH-000323,-1.0050896030484222
ACH-000324,-0.4881321082345989
ACH-000329,-0.2974906880234027
ACH-000330,-0.5474339817648607
ACH-000331,-0.7921111745206131
ACH-000332,-0.6216572844795455
ACH-000334,-0.16202791529427302
ACH-000335,-0.3745916249263701
ACH-000336,-0.4366744407600491
ACH-000337,-0.5902198391091645
ACH-000338,-0.946758558520924
ACH-000339,-0.7302477092584853
ACH-000341,-0.365370133313492
ACH-000348,-0.4097685939319907
ACH-000350,-0.06269904599594749
ACH-000352,-0.7993421878258599
ACH-000356,-0.6234355144490034
ACH-000361,-0.5294629102465948
