,NFIB (4781)
ACH-000004,-0.7415872826144878
ACH-000005,-0.7981753110094614
ACH-000007,-0.11199834349572214
ACH-000009,-0.07882128630528115
ACH-000011,-0.44986191488798905
ACH-000012,0.0019212331169083355
ACH-000013,-0.4553006381681303
ACH-000014,-0.10081002381831024
ACH-000015,-0.10720765655026616
ACH-000017,-0.032986957013804795
ACH-000018,-0.35961052580346875
ACH-000019,0.07815007508005083
ACH-000021,-0.16142091694247587
ACH-000022,-0.09533564431399487
ACH-000025,-0.14250958052728158
ACH-000028,-0.01606764803784492
ACH-000030,-0.10145241117734667
ACH-000035,-0.2489543669855259
ACH-000036,-0.2437942698832984
ACH-000037,-0.22249520610357693
ACH-000039,-0.020767852256104582
ACH-000040,-0.1725638219301639
ACH-000041,-0.09139888127077607
ACH-000042,-0.1793763030955206
ACH-000045,-0.10419921933943598
ACH-000047,0.314694587086285
ACH-000052,-0.07483443849624892
ACH-000053,-0.05438014719739012
ACH-000054,-0.22851840079582866
ACH-000055,-0.7534388227603056
ACH-000060,-0.2624431107909769
ACH-000067,-0.15455961089726247
ACH-000070,-0.046134164555005464
ACH-000075,-0.20293350316096698
ACH-000078,-0.16888455121500204
ACH-000082,-0.15476724219937385
ACH-000085,-0.06282609153709302
ACH-000086,-0.025452980643373074
ACH-000087,0.0941919751359869
ACH-000092,-0.2168652027693392
ACH-000095,-0.1651014979277443
ACH-000097,0.02060939915053609
ACH-000098,0.010426320368816107
ACH-000099,-0.13704856363763182
ACH-000108,-0.05744901920829231
ACH-000113,-0.03125164722268239
ACH-000116,-0.12273874351242745
ACH-000118,-0.06729657721247674
ACH-000120,-0.3302845877364702
ACH-000123,-0.5231471882261441
ACH-000127,-0.23738333895492314
ACH-000128,-0.3390210488073136
ACH-000132,-0.2810914914375136
ACH-000133,-0.1144892287207986
ACH-000137,-0.24806166902231275
ACH-000138,-0.12915887614714255
ACH-000142,0.0426508600980964
ACH-000143,-0.14096404129002438
ACH-000146,-0.14261579127134652
ACH-000148,-0.3400699294520103
ACH-000150,-0.16859748888540807
ACH-000152,-0.04122210074837705
ACH-000153,-0.08460152418872048
ACH-000159,-0.047085310058910805
ACH-000160,-0.0659552594998443
ACH-000163,-0.1139762294557192
ACH-000167,-0.028600675309813486
ACH-000168,-0.1952347195586353
ACH-000169,-0.2884218838430453
ACH-000178,-0.21051069347890755
ACH-000183,-0.03784736113533417
ACH-000188,-0.13308401561678956
ACH-000189,-0.3247171143008813
ACH-000190,-0.1964390405396763
ACH-000198,-0.06429829322373615
ACH-000203,-0.03163047608069157
ACH-000204,-0.13957189260099045
ACH-000206,-0.14287938868442454
ACH-000207,-0.06365630023797134
ACH-000208,-0.03200968157166941
ACH-000210,-0.2194195257171289
ACH-000211,-0.201079302473482
ACH-000215,-0.17662569611038167
ACH-000221,-0.024037335131560297
ACH-000222,-0.2548468437371458
ACH-000223,-0.21869729434003904
ACH-000226,-0.2001057171961544
ACH-000227,-0.2378956098192977
ACH-000228,-0.0319702092117208
ACH-000231,-0.056529136550566426
ACH-000232,-0.3971777150693943
ACH-000233,-0.07663166345365027
ACH-000234,-0.2572507215405622
ACH-000235,-0.12000106246586507
ACH-000237,-0.2970004175182298
ACH-000238,-0.08979283552304497
ACH-000242,0.04615331987494863
ACH-000243,-0.32654073149758045
ACH-000244,0.04645953110284716
ACH-000246,-0.28932063554454074
ACH-000248,-0.1890208048072837
