,DIP2B (57609)
ACH-000004,-0.3563192176018975
ACH-000005,-0.4667855017855382
ACH-000007,-0.1186293598977078
ACH-000009,-0.09076614758921688
ACH-000011,-0.15947525561214446
ACH-000012,-0.30834934678175896
ACH-000013,-0.3444038144639815
ACH-000014,-0.036378221084404916
ACH-000015,-0.2777399029980542
ACH-000017,-0.1986563189472032
ACH-000018,-0.08718505047516928
ACH-000019,-0.1116617876277466
ACH-000021,-0.22039792427573426
ACH-000022,-0.1768620911927567
ACH-000025,-0.12681010609585874
ACH-000028,-0.19617107570469972
ACH-000030,-0.12191487144054468
ACH-000035,-0.08472774300720401
ACH-000036,0.022165905128588858
ACH-000037,-0.227606115453442
ACH-000039,-0.16601215662381322
ACH-000040,-0.14239150784035012
ACH-000041,-0.24918692895291025
ACH-000042,-0.085946108440031
ACH-000045,-0.19735271255786005
ACH-000047,0.036450158892961326
ACH-000052,-0.022364267229745143
ACH-000053,-0.16780173518811428
ACH-000054,-0.13271095174146574
ACH-000055,-0.3075773771598841
ACH-000060,0.17486659784221806
ACH-000067,-0.29444924640397874
ACH-000070,-0.2466649520487785
ACH-000075,-0.07610465815923938
ACH-000078,-0.216657114209011
ACH-000082,-0.29191832451369965
ACH-000085,-0.11295874569836682
ACH-000086,-0.23662678537552115
ACH-000087,-0.33242511997287844
ACH-000092,-0.04301269594981053
ACH-000095,0.007632344225443135
ACH-000097,-0.2240270249268989
ACH-000098,-0.010780830925068857
ACH-000099,-0.17690072215557134
ACH-000108,-0.1097749471876517
ACH-000113,-0.12233187799619175
ACH-000116,-0.21062175272050013
ACH-000118,-0.17669965577582605
ACH-000120,-0.11065222186673514
ACH-000123,-0.3456622081262695
ACH-000127,0.013406527428803643
ACH-000128,-0.2881413590458723
ACH-000132,0.03865187367310605
ACH-000133,-0.1300641684773398
ACH-000137,-0.19440556193030825
ACH-000138,-0.09757405314737563
ACH-000142,-0.317244641565003
ACH-000143,-0.148246651669194
ACH-000146,-0.20091530802408594
ACH-000148,-0.14226860649844988
ACH-000150,-0.28867938105524354
ACH-000152,-0.1820649305292215
ACH-000153,-0.2244411142831208
ACH-000159,-0.14008853016038866
ACH-000160,-0.1266215343528649
ACH-000163,-0.24549650176320165
ACH-000167,-0.17505869786671058
ACH-000168,-0.10217239311958193
ACH-000169,-0.07924862299565315
ACH-000178,-0.14498395298885747
ACH-000183,0.009297392111282532
ACH-000188,-0.06481878859810286
ACH-000189,-0.16756545331078868
ACH-000190,-0.21940750436643627
ACH-000198,-0.09078104184197758
ACH-000203,-0.4845107891219698
ACH-000204,-0.2705598872731449
ACH-000206,-0.10489001056341636
ACH-000207,-0.042274122695817436
ACH-000208,-0.2341924636784054
ACH-000210,-0.10211685333394094
ACH-000211,-0.1772775643424174
ACH-000215,-0.20705565267359835
ACH-000221,-0.3379110846216278
ACH-000222,0.10517620569408356
ACH-000223,-0.24030287472529635
ACH-000226,-0.11831035886567474
ACH-000227,-0.2104195532593364
ACH-000228,-0.1527189775096703
ACH-000231,-0.07048922677165975
ACH-000232,-0.04803040521312562
ACH-000233,-0.09721390621733804
ACH-000234,-0.32681102925638217
ACH-000235,-0.08971006386627056
ACH-000237,-0.1400455639419442
ACH-000238,-0.2129877573450445
ACH-000242,-0.5374551358306491
ACH-000243,-0.1620227922186578
ACH-000244,-0.08803562739843222
ACH-000246,-0.2442051097215809
ACH-000248,-0.04965447741539462
ACH-000250,-0.07534764158847702
ACH-000251,-0.3577785996976849
ACH-000252,-0.0040384254405401426
ACH-000253,-0.17450447197816482
ACH-000255,-0.18312479094519632
ACH-000256,-0.2391080582424403
ACH-000257,0.12455603487329107
ACH-000258,-0.36626959468719616
ACH-000259,-0.19057043506032115
ACH-000260,-0.1978114169956832
ACH-000261,-0.272078587898463
ACH-000262,0.0805609181860613
ACH-000263,-0.21514540498715756
ACH-000264,-0.23037449553801534
ACH-000265,-0.0986364579403711
ACH-000266,-0.1482868052278239
ACH-000272,-0.05352019480097296
ACH-000274,-0.22694430034440066
ACH-000277,-0.208774690073297
ACH-000278,-0.3289272036534105
ACH-000279,-0.23701987067896424
ACH-000280,-0.051854085724776885
ACH-000281,-0.22850726608842464
ACH-000288,0.009948236040818436
ACH-000291,-0.26453287022249256
ACH-000293,-0.08346812544622811
