,FANCA (2175)
ACH-000004,-0.3054577240310263
ACH-000005,-0.276453176498009
ACH-000007,-0.2828037572132928
ACH-000009,-0.28950353203794177
ACH-000011,-0.3472312393382378
ACH-000012,-0.22198169872961365
ACH-000013,-0.2544490631465513
ACH-000014,-0.3481421837811135
ACH-000015,-0.03615969576954463
ACH-000017,-0.07005687290243226
ACH-000018,-0.21555360657937775
ACH-000019,-0.3161372102652324
ACH-000021,-0.29326168595963065
ACH-000022,-0.08173680808044774
ACH-000025,-0.2871353528762489
ACH-000028,-0.2223393225331811
ACH-000030,-0.060806304283981615
ACH-000035,-0.16479501725559972
ACH-000036,-0.3016067851524484
ACH-000037,-0.26440200042762463
ACH-000039,0.002014329611318766
ACH-000040,-0.3223605229731077
ACH-000041,0.0077030666089450955
ACH-000042,-0.2076195030201026
ACH-000045,-0.35507845449573544
ACH-000047,-0.09869149776239534
ACH-000052,-0.09543558930135997
ACH-000053,-0.11206094726283597
ACH-000054,-0.3022932289211201
ACH-000055,-0.1516725871667058
ACH-000060,-0.04919821755978376
ACH-000067,-0.28011998721233194
ACH-000070,-0.07021656385235629
ACH-000075,-0.2839294967618461
ACH-000078,-0.2664936804309533
ACH-000082,-0.2893035354052191
ACH-000085,-0.03876177964010906
ACH-000086,-0.015815672084483902
ACH-000087,-0.3328371289203583
ACH-000092,-0.13069709593103235
ACH-000095,-0.127236727557703
ACH-000097,-0.2238865159485368
ACH-000098,-0.17656909933224169
ACH-000099,-0.4415561745795816
ACH-000108,-0.18220183104904425
ACH-000113,-0.7793009336382998
ACH-000116,-0.2311674201487854
ACH-000118,-0.4585436806666347
ACH-000120,-0.3040519129373877
ACH-000123,-0.15261380609469374
ACH-000127,-0.18324009371907235
ACH-000128,-0.028839417788345874
ACH-000132,-0.472201615256927
ACH-000133,-0.4725848860914918
ACH-000137,-0.01403464632857455
ACH-000138,-0.13028854778951673
ACH-000142,-0.22398468799942636
ACH-000143,-0.3027668963520419
ACH-000146,-0.2013632260918931
ACH-000148,-0.29327771841829864
ACH-000150,0.040707699992490916
ACH-000152,-0.4947182007661258
ACH-000153,-0.09268092084939332
ACH-000159,-0.2194369725209347
ACH-000160,-0.0684746528206958
ACH-000163,-0.23758613177188334
ACH-000167,0.16100647678460714
ACH-000168,-0.2721627601255142
ACH-000169,-0.0980224262031252
ACH-000178,-0.22130022851992487
ACH-000183,0.02417468873343574
ACH-000188,-0.2652511341086715
ACH-000189,-0.3330042309497581
ACH-000190,-0.11094391537092058
ACH-000198,-0.43127442638170177
ACH-000203,-0.13020604214105566
ACH-000204,-0.3858497884055263
ACH-000206,-0.3965314324877927
ACH-000207,-0.1095812752965178
ACH-000208,-0.33380385438262394
ACH-000210,-0.0634500526033913
ACH-000211,-0.2974496499951222
ACH-000215,-0.24762877172440365
ACH-000221,-0.005841652107596001
ACH-000222,-0.2983345393909201
ACH-000223,-0.1668645583922181
ACH-000226,-0.3737064988102123
ACH-000227,-0.09956963405442648
ACH-000228,-0.06657623229143604
ACH-000231,-0.3202438899538663
ACH-000232,-0.1514862833794023
ACH-000233,-0.35508789350569625
ACH-000234,-0.26785740633940913
ACH-000235,-0.2141627633258993
ACH-000237,-0.32034447810481426
ACH-000238,-0.19280729218486115
ACH-000242,-0.4332999137132797
ACH-000243,-0.2720845804432148
ACH-000244,-0.30976171691309484
ACH-000246,-0.5633814496013181
ACH-000248,-0.2081104535276397
ACH-000250,-0.25355842526942285
ACH-000251,-0.06603295237453335
ACH-000252,-0.4002545218780742
ACH-000253,-0.18160472751834336
ACH-000255,-0.2401114462277747
ACH-000256,-0.14478983221082953
ACH-000257,-0.3557495485549784
ACH-000258,-0.4276176242725751
ACH-000259,-0.24492868076973914
ACH-000260,-0.04211813947823062
ACH-000261,-0.4265107331236986
ACH-000262,-0.28276459554659805
ACH-000263,0.13177237752996826
ACH-000264,-0.2568292907907408
ACH-000265,-0.16453650719413268
ACH-000266,-0.21665794011111514
ACH-000272,-0.0562508066551472
ACH-000274,-0.1917543649741251
ACH-000277,-0.4099973781920839
ACH-000278,-0.5907044323808788
ACH-000279,-0.07912649097773036
ACH-000280,-0.36317686304105146
ACH-000281,-0.134039162445867
ACH-000288,-0.3761351020888078
ACH-000291,-0.01703253949703716
ACH-000293,-0.17869914213531662
ACH-000294,0.0064141135951974815
ACH-000295,-0.5249020620357815
ACH-000296,-0.03020010045031714
ACH-000302,-0.06913146744085824
ACH-000304,-0.27686230375713544
ACH-000307,-0.11108584135091633
ACH-000308,-0.1110765668239336
ACH-000310,-0.16321344836096927
ACH-000311,-0.2784868659393612
ACH-000312,-0.1316452874223443
ACH-000315,-0.36273199091567704
ACH-000316,-0.2937762283020842
ACH-000317,-0.21738123111719268
ACH-000318,-0.05810874711747584
ACH-000319,-0.2682009091105837
ACH-000320,-0.2276281222679881
ACH-000322,-0.1699355863679317
ACH-000323,-0.2538674856467121
ACH-000324,-0.3109991556254425
ACH-000329,-0.16716513531188942
ACH-000330,-0.07303452885366768
ACH-000331,-0.09383021031825524
ACH-000332,-0.1917006857782446
ACH-000334,-0.061183425445075025
ACH-000335,-0.3551187756569683
ACH-000336,-0.5091385472275799
ACH-000337,-0.14967721508784715
ACH-000338,-0.8474201492387853
ACH-000339,-0.27692546329400203
ACH-000341,-0.4439002111107481
ACH-000348,-0.3926209421058973
ACH-000350,-0.016228025332800437
ACH-000352,-0.13791439474086792
ACH-000356,-0.008327423370593291
ACH-000361,-0.33340531917975136
ACH-000362,-0.5898352540860918
ACH-000363,-0.3405539913614841
ACH-000364,-0.4939869266048858
ACH-000365,-0.4112869273517922
ACH-000366,-0.25597387243771663
ACH-000368,-0.1588050228319319
ACH-000374,-0.3071768791153462
ACH-000375,-0.4769216204484316
ACH-000376,-0.1592877423260147
ACH-000381,-0.20341399639707514
ACH-000383,-0.15505532427225222
ACH-000387,-0.3025905574242844
ACH-000389,-0.2746381751303291
ACH-000390,-0.2679489723309996
ACH-000393,-0.2326966534913476
ACH-000395,-0.04990884536644023
