,ATP6V0B (533)
ACH-000004,-1.2184418478909185
ACH-000005,-1.3295894249026357
ACH-000007,-1.2287145388838756
ACH-000009,-1.1901180181018205
ACH-000011,-0.9721167832103824
ACH-000012,-1.2599314175253993
ACH-000013,-0.9521683304048412
ACH-000014,-1.262350709220961
ACH-000015,-1.1175895627228332
ACH-000017,-0.9905833744536772
ACH-000018,-1.0869607464181998
ACH-000019,-1.2498468514085626
ACH-000021,-1.2513739428302946
ACH-000022,-1.2512664262614257
ACH-000025,-1.1526283830317978
ACH-000028,-0.9933733750149236
ACH-000030,-1.1906932884065458
ACH-000035,-1.2817032571058695
ACH-000036,-1.1913644867242188
ACH-000037,-1.206231872840632
ACH-000039,-1.1922309597379288
ACH-000040,-1.1277142508306404
ACH-000041,-0.9188863962191496
ACH-000042,-0.9326110076348338
ACH-000045,-1.0916487866703262
ACH-000047,-1.0425737144584963
ACH-000052,-1.2710971933314654
ACH-000053,-1.2750077803220492
ACH-000054,-1.0577528398415998
ACH-000055,-1.071007767404737
ACH-000060,-1.1241943521104143
ACH-000067,-1.03667667822725
ACH-000070,-1.1460302394202049
ACH-000075,-1.1448218783489041
ACH-000078,-1.0109072583322656
ACH-000082,-0.881289915819581
ACH-000085,-1.2798136424460795
ACH-000086,-1.0057404726372117
ACH-000087,-0.9818226141539692
ACH-000092,-1.045196536006568
ACH-000095,-1.19187635388873
ACH-000097,-1.2589739911574314
ACH-000098,-1.142416826256933
ACH-000099,-1.0613452208211125
ACH-000108,-1.3355682576303989
ACH-000113,-0.9583019214011824
ACH-000116,-1.2286978128545296
ACH-000118,-1.099704335400968
ACH-000120,-1.0840977742285869
ACH-000123,-0.9638072255046184
ACH-000127,-1.1450310420273422
ACH-000128,-1.0925595406523594
ACH-000132,-1.1108294923507176
ACH-000133,-1.2521585142056602
ACH-000137,-0.9596377584711406
ACH-000138,-1.0191238835380751
ACH-000142,-1.1148402230949022
ACH-000143,-1.611365935761894
ACH-000146,-1.4108763314494508
ACH-000148,-1.0884335468193322
ACH-000150,-1.083342678128712
ACH-000152,-0.7781662882589261
ACH-000153,-1.078773242756524
ACH-000159,-1.0460206829084089
ACH-000160,-1.0592207441715051
ACH-000163,-0.684267981288089
ACH-000167,-1.8733732075179903
ACH-000168,-1.1289673360438124
ACH-000169,-1.2054008098152105
ACH-000178,-1.0843156946706125
ACH-000183,-1.255065543363482
ACH-000188,-1.1649829028733374
ACH-000189,-1.0476114755145165
ACH-000190,-1.064373407114996
ACH-000198,-1.1448188195011708
ACH-000203,-1.2360771542511853
ACH-000204,-1.1799146787516797
ACH-000206,-0.9698072873864492
ACH-000207,-1.351998077454554
ACH-000208,-1.1219182132999164
ACH-000210,-0.990837453239838
ACH-000211,-1.0294219839568235
ACH-000215,-1.1204033245774494
ACH-000221,-1.1923174479669487
ACH-000222,-1.1517104530889484
ACH-000223,-1.3763577863935783
ACH-000226,-1.108839381613398
ACH-000227,-0.9682119787795522
ACH-000228,-1.1658422039856478
ACH-000231,-1.0563434912670002
ACH-000232,-1.1159681477465309
ACH-000233,-1.2311364695504021
ACH-000234,-1.133607494976469
ACH-000235,-1.1339201613846677
ACH-000237,-1.1404691705899122
ACH-000238,-0.9514660685816768
ACH-000242,-0.5886137725504202
ACH-000243,-1.1263113235097242
ACH-000244,-1.1254036821562894
ACH-000246,-1.1436566139361333
ACH-000248,-1.2711740553321098
ACH-000250,-0.9621185822989062
ACH-000251,-1.2273481739681564
ACH-000252,-1.2407735224680605
ACH-000253,-1.1099975713089667
ACH-000255,-1.1650128500438746
ACH-000256,-1.2115459915171043
ACH-000257,-1.2193206329619717
ACH-000258,-1.4264557701972334
ACH-000259,-1.2579325154629342
ACH-000260,-1.224130893387769
ACH-000261,-1.2621189102479322
ACH-000262,-1.1476137592891895
ACH-000263,-1.3521391350784222
ACH-000264,-1.3341475527887288
ACH-000265,-1.090501853689663
ACH-000266,-1.1682045531769936
ACH-000272,-1.2749777923662606
ACH-000274,-0.8079974430253583
ACH-000277,-1.4389302489651683
ACH-000278,-0.9582093782520044
ACH-000279,-1.1125528413574732
ACH-000280,-1.1487447617071689
ACH-000281,-0.9268079982097186
ACH-000288,-1.086419775874392
ACH-000291,-1.032967906359159
ACH-000293,-1.254941104307721
ACH-000294,-1.2742656741716734
ACH-000295,-1.1922528244606163
ACH-000296,-1.5470025886985002
ACH-000302,-1.174848066097177
