,FOPNL (123811)
ACH-000004,-0.011204521580969651
ACH-000005,0.1175339809496562
ACH-000007,0.2283651063123072
ACH-000009,0.06000415149842382
ACH-000011,0.023278114352513157
ACH-000012,0.08520529629794113
ACH-000013,-0.006753803678741576
ACH-000014,0.0824977041758428
ACH-000015,-0.02574864917846152
ACH-000017,-0.016261562290830128
ACH-000018,0.08262901260161865
ACH-000019,0.1433481114921103
ACH-000021,0.04502329453620815
ACH-000022,0.13897972113726836
ACH-000025,0.04530228358647262
ACH-000028,0.1426394461316873
ACH-000030,0.13563799819733774
ACH-000035,-0.039063686140827183
ACH-000036,0.034887041633242355
ACH-000037,-0.07642197376588196
ACH-000039,0.07664125205380339
ACH-000040,0.0738568191963742
ACH-000041,0.24553599937487505
ACH-000042,0.1800974527191285
ACH-000045,0.07637388821848913
ACH-000047,0.058532110499519535
ACH-000052,-0.226828662343422
ACH-000053,0.07523250713284986
ACH-000054,0.099298016441046
ACH-000055,0.12464461776026073
ACH-000060,0.2673244633685592
ACH-000067,0.11726800827354725
ACH-000070,-0.013745750441977971
ACH-000075,0.20570234359873305
ACH-000078,-0.04853839503193627
ACH-000082,0.12488675782288547
ACH-000085,0.0012744124655347715
ACH-000086,0.20343824718838574
ACH-000087,-0.054120591622079266
ACH-000092,0.05085598267118789
ACH-000095,0.16000306239656092
ACH-000097,0.06486685540320694
ACH-000098,0.07425156541213039
ACH-000099,0.07355813935303747
ACH-000108,0.2292032903471809
ACH-000113,0.08658904399594196
ACH-000116,0.2433579028641991
ACH-000118,0.1094305429230833
ACH-000120,0.2849341466523118
ACH-000123,0.1613727771624321
ACH-000127,0.0878757658890054
ACH-000128,0.12170251612313401
ACH-000132,0.09007546220005937
ACH-000133,0.1347046625319184
ACH-000137,-0.08861824312895407
ACH-000138,0.14404254697696578
ACH-000142,0.0241534144255814
ACH-000143,0.33273428343769995
ACH-000146,0.040223662030677315
ACH-000148,-0.044762545143433065
ACH-000150,0.12585956217754626
ACH-000152,0.10371142198923428
ACH-000153,0.04363267576985522
ACH-000159,0.08188535555642648
ACH-000160,0.16390804768359898
ACH-000163,0.062143994764674526
ACH-000167,0.010698058484445359
ACH-000168,0.17245969185295934
ACH-000169,-0.0075339185657149815
ACH-000178,0.12371153204179007
ACH-000183,0.08487871669214309
ACH-000188,0.15579494139309988
