,PRR23B (389151)
ACH-000004,-0.005380367855932286
ACH-000005,0.4109694252378396
ACH-000007,0.027906714955353917
ACH-000009,0.1663333258875116
ACH-000011,-0.05751471629766991
ACH-000012,-0.06477918884956832
ACH-000013,0.11881266983587127
ACH-000014,-0.11141594775138368
ACH-000015,0.024039836106569727
ACH-000017,0.1256871131448658
ACH-000018,-0.3245642110358255
ACH-000019,-0.07530789268845489
ACH-000021,-0.012322720747841132
ACH-000022,0.2988314396502286
ACH-000025,0.14735407693591013
ACH-000028,0.15307483174218114
ACH-000030,0.05424074942416874
ACH-000035,0.118252687445783
ACH-000036,-0.16350384574501942
ACH-000037,0.2621898770096016
ACH-000039,0.02909680822258862
ACH-000040,0.154190163595702
ACH-000041,0.05879653605004145
ACH-000042,0.20389939142187608
ACH-000045,-0.034113632659434706
ACH-000047,0.18933288393696274
ACH-000052,0.07508766379799857
ACH-000053,0.13828650417501628
ACH-000054,0.0316325384546814
ACH-000055,0.2571554145387856
ACH-000060,0.07392883008161298
ACH-000067,0.10964727359217323
ACH-000070,-0.10481481283527154
ACH-000075,0.1842744857263452
ACH-000078,0.2379116708549376
ACH-000082,0.12951054915875712
ACH-000085,0.12070063492014135
ACH-000086,0.017950921872247255
ACH-000087,0.2357917306192728
ACH-000092,0.15690201798126233
ACH-000095,0.024993610044862863
ACH-000097,0.06722687834294919
ACH-000098,-0.07890985865709013
ACH-000099,0.127649019656584
ACH-000108,0.12307602613142432
ACH-000113,0.12848021092024034
ACH-000116,0.10841793735491717
ACH-000118,0.040748877148969034
ACH-000120,0.09118830016612443
ACH-000123,0.11782632209045865
ACH-000127,0.16710419037720492
ACH-000128,-0.04197869926451043
ACH-000132,-0.02212520127454911
ACH-000133,0.038616359753688115
ACH-000137,0.09217260750874046
ACH-000138,0.08305525180431264
ACH-000142,0.1484705706781769
ACH-000143,0.20756180771610547
ACH-000146,0.0519220699194838
ACH-000148,0.15270975040445509
ACH-000150,0.011248339698166654
ACH-000152,0.1480527255957274
ACH-000153,0.09258808275861297
ACH-000159,0.08142776501069496
ACH-000160,0.015909359849236273
ACH-000163,0.07665352763289104
ACH-000167,-0.03113030828172407
ACH-000168,-0.009732058781313242
ACH-000169,0.08213912409528452
ACH-000178,-0.07899413422532651
ACH-000183,0.19471258024446847
ACH-000188,0.02457234127155084
ACH-000189,0.22126821278195974
ACH-000190,0.05127918729146765
ACH-000198,0.12155386571859235
ACH-000203,0.0566418806041424
ACH-000204,0.14762177037296886
ACH-000206,0.07624386346695627
ACH-000207,0.17340816889933106
ACH-000208,0.07032838444804151
ACH-000210,-0.12776059825132588
ACH-000211,0.0701545979476899
ACH-000215,0.09955416814752066
ACH-000221,0.14111661691998112
ACH-000222,0.21574050169346776
ACH-000223,0.1014549028677926
ACH-000226,-0.023497200880902257
ACH-000227,0.15545804143456934
ACH-000228,-0.07969233386982448
