,TIMELESS (8914)
ACH-000004,-1.3896841534816675
ACH-000005,-1.579639211248451
ACH-000007,-0.8647690098041785
ACH-000009,-1.1972976750982396
ACH-000011,-1.2521125998949598
ACH-000012,-1.3206058130541596
ACH-000013,-1.317640610845818
ACH-000014,-1.283128789642219
ACH-000015,-1.1943668792631013
ACH-000017,-1.1596043939411853
ACH-000018,-1.1261469341198207
ACH-000019,-0.9067412687700892
ACH-000021,-0.9516680344719436
ACH-000022,-1.2793657072723406
ACH-000025,-1.4313599415425986
ACH-000028,-1.0470666990278363
ACH-000030,-1.147846021436448
ACH-000035,-1.227150179892826
ACH-000036,-1.1662537133158335
ACH-000037,-1.4452512582775905
ACH-000039,-1.4191851965176376
ACH-000040,-1.2995376213457466
ACH-000041,-1.1030012924842436
ACH-000042,-1.2691653173451969
ACH-000045,-1.235276915720436
ACH-000047,-1.336954654076261
ACH-000052,-1.2447893356864297
ACH-000053,-1.1232684190570177
ACH-000054,-1.0797619794737603
ACH-000055,-1.0674106188337606
ACH-000060,-0.9065521761521386
ACH-000067,-1.2932682465509842
ACH-000070,-1.0758495726970092
ACH-000075,-1.1519699025648895
ACH-000078,-1.2686270308383276
ACH-000082,-1.1467042132557794
ACH-000085,-0.9707163988902882
ACH-000086,-1.2750160431098667
ACH-000087,-0.9641192301089664
ACH-000092,-1.075946521694816
ACH-000095,-1.1707167499105449
ACH-000097,-1.1878709932666638
ACH-000098,-1.184899811640013
ACH-000099,-1.044517507892744
ACH-000108,-1.0410702226028852
ACH-000113,-1.3309863993846265
ACH-000116,-1.0250849818558256
ACH-000118,-1.1513843386612046
ACH-000120,-1.1256024110614102
ACH-000123,-1.0957971298074292
ACH-000127,-1.2302489065015714
ACH-000128,-0.988565405178912
ACH-000132,-1.0993458802521003
ACH-000133,-1.305974049853612
ACH-000137,-1.2939481248558249
ACH-000138,-1.0667833332610157
ACH-000142,-1.156527898389364
ACH-000143,-1.4200303452542806
ACH-000146,-1.3781440857693434
ACH-000148,-1.3858893149380749
ACH-000150,-1.1009152702480192
ACH-000152,-1.1051937830115433
ACH-000153,-0.9902991626129044
ACH-000159,-1.0926608013426569
ACH-000160,-1.5257432411860647
ACH-000163,-1.1577050095734784
ACH-000167,-1.87168072616852
ACH-000168,-1.0926604969149667
ACH-000169,-0.9934083546186216
ACH-000178,-1.165465423379966
ACH-000183,-1.2928854533790142
ACH-000188,-1.0505802082920477
ACH-000189,-1.0636293206948224
ACH-000190,-1.2931153287778436
ACH-000198,-1.2688667348840226
ACH-000203,-1.060981049383387
ACH-000204,-0.7958325305584947
ACH-000206,-1.0169208864901311
ACH-000207,-1.134582859187084
ACH-000208,-1.3016484846075689
ACH-000210,-1.150870594005904
ACH-000211,-1.2684300844684084
ACH-000215,-1.1613388823582886
ACH-000221,-1.4558754031032748
ACH-000222,-1.2950188298255434
ACH-000223,-1.3935508794332243
ACH-000226,-1.204535180096712
ACH-000227,-1.490152462259405
ACH-000228,-1.168802594300154
ACH-000231,-1.1246883675673194
ACH-000232,-1.2400581564158202
ACH-000233,-1.3143767093409957
ACH-000234,-1.0600132772881672
ACH-000235,-1.1366807056413428
ACH-000237,-1.1056105192388035
ACH-000238,-1.1715880282845026
ACH-000242,-1.166798122367517
ACH-000243,-1.1730669383984396
ACH-000244,-1.3606794746078996
ACH-000246,-1.150270686419259
ACH-000248,-1.1024175993161134
ACH-000250,-1.2469200570690218
ACH-000251,-1.0755142672703617
ACH-000252,-0.960706556346382
ACH-000253,-0.8164462298680699
ACH-000255,-1.1323043418015886
ACH-000256,-1.5530897729141262
ACH-000257,-1.0075490171983768
ACH-000258,-0.8728231411404729
ACH-000259,-1.2823039126219926
ACH-000260,-1.3394488415105623
ACH-000261,-1.2674580678892189
ACH-000262,-1.3129575911996194
ACH-000263,-1.3257294299369995
ACH-000264,-1.2884020899681636
ACH-000265,-0.9692883756934232
ACH-000266,-1.2041615693305294
ACH-000272,-1.0449316798620079
ACH-000274,-0.9856529545718056
ACH-000277,-1.1139023337262322
ACH-000278,-1.2793135847243702
ACH-000279,-1.3778731986616977
ACH-000280,-1.0713267894186334
ACH-000281,-1.2616790037171008
ACH-000288,-1.2516185686432362
ACH-000291,-1.207013118395063
ACH-000293,-1.2952875588640218
ACH-000294,-1.312314440153438
ACH-000295,-1.5529132970618829
ACH-000296,-1.1764410762784785
ACH-000302,-1.3619644916206737
ACH-000304,-0.9568168783244968
ACH-000307,-1.2420388290497946
ACH-000308,-1.2682569300644526
ACH-000310,-1.2180845247899046
ACH-000311,-1.0365896983032818
ACH-000312,-1.104872253008922
ACH-000315,-1.6865546553691582
ACH-000316,-1.2592210420341683
ACH-000317,-1.303099854401198
ACH-000318,-1.2097680872551804
ACH-000319,-1.254563374213248
ACH-000320,-1.1791170808728164
ACH-000322,-1.2534392478876295
ACH-000323,-1.3634092641983018
ACH-000324,-1.1720491311003325
ACH-000329,-1.161599801844208
ACH-000330,-0.958466976827538
ACH-000331,-1.14734573491101
ACH-000332,-0.91909712840769
ACH-000334,-1.6342109793702606
ACH-000335,-1.4560610640613807
ACH-000336,-1.428051085045237
ACH-000337,-1.2878123621776572
ACH-000338,-1.46389596112632
ACH-000339,-1.2176872078685779
ACH-000341,-1.183346246762032
ACH-000348,-1.1680996862268
ACH-000350,-1.001691948251304
ACH-000352,-0.9854826267460216
ACH-000356,-1.1645228459689034
ACH-000361,-1.1408781499437155
ACH-000362,-1.2097988473851538
ACH-000363,-1.156358915415988
ACH-000364,-0.9987823998842364
ACH-000365,-1.218335543029733
ACH-000366,-1.0923627717238604
ACH-000368,-1.2690765307011251
ACH-000374,-1.1743079417670037
ACH-000375,-1.1176079949225872
ACH-000376,-1.2399528902853456
ACH-000381,-1.0722136334370085
ACH-000383,-1.237199000704969
ACH-000387,-1.4347888418550525
ACH-000389,-1.268898482722096
ACH-000390,-1.2552937610427966
ACH-000393,-1.363757035890368
ACH-000395,-1.2177272715958667
ACH-000396,-1.2484016774084925
ACH-000397,-1.2660074044284062
ACH-000401,-1.4619097900149522
ACH-000402,-1.4329329577667949
ACH-000403,-1.1855853803534444
ACH-000404,-1.1738864168365022
ACH-000406,-1.2421660619658732
ACH-000407,-1.0483159346879696
ACH-000408,-1.1007943304273229
ACH-000410,-1.1818855874096648
ACH-000411,-1.2576660339676329
ACH-000414,-1.0150457818495895
ACH-000415,-1.2600230031598598
ACH-000416,-1.2548215853314948
ACH-000420,-1.2267789730903234
ACH-000421,-1.2266911414165005
ACH-000424,-1.2798082828802468
ACH-000425,-1.1648279823052277
ACH-000426,-1.133460461622946
ACH-000427,-1.1215040418323203
