,EPX (8288)
ACH-000004,0.0267836667782867
ACH-000005,0.04902623257918856
ACH-000007,-0.09824701316813844
ACH-000009,-0.13079502604525398
ACH-000011,-0.11303105240184375
ACH-000012,-0.1370014718462879
ACH-000013,-0.07611712634152229
ACH-000014,-0.11403376650705987
ACH-000015,-0.06553112830922997
ACH-000017,-0.10837057610069666
ACH-000018,-0.11560831831136953
ACH-000019,-0.3840283029275698
ACH-000021,-0.13503791285843866
ACH-000022,-0.0623421091629103
ACH-000025,-0.11556652485141705
ACH-000028,-0.2094786022949448
ACH-000030,-0.12262248230136655
ACH-000035,-0.1952428666058961
ACH-000036,-0.09778998572548668
ACH-000037,-0.1860020947189168
ACH-000039,-0.21130317020915676
ACH-000040,-0.026260516913240526
ACH-000041,-0.12013618917932173
ACH-000042,-0.18953471036447198
ACH-000045,-0.1119005277991179
ACH-000047,-0.23297021438952634
ACH-000052,-0.02123317617411284
ACH-000053,-0.2497112867961431
ACH-000054,-0.32652817187541483
ACH-000055,-0.2502491012278516
ACH-000060,0.03462367463911172
ACH-000067,-0.096026087936403
ACH-000070,-0.11403968746411873
ACH-000075,-0.16245406737560647
ACH-000078,-0.2822910099756347
ACH-000082,-0.1391746618988728
ACH-000085,-0.2695189378879407
ACH-000086,0.012878933819277051
ACH-000087,-0.12423236568318248
ACH-000092,0.012867761877506026
ACH-000095,0.016276748684036457
ACH-000097,-0.13216906863547173
ACH-000098,-0.09133877410656448
ACH-000099,-0.2612637777443646
ACH-000108,-0.06987101314535091
ACH-000113,-0.08757953933364564
ACH-000116,-0.12019068913489145
ACH-000118,-0.1260928046142681
ACH-000120,-0.2209168463700956
ACH-000123,-0.08348594591801242
ACH-000127,-0.1075902621428266
ACH-000128,-0.07600724950943732
ACH-000132,-0.033646227143793964
ACH-000133,-0.12466573918701948
ACH-000137,-0.0064804326260767715
ACH-000138,-0.2420998920130275
ACH-000142,-0.1606427523622972
ACH-000143,-0.14159022418985412
ACH-000146,-0.08349692052692885
ACH-000148,-0.13134936286753396
ACH-000150,-0.17068916100974246
ACH-000152,-0.20245762130921013
