,NELFA (7469)
ACH-000004,-0.6718418491776408
ACH-000005,-0.5007866229461234
ACH-000007,-1.0136780598230577
ACH-000009,-0.9316965226357304
ACH-000011,-0.8590240952581221
ACH-000012,-0.6296528488967658
ACH-000013,-0.5951994402202699
ACH-000014,-0.9584504382144939
ACH-000015,-1.0081964412649085
ACH-000017,-0.9472827681183228
ACH-000018,-0.6491874519540696
ACH-000019,-0.7844641307718698
ACH-000021,-0.7183650437420287
ACH-000022,-0.5125766761395885
ACH-000025,-0.8956916673198798
ACH-000028,-0.7899845171703233
ACH-000030,-0.7026514122205864
ACH-000035,-1.1006625153437979
ACH-000036,-0.7589004835958997
ACH-000037,-0.7535180070018959
ACH-000039,-1.0154055196559004
ACH-000040,-0.6484433867733255
ACH-000041,-0.6560135976365816
ACH-000042,-0.5321950054267003
ACH-000045,-1.070537286334997
ACH-000047,-0.7872965006354022
ACH-000052,-0.8556359292756923
ACH-000053,-0.7347421893719589
ACH-000054,-0.719927553680707
ACH-000055,-0.7986881131321956
ACH-000060,-0.7662676986784596
ACH-000067,-0.857564522544468
ACH-000070,-0.7302241352868295
ACH-000075,-0.5866494603515441
ACH-000078,-0.6790875506655172
ACH-000082,-0.5098511019182871
ACH-000085,-1.0450525688989156
ACH-000086,-0.7158876004989659
ACH-000087,-0.8019069640371813
ACH-000092,-0.8343163368906956
ACH-000095,-0.6861292296161676
ACH-000097,-0.8383573598896226
ACH-000098,-0.5489555807242671
ACH-000099,-0.6805142108516786
ACH-000108,-0.7706442296660321
ACH-000113,-0.6380828323091164
ACH-000116,-0.7413707882711352
ACH-000118,-0.8312997123874531
ACH-000120,-0.814046138381713
ACH-000123,-0.8147273878940384
ACH-000127,-0.7378493373501853
ACH-000128,-0.780769407228766
ACH-000132,-0.5921433464660562
ACH-000133,-0.6336834302810512
ACH-000137,-1.0615992814597013
ACH-000138,-0.74714348113562
ACH-000142,-0.6663769333370538
ACH-000143,-0.914807221544729
ACH-000146,-0.4454693564310845
ACH-000148,-1.1103954761742971
ACH-000150,-0.9615856558157728
ACH-000152,-0.8359018374163296
ACH-000153,-0.6575691417577119
ACH-000159,-0.8293220975146429
ACH-000160,-0.6192273564349258
ACH-000163,-0.5943434318389742
ACH-000167,-1.1225134997617277
ACH-000168,-0.679320402371755
ACH-000169,-0.7669604966178749
ACH-000178,-0.8855762282759684
ACH-000183,-0.6234121758232779
ACH-000188,-0.7403285815838511
ACH-000189,-1.0720573317004216
ACH-000190,-0.9295947539908164
ACH-000198,-0.642441831937545
ACH-000203,-0.5134054725304492
ACH-000204,-0.9189712124870584
ACH-000206,-0.8210185322337943
ACH-000207,-0.5955098981540055
ACH-000208,-1.1917903834282246
ACH-000210,-0.7016113687562789
ACH-000211,-0.9378254328883191
ACH-000215,-0.9381570758527558
ACH-000221,-0.9434755236463976
ACH-000222,-0.7137627482999654
ACH-000223,-0.8942798309435963
ACH-000226,-0.6727905699566336
ACH-000227,-0.4824385702919343
ACH-000228,-0.7193635940432003
ACH-000231,-0.7397617110908683
ACH-000232,-0.7527872758501372
ACH-000233,-0.797688699788812
ACH-000234,-0.7423217766607177
ACH-000235,-0.5898909875333139
ACH-000237,-0.7739845950119372
ACH-000238,-0.6699586676218627
ACH-000242,-0.5914792817921238
ACH-000243,-0.8910121901135812
ACH-000244,-0.6016719415096302
ACH-000246,-0.7147603735620802
ACH-000248,-0.9873181001367326
ACH-000250,-0.6753660158017503
ACH-000251,-0.7899049902900488
ACH-000252,-0.9096492436458432
ACH-000253,-0.6081708742284408
ACH-000255,-0.8907280890396619
ACH-000256,-0.8010858959179459
ACH-000257,-0.7552559709687058
ACH-000258,-0.5577460872896083
ACH-000259,-1.0584983971816009
ACH-000260,-0.7671684379733696
ACH-000261,-0.7154196362268445
ACH-000262,-0.8010652279071994
ACH-000263,-0.8578440379225163
ACH-000264,-0.7702621107479094
ACH-000265,-0.7114863369235279
ACH-000266,-0.9453498073905718
ACH-000272,-0.5512931358428446
ACH-000274,-0.4767254736261518
ACH-000277,-0.7113484441351751
ACH-000278,-0.6764657285169147
ACH-000279,-0.6793673987887359
ACH-000280,-0.7960388284145435
ACH-000281,-0.7592937796966683
ACH-000288,-0.8544746296074915
ACH-000291,-0.8300557791964094
ACH-000293,-0.8005345713841254
ACH-000294,-0.6527163890823237
ACH-000295,-0.7603417461556364
ACH-000296,-0.6705853223290758
ACH-000302,-0.9388557768268299
ACH-000304,-0.9161415721198874
ACH-000307,-0.7414259172205154
ACH-000308,-0.9507153497749558
ACH-000310,-0.5603540343459127
ACH-000311,-0.7369870057204118
ACH-000312,-0.8614908830910653
ACH-000315,-1.1966210725708204
ACH-000316,-0.8568459478444673
ACH-000317,-0.9909929640219552
ACH-000318,-0.8343081504480127
ACH-000319,-0.7498435290251779
ACH-000320,-0.6806183400933519
ACH-000322,-0.9600713392574644
ACH-000323,-0.7091292847933836
ACH-000324,-0.7387038803846252
ACH-000329,-0.6848344857257679
ACH-000330,-0.8958998457265667
ACH-000331,-0.9573222963748691
ACH-000332,-0.8147986584665762
ACH-000334,-0.8288545010095983
ACH-000335,-0.6821453610673747
ACH-000336,-0.7537307660470584
ACH-000337,-0.7993786065284995
ACH-000338,-0.6311382240113904
ACH-000339,-0.942533639435381
ACH-000341,-0.4623079870194752
ACH-000348,-0.7902113236628417
ACH-000350,-0.6778648254911186
ACH-000352,-1.1358142382949905
ACH-000356,-0.6887644668169737
ACH-000361,-0.8400621035466883
ACH-000362,-0.5946046358141288
ACH-000363,-0.6442795565361944
ACH-000364,-0.8033598273349399
ACH-000365,-0.8197135099464717
ACH-000366,-0.8783425128813436
ACH-000368,-0.9491192360862948
ACH-000374,-0.7134801830666496
ACH-000375,-0.612676319389735
ACH-000376,-0.9374127015664
ACH-000381,-0.7091547976028488
ACH-000383,-0.3318182581228009
ACH-000387,-1.0928144550257954
ACH-000389,-0.7971138095777393
ACH-000390,-0.7588013293565209
ACH-000393,-0.8988335890996462
ACH-000395,-0.6693264842318749
ACH-000396,-0.8765127635788003
ACH-000397,-0.7158715592514936
ACH-000401,-0.8492616272660566
ACH-000402,-1.1481230577272488
ACH-000403,-0.4532517658358317
ACH-000404,-0.9551250429054556
ACH-000406,-0.8275423857951345
ACH-000407,-0.5911110600786916
ACH-000408,-1.040583387815972
