,ANLN (54443)
ACH-000004,-0.2831180044880055
ACH-000005,-0.3536299758464725
ACH-000007,-0.30222356717124405
ACH-000009,-0.6473513548771748
ACH-000011,-0.4064204855923176
ACH-000012,-0.6231558873450543
ACH-000013,-0.6995783494508642
ACH-000014,-0.4872116981666136
ACH-000015,-0.16944517650616658
ACH-000017,-0.5718280755361295
ACH-000018,-0.6004615328031532
ACH-000019,-0.5686083425645978
ACH-000021,-0.3737748100824062
ACH-000022,-0.4408876636669674
ACH-000025,-0.3540521708134177
ACH-000028,-0.6598280597376066
ACH-000030,-0.7968119666182859
ACH-000035,-0.5068824657583729
ACH-000036,-0.3889442160308352
ACH-000037,-0.4825361155529632
ACH-000039,-0.4078892005135345
ACH-000040,-0.10288866038789506
ACH-000041,-0.6857475788418985
ACH-000042,-0.6680854021722329
ACH-000045,-0.4771341785401575
ACH-000047,-0.5026549582112744
ACH-000052,-0.639859324887541
ACH-000053,-0.7401183746058436
ACH-000054,-0.7253748590278081
ACH-000055,-0.7488798420679671
ACH-000060,-0.5560615174134625
ACH-000067,-0.5432944183996964
ACH-000070,-0.5896773519700301
ACH-000075,-0.7944644795931776
ACH-000078,-0.4140108980063697
ACH-000082,-0.6335949491713593
ACH-000085,-0.7684946098225279
ACH-000086,-0.4320368310063356
ACH-000087,-0.7360627772905197
ACH-000092,-0.48230214668608
ACH-000095,-0.14301887536488886
ACH-000097,-0.3666433083908373
ACH-000098,-0.5050514725589367
ACH-000099,-0.4881011354505783
ACH-000108,-0.6618496066197106
ACH-000113,-0.4029699119825659
ACH-000116,-0.6018004825043928
ACH-000118,-0.6367116564252878
ACH-000120,-0.5513988155755223
ACH-000123,-0.4259763001502717
ACH-000127,-0.5684028688161881
ACH-000128,-0.541265998459759
ACH-000132,-0.4007333934723204
ACH-000133,-0.2603134268763799
ACH-000137,-0.5172045935313853
ACH-000138,-0.5117209930272799
ACH-000142,-0.3183149958387675
ACH-000143,-0.4655690954838697
ACH-000146,-0.4405226664397587
ACH-000148,-0.36415198761225337
ACH-000150,-0.5870269263836418
ACH-000152,-0.4813723124635926
ACH-000153,-0.8156159717103603
ACH-000159,-0.6441157803444011
ACH-000160,-0.6983545633116877
ACH-000163,-0.15706553267208875
ACH-000167,-0.8309641574129786
ACH-000168,-0.5764236382945874
ACH-000169,-0.6410077020783812
ACH-000178,-0.7215592805822919
ACH-000183,-0.4936254092087198
ACH-000188,-0.5267420830134865
ACH-000189,-0.3176877736869566
ACH-000190,-0.6368331183956779
ACH-000198,-0.5788974827728723
ACH-000203,-0.7058000306793909
ACH-000204,-0.4134344895496216
ACH-000206,-0.7024576856043964
ACH-000207,-0.7935983882411759
ACH-000208,-0.4851346143331413
ACH-000210,-0.5061910590811745
ACH-000211,-0.33985749960503986
ACH-000215,-0.2341450930227544
ACH-000221,-0.3594387972944977
ACH-000222,-0.3757400326312403
ACH-000223,-0.5830368405027034
ACH-000226,-0.3386381965129588
ACH-000227,-0.6224752529842781
ACH-000228,-0.8619684653475269
ACH-000231,-0.4406803737736153
ACH-000232,-0.5005774698907425
ACH-000233,-0.5829960395851097
ACH-000234,-0.7271817259247056
ACH-000235,-0.4788122832573912
ACH-000237,-0.6138602793699943
ACH-000238,-0.8251629688546569
ACH-000242,-0.4704640299701357
ACH-000243,-0.7634539669583538
ACH-000244,-0.6812872035795099
ACH-000246,-0.6763780718552136
ACH-000248,-0.2264624013641157
ACH-000250,-0.6791004946505721
ACH-000251,-0.12534867524565996
ACH-000252,-0.010569614477283629
ACH-000253,-0.4350270251635196
ACH-000255,-0.5714101042623849
ACH-000256,-0.34975169271959816
ACH-000257,-0.4335233627438216
ACH-000258,-0.20337719164923895
ACH-000259,-0.5446906567982795
ACH-000260,-0.7169829427755168
ACH-000261,-0.30670037145357404
ACH-000262,-0.470999772470637
ACH-000263,-0.5286112367101092
ACH-000264,-0.1850330018501028
ACH-000265,-0.6378015853602109
ACH-000266,-0.7291579765309061
ACH-000272,-0.5871544608558893
ACH-000274,-0.3524357254018181
ACH-000277,-0.8035517721694074
ACH-000278,-0.590801890564038
ACH-000279,-0.5050706474685421
ACH-000280,-0.4225090883306515
ACH-000281,-0.19425178414188504
ACH-000288,-0.37321703171793147
ACH-000291,-0.7509148059111997
ACH-000293,-0.7643033973019898
ACH-000294,-0.531529007987556
ACH-000295,-0.2863526936187201
ACH-000296,-0.5662412279565325
ACH-000302,-0.7440197590504615
ACH-000304,-0.5692754760387975
ACH-000307,-0.7573790265920551
ACH-000308,-0.7114765070312824
ACH-000310,-0.6326818329115332
ACH-000311,-0.314475760437735
ACH-000312,-0.4201775261370686
ACH-000315,-0.1705279341596251
ACH-000316,-0.6646872623326603
ACH-000317,-0.4722155372684874
ACH-000318,-0.8407254616601852
ACH-000319,-0.5407030432377486
ACH-000320,-0.5487047907183039
ACH-000322,-0.4049853147637357
ACH-000323,-0.6594851075098604
ACH-000324,-0.5760167014225679
ACH-000329,-0.2331656729924292
ACH-000330,-0.4632358007521441
ACH-000331,-0.7725254369682576
ACH-000332,-0.3658994880805481
ACH-000334,-0.07449150372418963
ACH-000335,-0.5291708062611598
ACH-000336,-0.44420828255804623
ACH-000337,-0.3788740582951102
ACH-000338,-0.34517114924057235
ACH-000339,-0.4794341112588975
ACH-000341,-0.6138565313859403
ACH-000348,-0.08195171514691665
ACH-000350,-0.6415296504713226
ACH-000352,-0.33582944099589024
ACH-000356,-0.5885083618337514
ACH-000361,-0.38072231143092655
ACH-000362,-0.5093482568230692
ACH-000363,-0.4693926130761709
ACH-000364,-0.6415697434516426
ACH-000365,-0.2421879327834677
ACH-000366,-0.3725336925041367
ACH-000368,-0.21897726082807897
ACH-000374,-0.3078202161504481
ACH-000375,-0.4612385948476958
ACH-000376,-0.4272668360066605
ACH-000381,-0.3190287033860396
ACH-000383,-0.5047781637226758
ACH-000387,-0.6344494705244879
ACH-000389,-0.3532898649788397
ACH-000390,-0.4035747757812072
ACH-000393,-0.6293946560759582
ACH-000395,-0.5098454875502673
ACH-000396,-0.23311387721126384
ACH-000397,-0.691851702078802
ACH-000401,-0.3999173485368877
ACH-000402,-0.6126156108123965
ACH-000403,-0.07458422910019155
ACH-000404,0.11363387310225695
ACH-000406,-0.3622291527470037
ACH-000407,-0.5120912617289731
ACH-000408,-0.7673970197171084
ACH-000410,-0.7343427042503657
ACH-000411,-0.6455783506072293
ACH-000414,-0.4369028413669124
ACH-000415,-0.6860635159297752
ACH-000416,-0.6992686749450492
ACH-000420,-0.6290286796954869
ACH-000421,-0.7319703270576514
ACH-000424,-0.6491774924332472
ACH-000425,-0.4859109572115008
ACH-000426,-0.5088584274768126
ACH-000427,-0.5794680707461282
ACH-000433,-0.8169453484737272
ACH-000435,-0.7446682603824233
ACH-000436,-0.5814128639427402
ACH-000444,-0.5618051413569606
ACH-000445,-0.6143269334907153
ACH-000448,-0.3103966949716773
ACH-000450,-0.2693687617308375
ACH-000452,-0.5284775352955094
ACH-000454,-0.7500204398386584
ACH-000458,-0.5223840543222091
ACH-000459,-0.3587658859712457
ACH-000460,-0.9261486350735209
ACH-000461,-0.6259152532575577
ACH-000463,-0.7707457601769676
ACH-000464,-0.4703899195617208
ACH-000466,-0.5890500974721169
ACH-000467,-0.4848366008814765
ACH-000468,-0.33989731777806104
ACH-000469,-0.30757915094826305
ACH-000470,-0.477245755475865
ACH-000471,-0.6924152266425392
ACH-000472,-0.34251771390033514
ACH-000473,-0.7816527960883067
ACH-000475,-0.3536413008406751
ACH-000476,-0.3202163674026669
ACH-000477,-0.6382295422268673
ACH-000479,-0.5103536502702203
ACH-000480,-0.522139611698649
ACH-000481,-0.6757096529200101
ACH-000483,-0.7382424278246328
ACH-000484,-0.7063607809442219
ACH-000485,-0.5919716805083605
ACH-000486,-0.7468442478753925
ACH-000487,-0.4972037591501564
ACH-000488,-0.6648682805363465
ACH-000490,-0.6804991312749678
ACH-000491,-0.11908251478529702
ACH-000495,-0.2676564485658226
ACH-000496,-0.4363368294538447
ACH-000499,-0.4048269349259759
ACH-000500,-0.8185524466120896
ACH-000502,-0.7389375815163268
ACH-000503,-0.09266875236766987
ACH-000505,-0.4961217422882598
ACH-000507,-0.4503173440011122
ACH-000510,-0.407731239601039
ACH-000511,-0.5273421762935578
ACH-000512,-0.13574203636477392
ACH-000516,-0.33635185430607145
ACH-000517,-0.17883350335284331
ACH-000518,-0.7894225544519667
ACH-000520,-0.3906824752616157
ACH-000521,-0.33994223331901513
ACH-000522,-0.4845430652944606
