,RRP9 (9136)
ACH-000004,-0.6073324354533128
ACH-000005,-0.4213728273402263
ACH-000007,-0.1783132647236862
ACH-000009,-0.2816958184398681
ACH-000011,-0.7383824089960359
ACH-000012,-0.43972597891820775
ACH-000013,-0.32175366311332243
ACH-000014,-0.18198585988497606
ACH-000015,-0.567188231081078
ACH-000017,-0.5745824446461298
ACH-000018,-0.4898900574159365
ACH-000019,-0.5183217551415508
ACH-000021,-0.4760244572408769
ACH-000022,-0.3892878307780756
ACH-000025,-0.4973914540312627
ACH-000028,-0.6992656150218741
ACH-000030,-0.4767594600308595
ACH-000035,-0.4778242713491218
ACH-000036,-0.4067297537225208
ACH-000037,-0.3280862954870396
ACH-000039,-0.3552243114200349
ACH-000040,-0.3108567862391832
ACH-000041,-0.4086216137393415
ACH-000042,-0.4947687653449773
ACH-000045,-0.5912939332267269
ACH-000047,-0.39503537325394217
ACH-000052,-0.5037710389960062
ACH-000053,-0.3650255355062538
ACH-000054,-0.3911607756977393
ACH-000055,-0.522517313461549
ACH-000060,-0.5525600482534856
ACH-000067,-0.5543252804909771
ACH-000070,-0.4976892787849076
ACH-000075,-0.4358701866578029
ACH-000078,-0.3049368735562256
ACH-000082,-0.5336047947713913
ACH-000085,-0.488084771921047
ACH-000086,-0.4378713439873547
ACH-000087,-0.5960275835005077
ACH-000092,-0.4919003547982701
ACH-000095,-0.15608752154173075
ACH-000097,-0.63344846306291
ACH-000098,-0.4092457481394852
ACH-000099,-0.4324054264155181
ACH-000108,-0.533443873723918
ACH-000113,-0.38457573793263616
ACH-000116,-0.4922477730613454
ACH-000118,-0.3867852334286361
ACH-000120,-0.4878496288718862
ACH-000123,-0.3576410409383327
ACH-000127,-0.2372452474722266
ACH-000128,-0.6574173483453647
ACH-000132,-0.4789921652198664
ACH-000133,-0.4216024906346441
ACH-000137,-0.4364049491765983
ACH-000138,-0.4861061862405943
ACH-000142,-0.5132429008529666
ACH-000143,-0.4949035045249771
ACH-000146,-0.36859022234543787
ACH-000148,-0.3742209379261592
ACH-000150,-0.4687936646592984
ACH-000152,-0.4884490088185471
ACH-000153,-0.689146455102402
ACH-000159,-0.3964156627195754
ACH-000160,-0.4055160611719309
ACH-000163,-0.48237365669525295
ACH-000167,-0.5694164573240138
ACH-000168,-0.4273934572612781
ACH-000169,-0.520817802972085
ACH-000178,-0.5055499243656127
ACH-000183,-0.3851955303318477
ACH-000188,-0.4318280034966848
ACH-000189,-0.7054427706479783
ACH-000190,-0.3743078241786305
ACH-000198,-0.3868904264256321
ACH-000203,-0.07626688255852647
ACH-000204,-0.11963769061690785
ACH-000206,-0.448150290600639
ACH-000207,-0.4449896027585721
ACH-000208,-0.4251293608776227
ACH-000210,-0.573191284200546
ACH-000211,-0.4283638702592487
ACH-000215,-0.4363449214559485
ACH-000221,-0.3670063797786029
ACH-000222,-0.6066355257443294
ACH-000223,-0.4043927145915558
ACH-000226,-0.4058856637300305
ACH-000227,-0.1663238083460799
ACH-000228,-0.6621981495158725
ACH-000231,-0.4518280203411511
ACH-000232,-0.345142156296775
ACH-000233,-0.39347072688431023
ACH-000234,-0.4552392417735046
ACH-000235,-0.4120683397022598
ACH-000237,-0.5009688842740704
ACH-000238,-0.5622771978339253
ACH-000242,-0.35043049545636346
ACH-000243,-0.513014448157472
ACH-000244,-0.44952119555367454
ACH-000246,-0.574574319674045
ACH-000248,-0.5756081077134845
ACH-000250,-0.6301752127026229
ACH-000251,-0.8564079981548949
ACH-000252,-0.24334951989897666
ACH-000253,-0.4731304395061235
ACH-000255,-0.4718420494583576
ACH-000256,-0.14834007950417066
ACH-000257,-0.3780664236927765
ACH-000258,-0.1928813973165608
ACH-000259,-0.38154057050589457
ACH-000260,-0.7210888898878107
ACH-000261,-0.4049520871611848
ACH-000262,-0.832678548833453
ACH-000263,-0.3927747558093084
ACH-000264,-0.4052536429489517
ACH-000265,-0.5268704365710906
