,ARFGEF1 (10565)
ACH-000004,-0.03388400633779901
ACH-000005,0.06069540836083712
ACH-000007,-0.08984950444467127
ACH-000009,0.010830592025831642
ACH-000011,0.01865924575912349
ACH-000012,-0.2505506129599018
ACH-000013,-0.1044280251111494
ACH-000014,0.0005732309011921272
ACH-000015,-0.0049210093082136756
ACH-000017,-0.15526222638740125
ACH-000018,-0.13582905843805662
ACH-000019,-0.09875836245092373
ACH-000021,-0.2980942019670342
ACH-000022,-0.15025827437612496
ACH-000025,-0.058005476228093975
ACH-000028,-0.10155312764778257
ACH-000030,-0.03879925561691342
ACH-000035,-0.2255389794168375
ACH-000036,-0.02903183200517605
ACH-000037,0.011815673749297968
ACH-000039,-0.1715798748095598
ACH-000040,-0.18018631126567367
ACH-000041,-0.06876417300914618
ACH-000042,-0.03064188077926068
ACH-000045,-0.13010749636307556
ACH-000047,-0.041395347511176565
ACH-000052,-0.11947216760374554
ACH-000053,-0.010363324510660259
ACH-000054,-0.09993568727488944
ACH-000055,-0.18157677017091686
ACH-000060,-0.1036381804531564
ACH-000067,-0.08469640335862441
ACH-000070,-0.12203752211162222
ACH-000075,-0.1840363080926326
ACH-000078,-0.07044622126902114
ACH-000082,-0.18226554144400872
ACH-000085,-0.01809298769868988
ACH-000086,-0.18724684942480332
ACH-000087,0.12318391546967765
ACH-000092,-0.06847450956638071
ACH-000095,0.0036098894480838545
ACH-000097,-0.04031930839706666
ACH-000098,-0.07934793660971542
ACH-000099,0.017663485630147514
ACH-000108,-0.04423586549699873
ACH-000113,-0.10791894605743152
ACH-000116,-0.26225906511210223
ACH-000118,-0.08492705965438363
ACH-000120,-0.12527222424250348
ACH-000123,-0.07780700863709653
ACH-000127,-0.13769203167280192
ACH-000128,-0.08529801576416379
ACH-000132,-0.02553996515097546
ACH-000133,-0.1364452162674153
ACH-000137,-0.01493463095813526
ACH-000138,-0.04790374452972715
ACH-000142,-0.016110745238567266
ACH-000143,0.09365215193673987
ACH-000146,-0.06537825566724635
ACH-000148,-0.012594553589855357
ACH-000150,-0.22207118285956293
ACH-000152,-0.2834736214713693
ACH-000153,-0.26985815810319874
ACH-000159,-0.1531985427598394
ACH-000160,0.00854747002706315
ACH-000163,-0.1163672350536843
ACH-000167,0.7051715670163867
ACH-000168,-0.14797279178354145
ACH-000169,-0.015564157896641362
ACH-000178,-0.10660912875289792
ACH-000183,-0.1682915650368721
ACH-000188,-0.0026629484448665664
ACH-000189,-0.17646589954811998
ACH-000190,-0.3250923825614441
ACH-000198,-0.1312752725367979
ACH-000203,0.24859468182497135
ACH-000204,-0.381636764662964
ACH-000206,-0.23211662189801302
ACH-000207,-0.17865206828264102
ACH-000208,-0.29658958646680417
ACH-000210,-0.2118967450333423
ACH-000211,-0.24683441281705146
ACH-000215,-0.06893399392243221
ACH-000221,-0.15722451057053782
ACH-000222,0.026959203445309183
ACH-000223,-0.15469194951536958
ACH-000226,-0.1264034220140786
ACH-000227,-0.12853031209246618
ACH-000228,0.036796459208425364
ACH-000231,-0.10874253098246783
ACH-000232,-0.21901665977070306
ACH-000233,-0.11845463689211068
ACH-000234,-0.06228930620638778
ACH-000235,-0.11379527789976407
ACH-000237,-0.12338106269976815
ACH-000238,0.09851760640080548
ACH-000242,-0.031142739317213237
ACH-000243,-0.03249013143997706
ACH-000244,-0.2785630223570163
ACH-000246,-0.17851834696944635
ACH-000248,-0.19224748235400616
ACH-000250,-0.14462752700073134
ACH-000251,-0.06487930697170735
ACH-000252,-0.06971044448733155
ACH-000253,-0.1467122216678832
ACH-000255,-0.08660437968873465
ACH-000256,-0.2659459458076829
ACH-000257,0.17282698655921053
ACH-000258,-0.2032477836593933
ACH-000259,-0.036801734395624855
ACH-000260,0.012861483827881215
ACH-000261,-0.3512422846576991
ACH-000262,-0.04549757998148015
ACH-000263,-0.2757420021901855
ACH-000264,-0.1965719425441113
ACH-000265,-0.31358611403980124
ACH-000266,-0.02940201674891803
ACH-000272,-0.08538321229336653
ACH-000274,-0.1082876616341868
ACH-000277,-0.013643456739555684
ACH-000278,-0.1389084803043883
ACH-000279,-0.08686376966287705
ACH-000280,-0.10214830025567694
ACH-000281,-0.1372202506194557
ACH-000288,-0.004575510138276161
ACH-000291,-0.12375127012342385
ACH-000293,-0.213529094580486
ACH-000294,-0.22746739191291426
ACH-000295,-0.11143136244229064
ACH-000296,0.05861441025725735
ACH-000302,-0.06291695333622517
ACH-000304,-0.09896278539738622
ACH-000307,-0.1438116789592449
ACH-000308,-0.10014485085351747
ACH-000310,-0.13526904547085894
ACH-000311,-0.029254744028515925
ACH-000312,-0.2295489971884285
ACH-000315,-0.1941737943986828
ACH-000316,0.1511693579999872
ACH-000317,-0.214698483924808
ACH-000318,-0.1339782152119436
ACH-000319,-0.1852333524703695
ACH-000320,-0.14694288410765874
ACH-000322,0.008635096595995878
ACH-000323,-0.09893196067768333
ACH-000324,-0.1418469176664212
ACH-000329,-0.1026937731919003
ACH-000330,-0.13404251381810642
ACH-000331,-0.017854359041906832
ACH-000332,-0.13107992081572634
ACH-000334,-0.29541943956232625
ACH-000335,-0.18934026233353146
ACH-000336,-0.14601689034108611
ACH-000337,-0.22740534116545
ACH-000338,-0.4794624757663128
ACH-000339,-0.14779036552724012
ACH-000341,-0.12167960467199755
ACH-000348,0.01670909318253801
ACH-000350,0.008038566986797627
ACH-000352,-0.1431053826286803
ACH-000356,-0.0603901033581826
ACH-000361,-0.21015521326477374
ACH-000362,-0.18885972716287067
ACH-000363,-0.0916523284530418
ACH-000364,-0.18828145478562494
ACH-000365,-0.2058473838983185
ACH-000366,-0.02861714054749146
ACH-000368,0.027097984035469442
ACH-000374,-0.04292188313496874
ACH-000375,-0.2517045303891927
ACH-000376,-0.1913102957561932
ACH-000381,-0.06577194502151479
ACH-000383,-0.09796109387522314
ACH-000387,-0.07543603671148028
ACH-000389,-0.10786834111092856
ACH-000390,-0.12325947105875923
ACH-000393,-0.13576449912405145
ACH-000395,-0.010534085599365495
ACH-000396,-0.359910599260512
ACH-000397,-0.08002107813759067
ACH-000401,0.044664762393204174
ACH-000402,-0.06373183021449545
ACH-000403,-0.12177715817630967
ACH-000404,-0.10454465279512648
ACH-000406,-0.033500316216355235
ACH-000407,-0.03775827995789161
ACH-000408,-0.1542480781055534
ACH-000410,-0.13282645874489693
ACH-000411,-0.21397739965151436
ACH-000414,-0.1196767469895962
ACH-000415,-0.10387996936800366
ACH-000416,-0.08819807273640974
ACH-000420,-0.1679861752041759
ACH-000421,-0.1038507450332002
ACH-000424,-0.1257848573115806
ACH-000425,-0.03051828430159176
ACH-000426,-0.051888927168365434
ACH-000427,-0.04880375171766332
ACH-000433,-0.1393582993323818
ACH-000435,-0.3187521772581827
ACH-000436,-0.12825258092894368
ACH-000444,0.04428688318285404
ACH-000445,-0.029576094331038562
ACH-000448,-0.1455249865618032
ACH-000450,0.01672571021913331
ACH-000452,-0.087380660641752
ACH-000454,-0.18553278429414416
ACH-000458,-0.043812464659973065
ACH-000459,0.09304766274812863
ACH-000460,-0.06903490034181263
ACH-000461,-0.20845888686463704
ACH-000463,-0.10021247503375548
ACH-000464,6.224527444307872e-05
ACH-000466,-0.041325983983437405
ACH-000467,-0.13620844268904322
ACH-000468,0.0166238861519112
ACH-000469,-0.2634967187721703
ACH-000470,-0.1165406266771687
ACH-000471,-0.1916061041795452
ACH-000472,-0.2668377812386611
ACH-000473,-0.10560167177290224
ACH-000475,-0.12553168985971871
ACH-000476,-0.10756705528622272
ACH-000477,-0.21363607365775186
ACH-000479,-0.3902683815166754
ACH-000480,-0.08125331014167908
ACH-000481,-0.1008087354117534
ACH-000483,-0.1994120924483785
ACH-000484,-0.14907746695354748
ACH-000485,-0.0843097446918131
ACH-000486,-0.1332990355727896
ACH-000487,-0.2148533176848316
ACH-000488,-0.08306501399649313
ACH-000490,-0.3051128993817989
ACH-000491,-0.2926123477048089
ACH-000495,-0.2612735894326477
ACH-000496,-0.052303964667442436
ACH-000499,-0.18506864860544234
ACH-000500,-0.1635130555276964
ACH-000502,-0.17824929226112732
ACH-000503,0.07946147856488807
ACH-000505,-0.1699453307711016
ACH-000507,-0.12534298925778212
ACH-000510,-0.11982574170788138
ACH-000511,-0.09239406319994138
ACH-000512,0.02235158138101188
ACH-000516,-0.2605235665836469
ACH-000517,-0.022139013306159853
ACH-000518,-0.041585820723434
ACH-000520,-0.14236609433533728
ACH-000521,-0.11649353522003215
ACH-000522,-0.20971706388953468
ACH-000524,-0.06510082297480288
ACH-000527,-0.06754244216175921
ACH-000528,-0.07591991616655451
ACH-000537,-0.08322258212970443
ACH-000541,-0.1728500916291182
ACH-000542,-0.3355495753689265
ACH-000544,-0.1196170461625759
ACH-000545,-0.16427188333936765
ACH-000547,-0.41950908173060136
ACH-000548,-0.12314914367434796
ACH-000549,-0.2310886108699844
ACH-000550,-0.01001802127972513
ACH-000552,-0.11470960517389238
ACH-000556,-0.09038066132463772
ACH-000557,-0.1874238733366207
ACH-000569,-0.06924164087640182
ACH-000570,-0.208954512785032
ACH-000571,-0.09126810017224593
ACH-000573,-0.11327841224487195
ACH-000576,-0.09561645117321356
ACH-000579,-0.2490470051301075
ACH-000580,-0.06666664202933481
ACH-000584,-0.05118628371827029
ACH-000585,-0.1351045197518636
ACH-000588,-0.0906773835300036
ACH-000589,-0.17325192656184366
ACH-000591,0.01173360331273885
ACH-000593,-0.06883515801871776
ACH-000600,-0.04088249356001343
ACH-000601,-0.1259078549046422
ACH-000605,-0.14101396010235728
ACH-000606,-0.09738903741522137
ACH-000608,-0.09420840143419118
ACH-000614,-0.17556931789623206
ACH-000616,-0.17935966467110834
ACH-000618,-0.3665762013447299
ACH-000619,-0.1791312580417996
ACH-000620,-0.07411264929972687
ACH-000621,-0.12502653648993745
ACH-000622,-0.09556215345889907
ACH-000623,-0.06687570346304819
ACH-000624,-0.06905953495720359
ACH-000627,-0.1031861816614084
ACH-000630,-0.2203874142536894
ACH-000631,-0.07167352639554801
ACH-000632,-0.023289749293419374
ACH-000633,-0.12110392407235344
ACH-000637,-0.15915409090669447
ACH-000638,-0.2544116336893959
ACH-000646,-0.11414429333095827
ACH-000647,-0.05489943984777501
ACH-000648,-0.2093337586881865
ACH-000649,-0.06207925652028064
ACH-000651,-0.13248802961678371
ACH-000652,-0.10370456755215793
ACH-000653,-0.19511825742960687
ACH-000657,-0.1426360814831631
ACH-000658,-0.09314180634479018
ACH-000661,-0.021120757246912977
ACH-000662,-0.16576701544393588
ACH-000663,-0.15909720041466724
ACH-000665,-0.01622345039826996
ACH-000671,0.01993844402562438
ACH-000672,0.030005819111979307
ACH-000673,-0.16146372541895349
ACH-000676,0.0405244484306726
ACH-000677,-0.02180736390310945
ACH-000681,-0.16380515700856527
ACH-000683,-0.042223598591760635
ACH-000684,-0.32107499015857593
ACH-000688,-0.079492680492041
ACH-000693,-0.06297578952731102
ACH-000694,-0.09663519032436813
ACH-000695,-0.3245089019788093
ACH-000696,-0.16409252186667733
ACH-000697,-0.12902433714836775
ACH-000699,-0.050016639893854235
ACH-000701,-0.2262365522355702
