,RNASEH2A (10535)
ACH-000004,-0.3460296120670473
ACH-000005,-0.3415037712465532
ACH-000007,-0.514660659190191
ACH-000009,-0.30081454848689565
ACH-000011,-0.4048443998647619
ACH-000012,-0.4319597582133484
ACH-000013,-0.43935777616822896
ACH-000014,-0.26253626446530404
ACH-000015,-0.2730663349200749
ACH-000017,-0.32310333201822
ACH-000018,-0.6866386067691445
ACH-000019,-0.6289523976464029
ACH-000021,-0.42554283716469854
ACH-000022,-0.4429219215727645
ACH-000025,-0.5241583253502006
ACH-000028,-0.4911886032352129
ACH-000030,-0.2305818585012252
ACH-000035,-0.5844172952095888
ACH-000036,-0.4924393103483465
ACH-000037,-0.4916802302939657
ACH-000039,-0.6438259466419283
ACH-000040,-0.6114207196082332
ACH-000041,-0.3040513024954795
ACH-000042,-0.2955137120510878
ACH-000045,-0.2529531701944974
ACH-000047,-0.6341349200963915
ACH-000052,-0.7697355993269072
ACH-000053,-0.2050584618783972
ACH-000054,-0.31273515564704196
ACH-000055,-0.6340224023592623
ACH-000060,-0.11644197457592365
ACH-000067,-0.7185407587804161
ACH-000070,-0.4040087171496409
ACH-000075,-0.19063416863837787
ACH-000078,-0.31163493229111466
ACH-000082,-0.2245467813058796
ACH-000085,-0.2217203969986982
ACH-000086,-0.35403954695998835
ACH-000087,-0.7358510223531681
ACH-000092,-0.4190579383834991
ACH-000095,-0.0795004186203781
ACH-000097,-0.08498149243918299
ACH-000098,-0.4440381142582279
ACH-000099,-0.43599233032286894
ACH-000108,-0.3935241158234044
ACH-000113,-0.4799150810679589
ACH-000116,-0.472895518892591
ACH-000118,-0.3329471612943674
ACH-000120,-0.6836825826858204
ACH-000123,-0.5735117310307363
ACH-000127,-0.7389195327928695
ACH-000128,-0.3626794101163872
ACH-000132,-0.3172096659862802
ACH-000133,-0.5226660348820443
ACH-000137,-0.6070303366282845
ACH-000138,-0.5431055264421191
ACH-000142,-0.6337615850771907
ACH-000143,-0.24443112825211186
ACH-000146,-0.34337239316392026
ACH-000148,-0.4764258486619843
ACH-000150,-0.2794863134380159
ACH-000152,-0.2757033713518787
ACH-000153,-0.2502620287249961
ACH-000159,-0.555286632024066
ACH-000160,-0.3008574534722224
ACH-000163,-0.5538567519591069
ACH-000167,-0.4877990244172367
ACH-000168,-0.3159295204952309
ACH-000169,-0.3391700586020868
ACH-000178,-0.3889353527050485
ACH-000183,-0.5818212937840953
ACH-000188,-0.36529024236470603
ACH-000189,-0.3742998868280877
ACH-000190,-0.7061369481681514
ACH-000198,-0.3583720879950125
ACH-000203,-0.3498687912988922
ACH-000204,-0.22462626815295966
ACH-000206,-0.45561933314856395
ACH-000207,-0.5495088838942186
ACH-000208,-0.4403152719219188
ACH-000210,-0.2942132563111625
ACH-000211,-0.33479264446327
ACH-000215,-0.5808379606433411
ACH-000221,-0.3972756487938215
ACH-000222,-0.5030470784725662
ACH-000223,-0.28004390780069743
ACH-000226,-0.32878271817983584
ACH-000227,-0.38652747629805656
ACH-000228,-0.6524785402213766
ACH-000231,-0.4142745364058646
ACH-000232,-0.7684707845958262
ACH-000233,-0.32789677110615434
ACH-000234,-0.3164950402278825
ACH-000235,-0.30991978589670605
ACH-000237,-0.4463469848340763
ACH-000238,-0.5394419304108049
ACH-000242,-0.4826607641467085
ACH-000243,-0.4878674838057809
ACH-000244,-0.3546583166914489
ACH-000246,-0.5804670376076456
ACH-000248,-0.19808195701630624
ACH-000250,-0.502818474843295
ACH-000251,-0.3294468245062167
ACH-000252,-0.3312736755553868
ACH-000253,-0.10356308977547156
ACH-000255,-0.452636220522345
ACH-000256,-0.13068016256156714
ACH-000257,-0.42023584635888706
ACH-000258,-0.459551773317032
ACH-000259,-0.7304138753979499
ACH-000260,-0.6186263224592536
ACH-000261,-0.4794297444500466
ACH-000262,-0.7066876452278216
ACH-000263,-0.2283806708914824
ACH-000264,-0.28619277451939273
ACH-000265,-0.24513166442914705
ACH-000266,-0.16771004297098333
ACH-000272,-0.3728067726367551
ACH-000274,-0.21496832026092286
ACH-000277,-0.19032776952608887
ACH-000278,-0.4288412405218
ACH-000279,-0.4914826423922975
ACH-000280,-0.29523329569994017
ACH-000281,-0.5359947875371145
ACH-000288,-0.3143132381609113
ACH-000291,-0.7744970196557108
ACH-000293,-0.3712078251193574
ACH-000294,-0.42436596397141935
ACH-000295,-0.2301773827952644
ACH-000296,-0.3199184955219818
ACH-000302,-0.4419665403280291
ACH-000304,-0.43073684144196617
ACH-000307,-0.3315259700159659
ACH-000308,-0.36874394116316994
ACH-000310,-0.1829854622969592
ACH-000311,-0.3421465920764487
ACH-000312,-0.1642216944154997
ACH-000315,-0.526031973606042
ACH-000316,-0.3632404792014191
ACH-000317,-0.8125591353671019
ACH-000318,-0.4791641633906704
ACH-000319,-0.17155838608276466
ACH-000320,-0.23613472215784956
ACH-000322,-0.3654004864115849
ACH-000323,-0.35576090466515736
ACH-000324,-0.4643903767406085
ACH-000329,-0.2953725434443403
ACH-000330,-0.18435752807116976
ACH-000331,-0.4606700207927077
ACH-000332,-0.2310156314415095
ACH-000334,-0.4287259299267437
ACH-000335,-0.7417970394462863
ACH-000336,-0.14683284337940553
ACH-000337,-0.4967877328574894
ACH-000338,-0.4603665558414578
ACH-000339,-0.24297013006837975
ACH-000341,-0.596350885157467
ACH-000348,-0.3625092109733298
ACH-000350,-0.2530337693414712
ACH-000352,-0.20906168814711035
ACH-000356,-0.3580153984336231
ACH-000361,-0.3761180486262605
ACH-000362,-0.39423350392296
ACH-000363,-0.28388672856911
ACH-000364,-0.22264741161696813
ACH-000365,-0.4285609599309806
ACH-000366,-0.3699004741506496
ACH-000368,-0.19953347964993065
ACH-000374,-0.6710662472465767
ACH-000375,-0.5041094359402103
ACH-000376,-0.34776786554069594
ACH-000381,-0.446409854286421
ACH-000383,-0.2766054857758453
ACH-000387,-0.2534016285132253
ACH-000389,-0.2076397000025184
ACH-000390,-0.24546107942301526
ACH-000393,-0.4040032862651015
ACH-000395,-0.19516222105465394
ACH-000396,-0.3978032522529821
ACH-000397,-0.5596365640175838
ACH-000401,-0.6417348520564221
ACH-000402,-0.11059543920342786
ACH-000403,-0.3048083409708592
ACH-000404,-0.4691947433127532
ACH-000406,-0.3361038189921348
ACH-000407,-0.6376400736151314
ACH-000408,-0.5036312977260105
ACH-000410,-0.5511692856993594
ACH-000411,-0.4008856256734651
ACH-000414,-0.4525324098765282
ACH-000415,-0.47201928876490706
ACH-000416,-0.328150230237411
ACH-000420,-0.528270683514916
ACH-000421,-0.37259653984894203
ACH-000424,-0.5668699915903425
ACH-000425,-0.3039731151676686
ACH-000426,-0.4399198082768813
ACH-000427,-0.3842954362507037
ACH-000433,-0.4389285898100309
ACH-000435,-0.29804000330860503
ACH-000436,-0.3007725501737482
ACH-000444,-0.4460030552316869
ACH-000445,-0.4334796841927625
ACH-000448,-0.41395059215849295
ACH-000450,-0.3688642414165577
ACH-000452,-0.37213109646463305
ACH-000454,-0.3379570668236875
ACH-000458,-0.12345252451699708
ACH-000459,-0.7329225356113678
ACH-000460,-0.5437023295418355
ACH-000461,-0.4235693124885155
ACH-000463,-0.35454527490517074
ACH-000464,-0.3971245318427648
ACH-000466,-0.3871683780441169
ACH-000467,-0.22680738148761534
ACH-000468,-0.5051965755441679
ACH-000469,-0.6145717354275576
ACH-000470,-0.5085441577980554
ACH-000471,-0.2688007179503715
ACH-000472,-0.3150487398669291
ACH-000473,-0.4422577196347371
ACH-000475,-0.2319902447676471
ACH-000476,-0.2244011929609846
ACH-000477,-0.3915526916035939
ACH-000479,-0.28222718177571304
ACH-000480,-0.4531212348850151
ACH-000481,-0.2841752547978179
ACH-000483,-0.3156680397532623
ACH-000484,-0.4128439274755606
ACH-000485,-0.09431682655425902
ACH-000486,-0.596890761355402
ACH-000487,-0.2385296997385216
ACH-000488,-0.3238257313482735
ACH-000490,0.0606822328873514
ACH-000491,-0.3257942688650213
ACH-000495,-0.5889994948363096
ACH-000496,-0.6533055189695622
ACH-000499,-0.5191236047080579
ACH-000500,-0.5170344195169239
ACH-000502,-0.4987477028716764
ACH-000503,-0.13210888149915306
ACH-000505,-0.3692500725224848
ACH-000507,-0.5416683861222301
ACH-000510,-0.3300137954929179
ACH-000511,-0.44666847992672254
ACH-000512,-0.320469216139893
ACH-000516,-0.16034821088831724
