,CDH1 (999)
ACH-000339,-0.026323127197838563
ACH-000341,-0.16735825848220875
ACH-000348,-0.157649712690206
ACH-000350,-0.05953523811755052
ACH-000352,-0.21971853747609046
ACH-000356,-0.4705372866141504
ACH-000361,-0.11948665061379715
ACH-000362,-0.12593283604288352
ACH-000363,-0.0707682726694674
ACH-000364,0.09834588383121727
ACH-000365,-0.11683142285926278
ACH-000366,-0.15559807874579173
ACH-000368,-0.04152846085724792
ACH-000374,0.0471112028848798
ACH-000375,-0.16528249592844646
ACH-000376,-0.08880182393445682
ACH-000381,-0.1921072166448833
ACH-000383,-0.4140823218504356
ACH-000387,-0.11392200513703772
ACH-000389,0.028924028568971107
ACH-000390,-0.3977342938317445
ACH-000393,-0.1083109176608946
ACH-000395,-0.9717128482442507
ACH-000396,-0.21506274553919533
ACH-000397,-0.2555948196941679
ACH-000401,-0.16891419633767665
ACH-000402,-0.7126430352364149
ACH-000403,-0.5609895695632027
ACH-000404,-0.3197050894967379
ACH-000406,-0.049669708625401834
ACH-000407,-0.315352445356314
ACH-000408,-0.1361734081344007
ACH-000410,-0.06687879419558629
ACH-000411,0.018022937936901125
ACH-000414,-0.2209274724558674
ACH-000415,-0.13786730287323082
ACH-000416,-0.16214784346550826
ACH-000420,-0.23933357159718305
ACH-000421,-0.03621674221100914
ACH-000424,-0.06913099067908945
ACH-000425,-0.08898315985648476
ACH-000426,-0.04097371276895363
ACH-000427,0.09597009323241072
ACH-000433,-0.14557763847534289
ACH-000435,-0.1517923251142643
ACH-000436,-0.02948141558480595
ACH-000444,-0.005179567231495108
ACH-000445,-0.21034885441745974
ACH-000448,-0.4331077704865007
ACH-000450,-0.6002156442980786
ACH-000452,-0.15690857674342015
ACH-000454,-0.1478203378199245
ACH-000458,-0.1221332716643556
ACH-000459,-0.09523459786031363
ACH-000460,-0.367148117211518
ACH-000461,-0.2379156847242751
ACH-000463,-0.08179419604756527
ACH-000464,-0.1259087015276151
ACH-000466,-0.610584319655646
ACH-000467,-0.17548357791471733
ACH-000468,-0.140196695012633
ACH-000469,-0.06296686042310083
ACH-000470,-0.3151357101812096
ACH-000471,-0.038549356538433034
ACH-000472,-0.04310188580483455
ACH-000473,-0.1363884965685629
ACH-000475,-0.14988084299616822
ACH-000476,-0.1191945031404179
ACH-000477,0.005184511451153744
ACH-000479,0.019588544234664745
ACH-000480,-0.06825502842782531
ACH-000481,-0.22944848270435306
ACH-000483,-0.18994033074690075
ACH-000484,0.10436915450919836
ACH-000485,-0.20442658781675846
ACH-000486,-0.13296381181812786
ACH-000487,-0.04883963436173152
ACH-000488,-0.2855610195494875
ACH-000490,-0.18476159980358647
ACH-000491,-0.11517524820952425
ACH-000495,0.01653010787003754
ACH-000496,-0.21433278477907808
ACH-000499,-0.17706216265003874
ACH-000500,-0.38437404448021
ACH-000502,-0.02395297503854996
ACH-000503,-0.09335635453190952
ACH-000505,-0.2468888521044963
ACH-000507,0.07910850447762276
ACH-000510,-0.14295026083734866
ACH-000511,-0.14547389328335836
ACH-000512,-0.14173312895294826
ACH-000516,-0.2832364547987014
ACH-000517,-0.15178341023271855
ACH-000518,-0.12310842655011245
ACH-000520,-0.27182744242218904
ACH-000521,-0.07344515419143688
ACH-000522,-0.251072369390174
ACH-000524,-0.18888037106253056
ACH-000527,-0.8623033852067264
ACH-000528,-0.5249582433867597
ACH-000537,-0.09813788574644827
ACH-000541,-0.4828299554495554
ACH-000542,-0.04805408695443191
ACH-000544,-0.19354026574727454
ACH-000545,-0.02328040955169211
ACH-000547,-0.2635779677593634
ACH-000548,-0.1685463681893114
ACH-000549,-0.18073090742329306
ACH-000550,-0.27137306083932633
ACH-000552,-0.497271718175657
ACH-000556,-0.2367519706790485
ACH-000557,-0.05742703747603081
ACH-000569,-0.06626283688879565
ACH-000570,-0.0010884113028412576
ACH-000571,-0.2330521536305035
ACH-000573,-0.061153948574458834
ACH-000576,-0.17973633866055633
ACH-000579,-0.3288560462334439
ACH-000580,-0.17616547872496793
ACH-000584,-0.12807024489716204
ACH-000585,-0.1650468626732182
ACH-000588,0.19758992192756014
ACH-000589,-0.34391860607835456
ACH-000591,-0.1287437690076202
ACH-000593,-0.1204732719959772
ACH-000600,-0.21303505024021874
ACH-000601,-0.035923767559632815
ACH-000605,-0.3509963093982085
ACH-000606,-0.13859811561669422
ACH-000608,-0.4270654001829688
ACH-000614,0.05952417912872435
ACH-000616,-0.03149935588439965
ACH-000618,-0.1739311639210796
ACH-000619,-0.3356482670903061
ACH-000620,-0.27578706023931143
ACH-000621,-0.14870648841525624
ACH-000622,-0.13340056202939796
ACH-000623,-0.1213705842997399
ACH-000624,-0.12366964631388297
ACH-000627,-0.00949580011901161
ACH-000630,-0.06330210066795035
ACH-000631,-0.04686937195657488
ACH-000632,0.044963407637403405
ACH-000633,-0.2220945616739447
ACH-000637,-0.28365632985964456
ACH-000638,-0.187013623889148
ACH-000646,-0.8548574932619141
ACH-000647,-0.3165646945064837
ACH-000648,-0.0038486018674130243
ACH-000649,-0.09948768492268302
ACH-000651,-0.30601417880980103
ACH-000652,-0.09788701806983847
ACH-000653,0.0126454836046847
ACH-000657,-0.19864350830437072
ACH-000658,-0.2311121952818803
ACH-000661,-0.0877060512915684
ACH-000662,-0.11401202745235567
ACH-000663,0.0066274272070994105
ACH-000665,-0.11204833695787944
ACH-000671,-0.0052645696745064795
ACH-000672,0.18992574148391844
ACH-000673,-0.031217050958463537
ACH-000676,-0.07541108773346762
ACH-000677,-0.07752495664043584
ACH-000681,-0.12610931915188406
ACH-000683,-0.05186595821133113
ACH-000684,-0.02414030726603109
ACH-000688,-0.25744698155164314
ACH-000693,-0.169414978001612
ACH-000694,-0.22163529850849528
ACH-000695,-0.3870518595442637
ACH-000696,-0.06214446434378167
ACH-000697,-0.15920249504956896
ACH-000699,-0.07934298777155263
ACH-000701,-0.1476694017923949
ACH-000706,-0.2668044289737441
ACH-000711,-0.11746777424221486
ACH-000713,-0.09653376715902796
ACH-000714,-0.22186839814910386
ACH-000718,0.047583753023946934
ACH-000720,0.006483623070000024
ACH-000721,-0.1640396784185082
ACH-000724,-0.6121261263243643
ACH-000725,-0.04904697000897231
ACH-000732,0.045662874685268265
ACH-000734,0.03794314720356794
ACH-000735,-0.07464296404374307
ACH-000736,0.11224207267606298
ACH-000738,-0.12222126617807165
ACH-000746,0.06636398798234026
ACH-000747,-0.18071464850347915
ACH-000748,-0.10633375022089964
ACH-000753,-0.07467170578394416
ACH-000756,-0.06843988218919839
ACH-000757,-0.20727964660105785
ACH-000758,-0.18944919187386688
ACH-000760,-0.10311743158865846
ACH-000762,-0.1855332685661738
ACH-000763,-0.15041763044762144
ACH-000764,-0.16779925693636974
ACH-000765,-0.045743136929340185
ACH-000766,-0.1252936991430342
ACH-000767,-0.01922868384763476
ACH-000768,-0.15733850510428407
ACH-000769,-0.1780567564382479
ACH-000770,-0.124627459794122
ACH-000771,-0.07773236573818355
ACH-000773,-0.2091292628024677
ACH-000776,-0.11152518324532236
ACH-000777,-0.2552062735628917
ACH-000778,-0.23074806475191184
ACH-000781,-0.2196988426086021
ACH-000782,-0.1459889908554282
ACH-000783,-0.07262408552649181
