,XAB2 (56949)
ACH-000004,-1.3598016144971663
ACH-000005,-0.9422022341527913
ACH-000007,-1.3669431827598555
ACH-000009,-1.295815795354217
ACH-000011,-1.0353107861420634
ACH-000012,-1.36611703073928
ACH-000013,-1.2965018319980066
ACH-000014,-1.3076977338428346
ACH-000015,-1.4241898723300708
ACH-000017,-1.5103900972533226
ACH-000018,-1.4112333878148688
ACH-000019,-1.673038979683004
ACH-000021,-1.366914993163574
ACH-000022,-1.4406997798065322
ACH-000025,-1.0546733626629317
ACH-000028,-1.0903872830912125
ACH-000030,-1.330615609339168
ACH-000035,-1.4881488010088804
ACH-000036,-1.3817012117183154
ACH-000037,-1.0196924327370624
ACH-000039,-1.2730539553046163
ACH-000040,-1.249860453517632
ACH-000041,-1.2884335813715044
ACH-000042,-1.1871914278648137
ACH-000045,-1.059950812159034
ACH-000047,-1.5042205006716522
ACH-000052,-1.300472639930607
ACH-000053,-1.3916849567434475
ACH-000054,-1.1786048882428135
ACH-000055,-1.2660893327932798
ACH-000060,-1.2337454142340571
ACH-000067,-1.3743875035351838
ACH-000070,-1.2740306593251742
ACH-000075,-0.9911613121403008
ACH-000078,-1.2693292016850186
ACH-000082,-1.2342629814236756
ACH-000085,-1.427930551777755
ACH-000086,-1.3696129765630778
ACH-000087,-1.174365944215003
ACH-000092,-1.0902985554466784
ACH-000095,-1.156652957536793
ACH-000097,-1.357264074239842
ACH-000098,-1.1963531626083703
ACH-000099,-1.4061065001039452
ACH-000108,-1.2531316540985304
ACH-000113,-1.3353035041067196
ACH-000116,-1.3183806199417174
ACH-000118,-1.2166522960445671
ACH-000120,-1.2203237021331097
ACH-000123,-1.3229653140726914
ACH-000127,-1.1370306890162032
ACH-000128,-1.2942195171307158
ACH-000132,-1.3224587173959943
ACH-000133,-1.2540237956228402
ACH-000137,-1.3805386129609205
ACH-000138,-1.3593126055536016
ACH-000142,-1.3112805180602152
ACH-000143,-1.2124017899643045
ACH-000146,-1.2179114197847307
ACH-000148,-1.2272269103946898
ACH-000150,-1.310454830271318
ACH-000152,-1.1381032710719552
ACH-000153,-1.4379287865859236
ACH-000159,-1.4905676482990102
ACH-000160,-1.2086005882368902
ACH-000163,-1.1743617518433125
ACH-000167,-2.2142007964024124
ACH-000168,-1.329761396277113
ACH-000169,-1.0936771756204409
ACH-000178,-1.199688976954839
ACH-000183,-1.4977373900362148
ACH-000188,-1.2882723308595967
ACH-000189,-1.2409260195745204
ACH-000190,-1.257191628745093
ACH-000198,-1.2650254494695672
ACH-000203,-1.724374193140935
ACH-000204,-1.2433097554411665
ACH-000206,-1.3110118546239151
ACH-000207,-1.50014569194202
ACH-000208,-1.1815272428972166
ACH-000210,-1.115708909177327
ACH-000211,-1.065716985167484
ACH-000215,-1.477774093639766
ACH-000221,-1.6885855445587483
ACH-000222,-1.2814720682595433
ACH-000223,-1.4678320315669664
ACH-000226,-1.162069166745929
ACH-000227,-1.0940431488118454
ACH-000228,-1.262564945253785
ACH-000231,-1.1569191974016098
ACH-000232,-1.298173011802511
ACH-000233,-1.3553985782255362
ACH-000234,-1.3896197037490363
ACH-000235,-1.277323722043311
ACH-000237,-1.4435753255234829
ACH-000238,-1.2898814134247838
ACH-000242,-1.4411455048614756
ACH-000243,-1.1514947749948858
ACH-000244,-1.1453466747660674
ACH-000246,-1.1554850484641788
ACH-000248,-1.4450932638738332
ACH-000250,-1.2912642904011145
ACH-000251,-1.2951833995441369
ACH-000252,-1.3080385805550672
ACH-000253,-1.3780071415200124
ACH-000255,-1.154308573300826
ACH-000256,-1.373015549458641
ACH-000257,-1.1445817413286243
ACH-000258,-1.4460568636505904
ACH-000259,-1.3188299550116898
ACH-000260,-1.2354710623196108
ACH-000261,-1.1038615664834104
ACH-000262,-1.1120675462029728
ACH-000263,-1.2894743859908255
ACH-000264,-1.3649896072617764
ACH-000265,-1.1460427662951047
ACH-000266,-1.2872364017454412
ACH-000272,-1.159370144703495
ACH-000274,-1.3003060014937111
ACH-000277,-1.4806559301474518
ACH-000278,-1.2592861272389728
ACH-000279,-1.4534703988109907
ACH-000280,-1.5120781966738517
ACH-000281,-1.3064718181660249
ACH-000288,-1.319636538263708
ACH-000291,-1.2720550124452021
ACH-000293,-1.3513019477060821
ACH-000294,-1.1719761079206037
ACH-000295,-1.1885840012126676
ACH-000296,-1.2488987150495976
ACH-000302,-1.6159492075978164
ACH-000304,-1.0924409862449498
ACH-000307,-1.3211879969405478
ACH-000308,-1.2071339810023494
ACH-000310,-1.309753758234952
ACH-000311,-1.235363113194874
ACH-000312,-1.1787318390779238
ACH-000315,-1.3499004707410924
ACH-000316,-1.148960304472636
