,ANKHD1 (54882)
ACH-000004,0.18780559015307746
ACH-000005,-0.19609123007198254
ACH-000007,-0.29965410162812195
ACH-000009,-0.4974178977683311
ACH-000011,-0.141389019547024
ACH-000012,-0.3104209735198709
ACH-000013,-0.0075073297357858846
ACH-000014,-0.256667840032798
ACH-000015,-0.21753762508724045
ACH-000017,-0.34464262745417795
ACH-000018,0.14694284642319566
ACH-000019,-0.11505606781504556
ACH-000021,-0.1003338596309689
ACH-000022,-0.3499645825447697
ACH-000025,0.05272457743944282
ACH-000028,-0.29048048516168096
ACH-000030,-0.09844858643102423
ACH-000035,-0.010834169045645036
ACH-000036,0.0395793705891752
ACH-000037,-0.27864469227020383
ACH-000039,-0.13086747540388338
ACH-000040,-0.12023913511159467
ACH-000041,-0.14377914999662486
ACH-000042,-0.02422403793781851
ACH-000045,0.07887913588385254
ACH-000047,-0.14573023175081795
ACH-000052,-0.2146244581741004
ACH-000053,-0.22615663209118625
ACH-000054,-0.13878537908980015
ACH-000055,-0.00047080452483809433
ACH-000060,-0.013712053098785596
ACH-000067,-0.14573002573152086
ACH-000070,0.12575571124327434
ACH-000075,0.0815094281731038
ACH-000078,0.04909717201959632
ACH-000082,-0.06465378972197539
ACH-000085,-0.0793831838379384
ACH-000086,0.0002469824804702865
ACH-000087,-0.3765438094189595
ACH-000092,-0.026769801078875662
ACH-000095,-0.23760235476967656
ACH-000097,-0.4979712263914111
ACH-000098,0.04557404815664026
ACH-000099,0.019969137752644733
ACH-000108,0.06488468712901774
ACH-000113,0.1908266463979839
ACH-000116,-0.17215224819017586
ACH-000118,0.00018931815161052576
ACH-000120,-0.1538267606697672
ACH-000123,-0.17140615396317144
ACH-000127,-0.10239229829700824
ACH-000128,-0.31856548526627954
ACH-000132,-0.06339298341954377
ACH-000133,-0.17222564596744747
ACH-000137,-0.2342282536889533
ACH-000138,-0.30269992401754364
ACH-000142,-0.4394606603920516
ACH-000143,0.07470587654748714
ACH-000146,-0.1802164653891506
ACH-000148,-0.09248752198977124
ACH-000150,-0.020401497958624625
ACH-000152,-0.18601031260179246
ACH-000153,-0.3654658831489083
ACH-000159,-0.14440535352875106
ACH-000160,-0.059654215205941
ACH-000163,-0.024465576742493972
ACH-000167,-0.26844053218894537
ACH-000168,-0.041519807761745804
ACH-000169,-0.2567892565595276
ACH-000178,-0.19523178933279767
