,PHKB (5257)
ACH-000004,-0.08751193478512044
ACH-000005,-0.12879026693912926
ACH-000007,0.01764642519763101
ACH-000009,-0.07583512927861964
ACH-000011,-0.1969045665063652
ACH-000012,-0.14282782986475653
ACH-000013,-0.03046442926519804
ACH-000014,-0.04704785878775447
ACH-000015,-0.09888438819231042
ACH-000017,0.022999696844010674
ACH-000018,-0.056712490029280624
ACH-000019,-0.007441459217822363
ACH-000021,-0.14212568218089985
ACH-000022,0.028244007858247374
ACH-000025,0.05321907325224527
ACH-000028,0.01506839796811391
ACH-000030,-0.01915526735426336
ACH-000035,-0.0582109318772761
ACH-000036,-0.1514154084076402
ACH-000037,-0.2477695788835921
ACH-000039,-0.025259253907496358
ACH-000040,-0.005360863844666747
ACH-000041,0.09206834606379703
ACH-000042,-0.016374857182721532
ACH-000045,-0.1284354257992527
ACH-000047,-0.01906848555203224
ACH-000052,-0.2253676465195605
ACH-000053,-0.17034025804159147
ACH-000054,-0.09503157700231207
ACH-000055,-0.04089937812112773
ACH-000060,0.11027235542660058
ACH-000067,-0.0526789214731186
ACH-000070,-0.09640276624270357
ACH-000075,-0.26706519154369385
ACH-000078,0.034243502072962534
ACH-000082,-0.12058169554171562
ACH-000085,-0.23492851047461255
ACH-000086,-0.029413784671043008
ACH-000087,0.07757905056868494
ACH-000092,-0.039208222183441034
ACH-000095,-0.09523336431327152
ACH-000097,-0.12222658007150347
ACH-000098,-0.05404136452394242
ACH-000099,-0.04387895798287567
ACH-000108,0.055453419302137
ACH-000113,-0.06897499716518149
ACH-000116,-0.008549023210753173
ACH-000118,-0.10885041054158008
ACH-000120,-0.021398683761821868
ACH-000123,-0.09814381085335937
ACH-000127,-0.01667755186248783
ACH-000128,-0.021559025860413892
ACH-000132,-0.08076395812405639
ACH-000133,-0.2473034882244298
ACH-000137,-0.24290052278985155
ACH-000138,-0.01994909446731369
ACH-000142,-0.1467971161844169
ACH-000143,-0.10920461848162656
ACH-000146,-0.07888394340562614
ACH-000148,-0.03776683164720105
ACH-000150,0.12639671690745086
ACH-000152,-0.16254016097118426
ACH-000153,-0.3409756187624241
ACH-000159,-0.08886694558488338
ACH-000160,0.010234556013602
ACH-000163,-0.011495461061948438
ACH-000167,-0.033220216500039534
ACH-000168,-0.1386010327646694
ACH-000169,-0.10907955951995182
ACH-000178,-0.0710324716672577
ACH-000183,-0.05518661094717377
ACH-000188,-0.04661463836763285
ACH-000189,-0.18765753312817396
