,RABL2A (11159)
ACH-000004,-0.12715356067735142
ACH-000005,-0.4190069747398201
ACH-000007,-0.34030246338616743
ACH-000009,-0.35365781233691856
ACH-000011,-0.42276313858564907
ACH-000012,-0.19846370776932212
ACH-000013,-0.28502702653154943
ACH-000014,-0.2908921066276671
ACH-000015,-0.29876141537369905
ACH-000017,-0.15123135253922115
ACH-000018,-0.3879343512745358
ACH-000019,-0.016619969753123017
ACH-000021,-0.09921041622096063
ACH-000022,-0.29558949288601977
ACH-000025,-0.25755170201837313
ACH-000028,-0.2761246140234148
ACH-000030,-0.21642062630143866
ACH-000035,-0.30416743439690697
ACH-000036,-0.2876505680074554
ACH-000037,-0.1653110661128778
ACH-000039,-0.3594083862435028
ACH-000040,-0.2962661221618156
ACH-000041,-0.18916747749193266
ACH-000042,-0.12059550395223036
ACH-000045,-0.29508185665201914
ACH-000047,-0.1872040055937597
ACH-000052,-0.19640024751606971
ACH-000053,-0.20466843350287145
ACH-000054,-0.248331788631596
ACH-000055,-0.1807415093043592
ACH-000060,-0.3837091138799042
ACH-000067,-0.22150051565633086
ACH-000070,-0.1586310244681429
ACH-000075,-0.4271236387389416
ACH-000078,-0.11345980975404538
ACH-000082,-0.14856864215579454
ACH-000085,-0.3372652912686668
ACH-000086,-0.21282779040260694
ACH-000087,-0.3843870309480165
ACH-000092,-0.3898799615870597
ACH-000095,-0.2652254524869106
ACH-000097,-0.2026418161302017
ACH-000098,-0.4517872000180538
ACH-000099,-0.20879242252875752
ACH-000108,-0.1371115696363084
ACH-000113,-0.17962973305800706
ACH-000116,-0.22078492248510706
ACH-000118,-0.2606331822612837
ACH-000120,-0.08455046020839138
ACH-000123,-0.5031257999223343
ACH-000127,-0.2336574522872126
ACH-000128,-0.2468478938146239
ACH-000132,-0.2987174190872017
ACH-000133,-0.09875415866379736
ACH-000137,-0.2172240522002364
ACH-000138,-0.22708837717000305
ACH-000142,-0.27339761476095426
ACH-000143,-0.14207632494730052
ACH-000146,-0.21343245329832586
ACH-000148,-0.26106462342648823
ACH-000150,-0.1525030789612936
ACH-000152,-0.15569332376367306
ACH-000153,-0.20403709279736199
ACH-000159,-0.2122423177531907
ACH-000160,-0.1338356297236954
ACH-000163,-0.2494877765520663
ACH-000167,0.1951763435780284
ACH-000168,-0.20161902845798765
ACH-000169,-0.1662260450554509
ACH-000178,-0.18910578842361112
ACH-000183,-0.2254497330701161
ACH-000188,-0.20882812356332708
ACH-000189,-0.5156347108708167
ACH-000190,-0.3629598468280309
ACH-000198,-0.2250564660396016
ACH-000203,-0.02415872127280525
ACH-000204,-0.4020626366324834
ACH-000206,-0.14963802552130276
ACH-000207,-0.19257742088845511
ACH-000208,-0.21759562250122427
ACH-000210,0.04165739919157053
ACH-000211,-0.28691368130389594
ACH-000215,-0.26593379097193026
ACH-000221,-0.26063005322253474
ACH-000222,-0.199978602801492
ACH-000223,-0.35728054236660245
ACH-000226,-0.2899899385791899
ACH-000227,-0.32528485167806376
ACH-000228,-0.3814675621683363
ACH-000231,-0.2540101271806861
ACH-000232,-0.2587596330412587
ACH-000233,-0.17749197437481895
ACH-000234,-0.2777208455493605
ACH-000235,-0.2524745816785853
ACH-000237,-0.3337742962461516
ACH-000238,-0.30489446150381033
ACH-000242,-0.2737295328340817
ACH-000243,-0.22574555225993326
ACH-000244,-0.4116515881180045
ACH-000246,-0.15055167588013188
ACH-000248,-0.3079547224471866
ACH-000250,-0.29652281251666984
ACH-000251,-0.2510819794727563
ACH-000252,-0.23079122688460665
ACH-000253,-0.1384326512258168
ACH-000255,-0.34873828894391223
ACH-000256,-0.3493307708254083
ACH-000257,-0.2099424018297506
ACH-000258,-0.3049862309386015
ACH-000259,-0.1590959378269783
ACH-000260,-0.3910663144426812
ACH-000261,-0.1804828420164093
ACH-000262,-0.3245863294413227
ACH-000263,-0.18958337030147854
ACH-000264,-0.15382852788856605
ACH-000265,-0.2753224598592459
ACH-000266,-0.2159285816856649
ACH-000272,-0.13572184114200642
ACH-000274,-0.2331744332968461
ACH-000277,-0.3441045045519097
ACH-000278,-0.2522179560747397
ACH-000279,-0.21844191982697755
ACH-000280,-0.1801429237213759
ACH-000281,-0.309239699547401
ACH-000288,-0.18827820969813955
ACH-000291,-0.4216661506027644
ACH-000293,-0.3369593668236961
ACH-000294,-0.17478208699749415
