,AHNAK (79026)
ACH-000004,-0.22348106290204536
ACH-000005,-0.13928918621575528
ACH-000007,0.15531078369591353
ACH-000009,-0.12684909110488735
ACH-000011,-0.14441064991217514
ACH-000012,-0.1836834038922194
ACH-000013,-0.19890770670962776
ACH-000014,0.03941883115876536
ACH-000015,-0.17365222172288905
ACH-000017,-0.1474271804917063
ACH-000018,-0.24840090000392534
ACH-000019,-0.2423986224194693
ACH-000021,-0.2492405628126743
ACH-000022,-0.1910422558152028
ACH-000025,-0.06923666099527133
ACH-000028,-0.3899153667960475
ACH-000030,-0.11312907690648258
ACH-000035,-0.003501809007184336
ACH-000036,-0.053316614048844434
ACH-000037,-0.20032856351593414
ACH-000039,-0.1460394660098577
ACH-000040,-0.2067684236412478
ACH-000041,-0.18590935201405195
ACH-000042,-0.12329452796222952
ACH-000045,-0.22374671826528586
ACH-000047,-0.08418357205859955
ACH-000052,-0.061705976098665724
ACH-000053,-0.17892017161889662
ACH-000054,0.0016117762311760625
ACH-000055,0.022283121930299462
ACH-000060,-0.1470158428519322
ACH-000067,0.13173659819251612
ACH-000070,-0.2439255187435869
ACH-000075,-0.2430939598285734
ACH-000078,-0.3061314803755328
ACH-000082,-0.24814862636466894
ACH-000085,-0.21172028197471626
ACH-000086,-0.3380121681188369
ACH-000087,-0.12646139507345402
ACH-000092,-0.005844902547064739
ACH-000095,-0.06792182790482887
ACH-000097,-0.3819740567391844
ACH-000098,-0.10784457975354196
ACH-000099,-0.15111547417212987
ACH-000108,-0.3391887439806441
ACH-000113,-0.1527390669300759
ACH-000116,-0.34358473506819603
ACH-000118,-0.3802702329312167
ACH-000120,-0.16001800174895034
ACH-000123,-0.120318680798769
ACH-000127,-0.13390023343048146
ACH-000128,-0.04055771225602562
ACH-000132,-0.3018208656371081
ACH-000133,-0.22365004228724264
ACH-000137,-0.2642323210474055
ACH-000138,-0.21987061249683346
ACH-000142,-0.11771519304551405
ACH-000143,-0.05367062825242045
ACH-000146,-0.1351758956053108
ACH-000148,-0.2018680255103346
ACH-000150,-0.4445017745178797
ACH-000152,-0.1553697306427326
ACH-000153,-0.2931756611934736
ACH-000159,-0.10190136068956128
ACH-000160,-0.19179658444185624
ACH-000163,-0.16629781159515578
ACH-000167,0.015184532730607037
ACH-000168,-0.20631244634937293
ACH-000169,-0.1126443731281578
ACH-000178,-0.07086320131394122
ACH-000183,-0.3036181193146716
ACH-000188,-0.20642280500316035
ACH-000189,-0.3349149366621936
ACH-000190,-0.03538279828338845
ACH-000198,-0.12166350381276472
ACH-000203,-0.1416981527534628
ACH-000204,-0.33089688802047273
ACH-000206,-0.08649288955669683
ACH-000207,-0.20621379220900526
ACH-000208,-0.12719713748561615
ACH-000210,-0.1713020854660335
ACH-000211,-0.13927186040972128
ACH-000215,-0.11876126308028792
ACH-000221,-0.2941946382974089
ACH-000222,-0.15257480142963614
ACH-000223,-0.16635684767950298
ACH-000226,-0.08905416790919937
