,TXN2 (25828)
ACH-000004,-0.20202176972373054
ACH-000005,-0.5720574770459558
ACH-000007,-0.2547449604430536
ACH-000009,-0.2772277898276989
ACH-000011,-0.037758994076617466
ACH-000012,-0.3835927660537387
ACH-000013,-0.4099157176478795
ACH-000014,-0.31634350552732593
ACH-000015,-0.28604534288230543
ACH-000017,-0.15573631784588546
ACH-000018,-0.3171049635968173
ACH-000019,-0.2341819709970837
ACH-000021,-0.2542339284786572
ACH-000022,-0.3643809113705676
ACH-000025,-0.4061252579819921
ACH-000028,-0.3811427869584488
ACH-000030,-0.2967487260341821
ACH-000035,-0.4425611317052626
ACH-000036,-0.07431147688416559
ACH-000037,-0.3418237584640735
ACH-000039,-0.2008030311870109
ACH-000040,-0.13133776407358672
ACH-000041,-0.2685823101548572
ACH-000042,-0.27183795426418844
ACH-000045,-0.3283855382319692
ACH-000047,-0.5567707993683654
ACH-000052,-0.4490455982952813
ACH-000053,-0.2268665024273049
ACH-000054,-0.08971048450228812
ACH-000055,-0.32682440845801125
ACH-000060,-0.36752478856336096
ACH-000067,-0.369667614537747
ACH-000070,-0.4773303789082689
ACH-000075,-0.276044981466183
ACH-000078,-0.02939053505199385
ACH-000082,-0.17586109975117042
ACH-000085,-0.4393962865570636
ACH-000086,-0.18673206457684755
ACH-000087,-0.4227147949100471
ACH-000092,-0.24785354245080185
ACH-000095,-0.09424887197608613
ACH-000097,-0.11653402163279948
ACH-000098,-0.2697778056369431
ACH-000099,-0.14993012755923246
ACH-000108,-0.2931250390055856
ACH-000113,-0.5785744115678271
ACH-000116,-0.2443907211732127
ACH-000118,-0.4122433395561519
ACH-000120,-0.11842188298069425
ACH-000123,-0.3725751697727679
ACH-000127,-0.1377823659559463
ACH-000128,-0.34841792785644304
ACH-000132,-0.2073778750436404
ACH-000133,-0.4105380871872836
ACH-000137,-0.20138736195078685
ACH-000138,-0.028609367966612825
ACH-000142,-0.1096379118391883
ACH-000143,-0.4023186628329428
ACH-000146,-0.19480262536477327
ACH-000148,-0.3165605393459579
ACH-000150,-0.3441945223739914
ACH-000152,-0.24655015355774385
ACH-000153,-0.24404978883504225
ACH-000159,-0.23055028881836226
ACH-000160,-0.4179732980761088
ACH-000163,-0.2787699487217136
ACH-000167,-0.3502612159111529
ACH-000168,-0.06904840925219148
ACH-000169,-0.3813830198244984
ACH-000178,-0.22034759721605912
ACH-000183,-0.3854785632731073
ACH-000188,-0.19239981578071694
ACH-000189,-0.3035208006785193
ACH-000190,-0.6484816824469453
ACH-000198,-0.2641301727896122
ACH-000203,0.21797892155317294
ACH-000204,-0.3555349543291396
ACH-000206,-0.40006035208094826
ACH-000207,-0.3460297429838552
ACH-000208,-0.14026166142230467
ACH-000210,-0.2459611033628394
ACH-000211,-0.15302728239573193
ACH-000215,-0.19289517917218932
ACH-000221,-0.6368024347981797
ACH-000222,-0.09982323308032108
ACH-000223,-0.27472056062197936
ACH-000226,-0.21366298867155267
ACH-000227,-0.2737239541363919
ACH-000228,-0.11199985623814557
ACH-000231,-0.27204768995883233
ACH-000232,-0.2824479239958515
ACH-000233,-0.1561544384832959
ACH-000234,-0.1679727672313583
ACH-000235,-0.1382558965326716
ACH-000237,-0.3709138092454408
ACH-000238,-0.3632848526496377
ACH-000242,-0.09050874075699072
ACH-000243,-0.31033385099156025
ACH-000244,-0.5835907901407805
ACH-000246,-0.26211569644443594
ACH-000248,-0.21606623617699305
ACH-000250,-0.15339426999994435
ACH-000251,0.06673994954938045
ACH-000252,-0.13735847280958485
ACH-000253,-0.05959272731413168
ACH-000255,-0.35075954237221485
ACH-000256,-0.23857978829091064
ACH-000257,-0.3229486024711911
ACH-000258,-0.16982244976185126
ACH-000259,-0.1497042078279899
ACH-000260,-0.14610881953558644
ACH-000261,-0.2508008426087493
ACH-000262,-0.3632621666785003
ACH-000263,-0.18586541455826733
ACH-000264,-0.26628998673261983
ACH-000265,-0.4886578453839853
ACH-000266,-0.1514708326521673
ACH-000272,-0.2986308481867905
ACH-000274,-0.24887232816942545
ACH-000277,-0.25155443137021594
ACH-000278,-0.2999610656840783
ACH-000279,-0.3112374944447052
ACH-000280,-0.2826967680167315
ACH-000281,-0.18391419347151355
ACH-000288,-0.3380610651270002
ACH-000291,-0.28233711936685096
ACH-000293,-0.31698952818062354
ACH-000294,-0.003009666996985862
ACH-000295,0.030693270964980906
ACH-000296,-0.3048789165944431
ACH-000302,-0.38117091224851457
ACH-000304,-0.4075998756931351
ACH-000307,-0.2387833435051584
ACH-000308,-0.269402848826978
ACH-000310,-0.26141893060300786
ACH-000311,-0.14315668176514984
ACH-000312,-0.17681555786838232
ACH-000315,-0.2479313625328383
ACH-000316,-0.1812704750757498
ACH-000317,-0.2785714201503935
ACH-000318,-0.27388488477480416
ACH-000319,-0.18787795677487315
ACH-000320,-0.1624525220530394
ACH-000322,-0.5488819902006489
ACH-000323,-0.4570056925403426
ACH-000324,-0.15685295919639733
ACH-000329,-0.15876290037210153
ACH-000330,-0.2349719494866132
ACH-000331,-0.023368559307061592
ACH-000332,-0.2070985025575032
ACH-000334,-0.17504984696703638
ACH-000335,-0.2630480626626968
ACH-000336,-0.1834783526105407
ACH-000337,-0.0581559216316656
ACH-000338,-0.5391733474665881
ACH-000339,-0.20583612891042968
ACH-000341,-0.16784326223110502
ACH-000348,-0.3142859199081026
ACH-000350,-0.14719642628148455
ACH-000352,-0.1693829543279926
ACH-000356,-0.2492226198668312
ACH-000361,-0.4005941940257351
ACH-000362,-0.13257140941929674
ACH-000363,-0.252458065802576
ACH-000364,-0.35658676238784953
ACH-000365,-0.17450980495878193
ACH-000366,-0.12460189981626428
ACH-000368,-0.2255175979997311
ACH-000374,-0.19441344420860865
ACH-000375,-0.3283651689464167
ACH-000376,-0.3301352664072549
ACH-000381,-0.27653364135281705
ACH-000383,-0.21194276401407844
ACH-000387,-0.34284003430706617
ACH-000389,-0.21336851667276047
ACH-000390,-0.08611776470421154
ACH-000393,-0.2445327973948586
