,SFR1 (119392)
ACH-000004,-0.3472286186817042
ACH-000005,-0.2538898679723887
ACH-000007,0.034878551842047835
ACH-000009,-0.2083928710062978
ACH-000011,-0.2628892688279176
ACH-000012,-0.1843399466194965
ACH-000013,-0.11342893897793953
ACH-000014,-0.4762657853089569
ACH-000015,-0.2379886472840893
ACH-000017,-0.26282410351832736
ACH-000018,-0.190782483127928
ACH-000019,-0.2956459530588678
ACH-000021,-0.16468396298445706
ACH-000022,-0.2814783893326757
ACH-000025,-0.1500553937841312
ACH-000028,-0.1736776417698201
ACH-000030,-0.320156785011046
ACH-000035,-0.20005173952798666
ACH-000036,-0.3485000054116563
ACH-000037,-0.3667419628555128
ACH-000039,-0.39335483624491496
ACH-000040,-0.3721790306405631
ACH-000041,-0.27988123869527115
ACH-000042,-0.2877763948253516
ACH-000045,-0.07354200746333678
ACH-000047,-0.4401189023972461
ACH-000052,-0.34323286157108746
ACH-000053,-0.05945135784632068
ACH-000054,-0.4983761069181364
ACH-000055,-0.42197085015786784
ACH-000060,-0.3150787371721957
ACH-000067,-0.4553203320400014
ACH-000070,-0.33040303599645354
ACH-000075,-0.29264105374511634
ACH-000078,-0.1525742288240135
ACH-000082,-0.40286742767175415
ACH-000085,-0.22305717082991566
ACH-000086,0.010814519884544736
ACH-000087,-0.2801274453295621
ACH-000092,-0.08853667793086371
ACH-000095,-0.25101361391434823
ACH-000097,-0.16289729483082105
ACH-000098,-0.2193531106981157
ACH-000099,-0.16358829358989166
ACH-000108,-0.18895435487422035
ACH-000113,-0.1834891134723888
ACH-000116,-0.25429041698859123
ACH-000118,-0.5471697073116817
ACH-000120,-0.3366146622142453
ACH-000123,-0.3565041559169805
ACH-000127,-0.1747308855421639
ACH-000128,-0.19367312880165705
ACH-000132,-0.4431157420418456
ACH-000133,-0.2362618886346909
ACH-000137,-0.4626360091709658
ACH-000138,-0.20281359955020448
ACH-000142,-0.10392769698796056
ACH-000143,-0.4086488349234436
ACH-000146,-0.2096839625479642
ACH-000148,-0.4477535776038649
ACH-000150,-0.20304859920538326
ACH-000152,-0.3067802164008354
ACH-000153,-0.12406476676346273
ACH-000159,-0.16678791960336886
ACH-000160,-0.3223748137260626
ACH-000163,-0.20720668577657936
ACH-000167,-0.18580632208991985
ACH-000168,-0.2126215952683656
ACH-000169,-0.5212522466543777
ACH-000178,-0.4014486141594324
ACH-000183,-0.3689197246591539
ACH-000188,-0.3234588022913477
ACH-000189,-0.07347061230097582
ACH-000190,-0.2703762424301657
ACH-000198,-0.09671999034418167
ACH-000203,-0.8388355253602746
ACH-000204,-0.12695148361765354
ACH-000206,-0.308961143233683
ACH-000207,-0.4016969925549365
ACH-000208,-0.5198566425438073
ACH-000210,-0.3631880026711686
ACH-000211,-0.3693008491299169
ACH-000215,-0.2337467385303814
ACH-000221,-0.25009454302649275
ACH-000222,-0.2908155252628701
ACH-000223,-0.5198085893307489
ACH-000226,-0.3982317912405089
ACH-000227,-0.4884160348856677
ACH-000228,-0.1773242516391945
ACH-000231,-0.3337195505672016
