,ERVW-1 (30816)
ACH-000004,-0.6614596118989047
ACH-000005,-0.7084190364563114
ACH-000007,-0.36765243534058456
ACH-000009,-0.3117395793605044
ACH-000011,-0.4874910437061836
ACH-000012,-0.5947920432219358
ACH-000013,-0.2419013175010297
ACH-000014,-0.4646255650721315
ACH-000015,-0.15902517660103188
ACH-000017,-0.18430256935040887
ACH-000018,-0.4453270743214222
ACH-000019,-0.450287537825798
ACH-000021,-0.5846737592652529
ACH-000022,-0.3716812223272706
ACH-000025,-0.6506518228537285
ACH-000028,-0.3458100784563185
ACH-000030,-0.4673621925605717
ACH-000035,-0.6369538151605331
ACH-000036,-0.4096531853028467
ACH-000037,-0.4599671177334511
ACH-000039,-0.5855413532453272
ACH-000040,-0.5656543175113932
ACH-000041,-0.41418706289214896
ACH-000042,-0.421020440784578
ACH-000045,-0.4990425101872031
ACH-000047,-0.4439910883874398
ACH-000052,-0.5380557195076998
ACH-000053,-0.4101966645941711
ACH-000054,-0.36056831088876173
ACH-000055,-0.4971453261800232
ACH-000060,-0.5971796380702504
ACH-000067,-0.4400179486543863
ACH-000070,-0.4222494719340838
ACH-000075,-0.5963011789556063
ACH-000078,-0.4973584848606582
ACH-000082,-0.450013397889086
ACH-000085,-0.5231012926703683
ACH-000086,-0.3355955476942171
ACH-000087,-0.3636532193855131
ACH-000092,-0.5480107359195201
ACH-000095,-0.5559557074562738
ACH-000097,-0.4402682127067603
ACH-000098,-0.4643645064504991
ACH-000099,-0.4435887064580733
ACH-000108,-0.4731293359133138
ACH-000113,-0.2648749085099875
ACH-000116,-0.4618247362913922
ACH-000118,-0.34988001049836176
ACH-000120,-0.5277645404344032
ACH-000123,-0.2601260659439483
ACH-000127,-0.44194351595899706
ACH-000128,-0.381084968543296
ACH-000132,-0.3899150170813057
ACH-000133,-0.4562366950898306
ACH-000137,-0.3619778642117165
ACH-000138,-0.2793388719205885
ACH-000142,-0.5732089858342012
ACH-000143,-0.5490414975172185
ACH-000146,-0.2778716233149853
ACH-000148,-0.2790492185454181
ACH-000150,-0.4414926958526187
ACH-000152,-0.4060275066974432
ACH-000153,-0.2295519222785357
ACH-000159,-0.4672343344610384
ACH-000160,-0.40315292929826585
ACH-000163,-0.33517337752217136
ACH-000167,-0.3263290244477613
ACH-000168,-0.34940518100397616
ACH-000169,-0.4941871343022052
ACH-000178,-0.2292660649992528
ACH-000183,-0.3658005890768277
ACH-000188,-0.4471024399501913
ACH-000189,-0.3658833649632172
ACH-000190,-0.5504149904511011
ACH-000198,-0.4470805977998981
ACH-000203,-0.5228679563307818
ACH-000204,-0.05026653471556822
ACH-000206,-0.33966695823710435
ACH-000207,-0.3995745865176282
ACH-000208,-0.2399283519345909
ACH-000210,-0.1579343001520475
ACH-000211,-0.5026232287142776
ACH-000215,-0.4519634283145197
ACH-000221,-0.5761239188070514
ACH-000222,-0.5070253496656533
ACH-000223,-0.5903516820766165
ACH-000226,-0.4320519829054125
ACH-000227,-0.6192690214802942
ACH-000228,-0.2666354426859507
ACH-000231,-0.4539378589996649
ACH-000232,-0.5422652062040205
ACH-000233,-0.3850365908875679
ACH-000234,-0.2803948913230749
ACH-000235,-0.2906434830056085
ACH-000237,-0.4862515515898037
ACH-000238,-0.6212474870283561
ACH-000242,-0.2913485938192028
ACH-000243,-0.3890889894097858
ACH-000244,-0.464103303888794
ACH-000246,-0.31874332320893894
ACH-000248,-0.1305326484199767
ACH-000250,-0.5236378951008088
ACH-000251,-0.34739502063440186
ACH-000252,-0.4590900265063591
ACH-000253,-0.4989295757847425
ACH-000255,-0.4098437018358819
ACH-000256,-0.4107052471800847
ACH-000257,-0.27948008138468106
ACH-000258,-0.5011382848830678
ACH-000259,-0.33791719652018576
ACH-000260,-0.44068093084002347
ACH-000261,-0.5309141846898321
ACH-000262,-0.2763743936777337
ACH-000263,-0.7891498541254339
ACH-000264,-0.4734025592019075
ACH-000265,-0.2038506368359568
ACH-000266,-0.476795860449202
ACH-000272,-0.4522184608154757
ACH-000274,-0.5434760480306575
ACH-000277,-0.20141576010128948
ACH-000278,-0.561997173332619
ACH-000279,-0.5053599147961753
ACH-000280,-0.21625051173948248
ACH-000281,-0.533122161915164
ACH-000288,-0.4987066199147555
ACH-000291,-0.2927837389614277
ACH-000293,-0.3399210683762115
ACH-000294,-0.12755659450672055
ACH-000295,-0.4506470825363147
ACH-000296,-0.4939795056534462
ACH-000302,-0.4276195413891604
ACH-000304,-0.21341628071569665
ACH-000307,-0.3754011189962807
ACH-000308,-0.4530042792202659
ACH-000310,-0.4426499419655665
ACH-000311,-0.4762243805397709
ACH-000312,-0.4557851048453055
ACH-000315,-0.4186027466269457
ACH-000316,-0.3968574265743049
ACH-000317,-0.3831320600964689
ACH-000318,-0.3215431509495916
ACH-000319,-0.37521507637065576
ACH-000320,-0.4717411430472072
ACH-000322,-0.7084890465710404
ACH-000323,-0.610764596752907
ACH-000324,-0.3677660300483982
ACH-000329,-0.4295744034279141
ACH-000330,-0.4267006556647849
ACH-000331,-0.3463747770787331
ACH-000332,-0.3957176600172374
ACH-000334,-0.7795017006831094
ACH-000335,-0.3560317415841027
ACH-000336,-0.2659849520470076
ACH-000337,-0.31150292633133675
ACH-000338,-0.6328348984742109
ACH-000339,-0.4788201811533499
ACH-000341,-0.3244037964789236
ACH-000348,-0.4925709848288071
ACH-000350,-0.24327818215923244
ACH-000352,-0.2511333055770956
ACH-000356,-0.31503514179996256
ACH-000361,-0.4897638629798394
ACH-000362,-0.4537862738803978
ACH-000363,-0.4155909938502047
ACH-000364,-0.5478774249976708
ACH-000365,-0.6425648330532655
ACH-000366,-0.38084256951782136
ACH-000368,-0.3805632436619416
ACH-000374,-0.41256994417272574
ACH-000375,-0.3833345728953415
ACH-000376,-0.4879779626236192
ACH-000381,-0.2330534190546429
ACH-000383,-0.5643705505012906
ACH-000387,-0.5672521485877927
ACH-000389,-0.2637759705399537
ACH-000390,-0.3903706823172704
ACH-000393,-0.5384749499236907
ACH-000395,-0.41596477443095453
ACH-000396,-0.3960121806500145
ACH-000397,-0.4021795067426985
ACH-000401,-0.3998962424700084
ACH-000402,-0.7747601380327921
ACH-000403,-0.5892080848419231
ACH-000404,-0.14836051700972916
ACH-000406,-0.3584441030672536
ACH-000407,-0.3323791791010641
ACH-000408,-0.5641513766488238
ACH-000410,-0.5183650339414007
ACH-000411,-0.3205436352014897
ACH-000414,-0.4268013652128097
ACH-000415,-0.6786543018833027
ACH-000416,-0.4249275529045805
ACH-000420,-0.4743123014676127
ACH-000421,-0.482906591096702
ACH-000424,-0.3339378889873529
ACH-000425,-0.4663973829203446
ACH-000426,-0.44308108088385145
ACH-000427,-0.5046186708227817
ACH-000433,-0.4381908044208188
ACH-000435,-0.269539881612615
ACH-000436,-0.36222391167773016
ACH-000444,-0.2911416070726947
ACH-000445,-0.32370151893722177
ACH-000448,-0.4326007948275751
ACH-000450,-0.5482941883748116
ACH-000452,-0.3126983347099975
ACH-000454,-0.2514444355746859
ACH-000458,-0.32059316741492044
ACH-000459,-0.10352217789193778
ACH-000460,-0.3569241616316465
ACH-000461,-0.4928382616743926
ACH-000463,-0.3666275031001416
ACH-000464,-0.5608050823653769
ACH-000466,-0.3729787809533611
ACH-000467,-0.5144896509938803
ACH-000468,-0.6098251587435286
ACH-000469,-0.4361698775094525
ACH-000470,-0.2236253611414557
ACH-000471,-0.34468469494033865
ACH-000472,-0.4827439269432175
ACH-000473,-0.3943342667659468
ACH-000475,-0.3253071244087157
ACH-000476,-0.35508640685870463
ACH-000477,-0.4930929551859262
ACH-000479,-0.5938269164204678
ACH-000480,-0.3588191946244617
ACH-000481,-0.381650138144632
ACH-000483,-0.40796597737320794
ACH-000484,-0.2374565802070734
ACH-000485,-0.3138220045291253
ACH-000486,-0.3243104201159605
ACH-000487,-0.5136429935404843
ACH-000488,-0.3827945577729447
ACH-000490,-0.34271705803710584
ACH-000491,-0.5328598230398578
ACH-000495,-0.6609737459940964
ACH-000496,-0.39667980050134993
ACH-000499,-0.3158771682993299
ACH-000500,-0.4086388670680936
ACH-000502,-0.33101577994510073
ACH-000503,-0.4675287255290295
ACH-000505,-0.3987721886713717
ACH-000507,-0.4779906499384384
ACH-000510,-0.4425082610424581
ACH-000511,-0.322272917698435
ACH-000512,-0.4560153275221008
ACH-000516,-0.5016464643348798
ACH-000517,-0.3867359539637626
ACH-000518,-0.35199626251685084
ACH-000520,-0.5552318175981533
ACH-000521,-0.4508184746956084
ACH-000522,-0.3928829499692048
ACH-000524,-0.3565280930831339
ACH-000527,-0.28632907991458784
ACH-000528,-0.3157391761897692
ACH-000537,-0.2549235225070436
ACH-000541,-0.5198912594919926
ACH-000542,-0.4541895212030078
ACH-000544,-0.4861403205287262
ACH-000545,-0.5847723250487985
ACH-000547,-0.3338023913515259
ACH-000548,-0.4274580325469197
ACH-000549,-0.4768912400465655
ACH-000550,-0.4193831486224247
ACH-000552,-0.46733185922907106
ACH-000556,-0.4685895510125636
ACH-000557,-0.5424184009199261
ACH-000569,-0.6233744031057532
ACH-000570,-0.4708091489616078
ACH-000571,-0.2923801334066634
ACH-000573,-0.43746992688621533
ACH-000576,-0.3806486908543883
ACH-000579,-0.4479234616686175
ACH-000580,-0.3023758541539893
ACH-000584,-0.3959908461012244
ACH-000585,-0.4853754779834459
ACH-000588,-0.21969186931157705
ACH-000589,-0.2391209050584183
ACH-000591,-0.27042405482591586
ACH-000593,-0.4535191150904948
ACH-000600,-0.3606026152279015
ACH-000601,-0.3401862907712524
ACH-000605,-0.43437228190360666
ACH-000606,-0.4921031357616775
ACH-000608,-0.5161262877023353
ACH-000614,-0.5186248592295724
ACH-000616,-0.5033153521625732
ACH-000618,-0.371817020150318
ACH-000619,-0.5500656835373201
ACH-000620,-0.4402976942221352
ACH-000621,-0.4859342825002047
ACH-000622,-0.6383193155835766
ACH-000623,-0.4590503003007616
ACH-000624,-0.5168634128470336
ACH-000627,-0.3750682770853931
ACH-000630,-0.4157585229067845
ACH-000631,-0.9127886875380556
ACH-000632,-0.3489103209061516
ACH-000633,-0.3656531609929895
ACH-000637,-0.2976001555312429
ACH-000638,-0.3465352157081526
ACH-000646,-0.4251009078029908
ACH-000647,-0.21015285682868812
ACH-000648,-0.5011100105537096
ACH-000649,-0.3986925468486462
ACH-000651,-0.35365878013019936
ACH-000652,-0.3701036593397233
ACH-000653,-0.22206340766846128
ACH-000657,-0.42061632434056506
ACH-000658,-0.6506107524308941
ACH-000661,-0.44476264215805694
ACH-000662,-0.1939855773681537
ACH-000663,-0.4083651741883204
ACH-000665,-0.4330519061166913
ACH-000671,-0.3295051206067228
ACH-000672,-0.31293968176770826
