,PAM16 (51025)
ACH-000004,-1.3006880621921475
ACH-000005,-1.4143203235745188
ACH-000007,-1.1757543746915955
ACH-000009,-1.1026916323877969
ACH-000011,-1.0013590376127548
ACH-000012,-1.2169279687071828
ACH-000013,-1.2948113903226932
ACH-000014,-1.1877565102107792
ACH-000015,-1.3430586629845238
ACH-000017,-1.1090724307661204
ACH-000018,-1.0542262744712412
ACH-000019,-1.084569923150362
ACH-000021,-1.1153180410084609
ACH-000022,-1.2401521930200132
ACH-000025,-1.0975548391845544
ACH-000028,-1.1052531722365404
ACH-000030,-0.9586696340068618
ACH-000035,-1.2499450725980594
ACH-000036,-1.0866892023292265
ACH-000037,-0.4626797732038844
ACH-000039,-1.1138646799585543
ACH-000040,-1.1463984085506504
ACH-000041,-1.0402383170471188
ACH-000042,-1.118539687424703
ACH-000045,-1.1421747152225619
ACH-000047,-1.1289090506136594
ACH-000052,-0.9246166763979206
ACH-000053,-1.0848555530059
ACH-000054,-1.030010843889257
ACH-000055,-1.118117341613435
ACH-000060,-1.0058148198062629
ACH-000067,-1.2065554410428745
ACH-000070,-1.0863582054592231
ACH-000075,-1.0102200823164154
ACH-000078,-1.0901679680948475
ACH-000082,-1.1917566004797857
ACH-000085,-1.0111930700262135
ACH-000086,-1.0957800882926807
ACH-000087,-0.8416440806436246
ACH-000092,-1.1227704710422326
ACH-000095,-1.2109635058819508
ACH-000097,-1.141167031724294
ACH-000098,-1.2174173299839517
ACH-000099,-1.032688498018239
ACH-000108,-1.2931288516593384
ACH-000113,-1.1192481170312898
ACH-000116,-1.423325490340993
ACH-000118,-0.9934833312820428
ACH-000120,-1.0796581392633262
ACH-000123,-1.0888730573055156
ACH-000127,-1.1942392367854655
ACH-000128,-1.2763679341217928
ACH-000132,-0.9929744122072942
ACH-000133,-1.183767465877306
ACH-000137,-1.275155805193652
ACH-000138,-1.052884475325076
ACH-000142,-1.2296133517514167
ACH-000143,-1.1816989142828922
ACH-000146,-1.3372986002252605
ACH-000148,-1.2171144048631908
ACH-000150,-0.9828997246030274
ACH-000152,-0.8644733686778139
ACH-000153,-1.0901278124045517
ACH-000159,-1.123458408655184
ACH-000160,-1.0373680519971
ACH-000163,-1.1486096447169072
ACH-000167,-1.4600864726470266
ACH-000168,-1.1008429100674313
ACH-000169,-1.1265504721140531
ACH-000178,-1.0479879419862328
ACH-000183,-1.1837087658499628
ACH-000188,-1.0452146930836397
ACH-000189,-1.0383211420054659
ACH-000190,-0.9168355057279652
ACH-000198,-0.9674727296684488
ACH-000203,-1.0661405804595692
ACH-000204,-1.2481753410672929
ACH-000206,-0.8915435877979995
ACH-000207,-0.7717112205410859
ACH-000208,-1.0166075896338662
ACH-000210,-1.2251674784859423
ACH-000211,-1.021295334064484
ACH-000215,-1.108623050827797
ACH-000221,-1.4176130136484633
ACH-000222,-1.228562486036897
ACH-000223,-1.0410907887865308
ACH-000226,-1.2115130723360341
ACH-000227,-0.7690652728290168
ACH-000228,-1.2954133789704576
ACH-000231,-1.1773798765676744
ACH-000232,-1.1187928774303553
ACH-000233,-1.1115415062788916
ACH-000234,-1.0615908173888975
ACH-000235,-1.1058822191469448
ACH-000237,-1.2249244819198606
ACH-000238,-0.9846834186320748
ACH-000242,-0.8964756353743217
ACH-000243,-1.130545909414794
ACH-000244,-1.2579853819171103
ACH-000246,-0.8485048264569918
ACH-000248,-1.223660560599784
ACH-000250,-0.9342572056862364
ACH-000251,-1.0571502725777746
ACH-000252,-1.1474803971453915
ACH-000253,-1.2786808781383607
ACH-000255,-1.212710015764415
ACH-000256,-0.9855095804155996
ACH-000257,-1.3976536186121646
ACH-000258,-1.100071623250386
ACH-000259,-1.186065290724693
ACH-000260,-1.0999880142559226
ACH-000261,-1.0710263219305427
ACH-000262,-1.0893089670513003
ACH-000263,-1.4935424614599864
ACH-000264,-1.1931003581562087
ACH-000265,-1.1134478259164815
ACH-000266,-1.11776000094406
ACH-000272,-1.009517596659587
ACH-000274,-1.2211795845536422
ACH-000277,-1.5262490661767825
ACH-000278,-1.0057066123197378
ACH-000279,-1.0109843811140864
ACH-000280,-1.1414829836291007
ACH-000281,-1.1239944338846013
ACH-000288,-1.2089209736131985
ACH-000291,-1.1127576342412304
ACH-000293,-1.1551579313511835
ACH-000294,-1.3149196971264636
ACH-000295,-1.0280654042302977
ACH-000296,-1.4265333056402234
ACH-000302,-1.4845040740706474
ACH-000304,-1.2587867301789757
ACH-000307,-1.0842471056894358
ACH-000308,-1.1688096901934262
ACH-000310,-0.7868801340589429
ACH-000311,-1.2175466871550114
ACH-000312,-1.0087077168114356
ACH-000315,-1.2221644278921722
ACH-000316,-1.4851837255893294
ACH-000317,-1.5639482802079423
ACH-000318,-0.9479410918237412
ACH-000319,-1.2175795072101343
ACH-000320,-1.0400334534943538
ACH-000322,-1.0377950375587504
ACH-000323,-1.2981828811852734
ACH-000324,-1.1150410407257607
ACH-000329,-1.0946526743373155
ACH-000330,-1.1493507500234768
ACH-000331,-1.0139886356073264
ACH-000332,-1.1497319911218349
ACH-000334,-0.978146804995687
ACH-000335,-1.0889256010268535
ACH-000336,-1.2742530152821243
ACH-000337,-1.19294317780032
ACH-000338,-1.0901804337084788
ACH-000339,-1.0739655689452603
ACH-000341,-1.078759587060879
ACH-000348,-1.2757193571484566
ACH-000350,-0.9598254794292476
ACH-000352,-1.1844936759346487
ACH-000356,-1.2490191805044768
ACH-000361,-0.9030151105911384
ACH-000362,-1.1779041510343111
ACH-000363,-0.9774130574576376
ACH-000364,-1.1736507552437037
ACH-000365,-1.1837075849475616
ACH-000366,-0.9574589098057216
ACH-000368,-1.225245542251581
ACH-000374,-1.086893284918749
ACH-000375,-1.1954820203997558
ACH-000376,-1.2021307312560103
ACH-000381,-1.2368289076406336
ACH-000383,-0.9168787269832273
ACH-000387,-1.1441408310011691
ACH-000389,-1.1096597718431058
ACH-000390,-1.0405393208675382
ACH-000393,-1.054064472646984
ACH-000395,-1.059442010247786
ACH-000396,-1.3228655650961376
ACH-000397,-1.176963837011754
ACH-000401,-1.0889879765017068
ACH-000402,-1.1271196920782451
ACH-000403,-0.9046063714747838
ACH-000404,-1.0935299694144651
ACH-000406,-1.447942347620042
ACH-000407,-1.3072673935825747
ACH-000408,-1.2307996604695504
ACH-000410,-1.1121807611432042
ACH-000411,-1.277773779490564
ACH-000414,-1.3792237793944422
ACH-000415,-1.2774835674372629
ACH-000416,-1.1656046775775812
ACH-000420,-1.1555683130876002
ACH-000421,-0.9059051694742304
ACH-000424,-0.9563358947344224
ACH-000425,-1.2234589796385111
ACH-000426,-0.8027195292689526
ACH-000427,-1.1277794537989343
ACH-000433,-1.1712718138819842
ACH-000435,-1.5531860967424198
ACH-000436,-1.2286428673211651
ACH-000444,-1.3131322844547153
ACH-000445,-1.2613272889226832
ACH-000448,-1.1422146416459522
ACH-000450,-1.1480778481042393
ACH-000452,-1.2116960519266122
ACH-000454,-1.0610274704322724
ACH-000458,-1.1318310159029334
ACH-000459,-0.7405439858908579
ACH-000460,-1.1081480109106776
ACH-000461,-1.14070240556695
ACH-000463,-0.953771287796244
ACH-000464,-1.297857107849918
ACH-000466,-1.2254431396899594
ACH-000467,-0.9620674103593141
ACH-000468,-1.11386596557475
ACH-000469,-1.1375147874411888
ACH-000470,-1.1108030906127029
ACH-000471,-1.256244462283041
ACH-000472,-0.9830178793796692
ACH-000473,-1.2150296711522113
ACH-000475,-1.0314175911101326
ACH-000476,-1.2000751798063465
ACH-000477,-1.005283018156242
ACH-000479,-0.8448941581229956
ACH-000480,-1.2813538880517874
ACH-000481,-1.3353691792790232
ACH-000483,-1.6491538478866783
ACH-000484,-1.057135150366154
ACH-000485,-0.9654982765859916
ACH-000486,-1.1943378964675146
ACH-000487,-0.9800191807216906
ACH-000488,-1.0454205909006526
ACH-000490,-1.0802053848179298
ACH-000491,-1.2825090206887868
ACH-000495,-0.9993609904159586
ACH-000496,-1.128203566454684
ACH-000499,-1.2125422797051502
ACH-000500,-1.1309096456269718
ACH-000502,-1.0452576634576909
ACH-000503,-1.3727770372807258
ACH-000505,-1.0226171114666571
ACH-000507,-1.2035891289359342
ACH-000510,-1.237131114411299
ACH-000511,-1.1204024242432562
ACH-000512,-1.0330150417839874
ACH-000516,-1.0561179530476577
ACH-000517,-1.066318096337489
ACH-000518,-1.1320413216379528
ACH-000520,-1.17701762533926
ACH-000521,-1.3092156870264968
ACH-000522,-1.117397544814928
ACH-000524,-1.071064579892817
ACH-000527,-1.1269396147001085
ACH-000528,-1.2409616917002917
ACH-000537,-1.2123363346098186
ACH-000541,-1.5000860295414389
ACH-000542,-1.0347716889411964
ACH-000544,-1.0969624844900931
ACH-000545,-1.0366781866289885
ACH-000547,-1.3491104656777528
ACH-000548,-1.0932387138136486
ACH-000549,-1.1592942055806477
ACH-000550,-1.1524065675223072
ACH-000552,-1.0906382418024194
ACH-000556,-1.188540172980323
ACH-000557,-1.1178220550241378
ACH-000569,-1.0990347675060548
ACH-000570,-1.1747844041673228
ACH-000571,-0.9743305573006776
ACH-000573,-1.227019751152255
ACH-000576,-1.3130867721519968
ACH-000579,-1.2831610739632713
ACH-000580,-1.189086082122036
ACH-000584,-1.2559805462543254
ACH-000585,-1.1131525375079858
ACH-000588,-1.2073447665696802
ACH-000589,-1.14721263148994
ACH-000591,-1.1933423752045105
ACH-000593,-0.93133675296209
ACH-000600,-1.189152664173095
ACH-000601,-1.187790213229594
ACH-000605,-1.4746065807066926
ACH-000606,-1.2998842820839922
ACH-000608,-0.8799017704413074
ACH-000614,-1.1682715337751512
ACH-000616,-1.312326401049854
ACH-000618,-1.1862751166103864
ACH-000619,-1.0479275398299055
ACH-000620,-1.0766362117094408
ACH-000621,-1.1733538786677629
ACH-000622,-1.0195888477312072
ACH-000623,-1.1456974543742535
ACH-000624,-1.0417393948182974
ACH-000627,-0.9587511019769348
ACH-000630,-1.243609101697209
ACH-000631,-1.3148053396990689
ACH-000632,-1.3117621072097472
ACH-000633,-1.091003586323738
ACH-000637,-1.0731562250491768
ACH-000638,-1.1026487823556612
ACH-000646,-1.105539147009797
ACH-000647,-1.2523095135638391
ACH-000648,-1.262929743045757
ACH-000649,-1.1069285284763228
ACH-000651,-1.2359165636821303
ACH-000652,-1.447773736748958
ACH-000653,-1.191011535581214
ACH-000657,-1.1246880776142758
ACH-000658,-1.1579776570937592
ACH-000661,-1.2835485980659371
ACH-000662,-0.5706235877714693
ACH-000663,-1.1129787756922322
ACH-000665,-1.0257485238513195
ACH-000671,-1.2021594915681064
ACH-000672,-1.910403164425429
ACH-000673,-1.0156146407389683
ACH-000676,-1.0565999112171227
ACH-000677,-0.8464131576992356
ACH-000681,-1.3335035796642796
ACH-000683,-1.0911952688745563
ACH-000684,-1.1810144320843288
ACH-000688,-1.1181687268985236
ACH-000693,-1.194616747463965
ACH-000694,-1.0406260592331569
ACH-000695,-1.1833261384505316
ACH-000696,-1.1425220330120698
ACH-000697,-0.9944858090585036
ACH-000699,-1.2462573395062022
ACH-000701,-1.2077691737191478
ACH-000706,-1.2290891795116177
ACH-000711,-0.9923276899778344
ACH-000713,-0.941559794506569
ACH-000714,-1.063952323975184
ACH-000718,-1.1184329750355195
ACH-000720,-1.1230885444800756
ACH-000721,-1.0361686915837849
ACH-000724,-1.1054909843493568
ACH-000725,-1.1938890507823678
ACH-000732,-1.1013691026790196
ACH-000734,-1.1318951756954776
ACH-000735,-1.211680400790453
ACH-000736,-1.1710461411571134
ACH-000738,-1.066756549243958
ACH-000746,-1.2619100219961157
ACH-000747,-1.3922570288245948
ACH-000748,-1.2950802764316682
ACH-000753,-1.4439342160628206
ACH-000756,-0.9585124198688758
ACH-000757,-1.1672862550537977
ACH-000758,-1.166559361511576
ACH-000760,-1.1917324793623798
ACH-000762,-0.9954397822964932
ACH-000763,-1.0649778626317523
ACH-000764,-1.1393824594539093
ACH-000765,-1.259063210249449
ACH-000766,-1.2786899722724483
ACH-000767,-1.0383195019794509
ACH-000768,-1.096406507409006
ACH-000769,-0.8313463784092866
ACH-000770,-1.093946246826073
ACH-000771,-1.1902713847812243
ACH-000773,-0.8999543901079181
ACH-000776,-1.2125253280065265
ACH-000777,-1.2584817674400526
ACH-000778,-0.8835114210672351
ACH-000781,-1.3854296509464388
ACH-000782,-0.925239053854574
ACH-000783,-1.153702861507422
ACH-000784,-1.1248549330101638
ACH-000785,-1.2476593639440223
ACH-000787,-1.3195665200189135
ACH-000788,-1.1551431623412984
ACH-000791,-0.9488970344556392
ACH-000792,-1.1428027209547755
ACH-000794,-1.0107484152354294
ACH-000796,-1.099354656513713
ACH-000798,-1.2852606783874068
ACH-000799,-0.9959264077148702
ACH-000800,-1.2531297140516948
ACH-000802,-1.1163236133877348
ACH-000804,-0.9923358668908326
ACH-000805,-1.1282546775808329
ACH-000809,-0.9775440857398644
ACH-000810,-1.346991572053185
ACH-000811,-1.1595506544425611
ACH-000817,-0.9235892210965114
ACH-000819,-1.3776527347773972
ACH-000820,-1.4420585247647466
ACH-000821,-1.121957682242468
ACH-000822,-0.7357820374675506
ACH-000823,-0.7160433798989991
ACH-000824,-1.1095553578081492
ACH-000827,-1.2045288984586002
ACH-000829,-1.10283515231682
ACH-000831,-1.033136406545217
ACH-000832,-1.1575969570237676
ACH-000833,-1.190086264976019
ACH-000834,-1.0541762999710886
ACH-000835,-1.2550771256338538
ACH-000836,-1.1956064666907626
ACH-000837,-1.1968266557307217
ACH-000838,-1.0611580771342994
ACH-000839,-0.989979993773363
ACH-000840,-1.1003923278943073
ACH-000841,-1.2396887030860406
ACH-000843,-0.9577128197415208
ACH-000846,-1.1873762963515402
ACH-000847,-1.068054159649051
ACH-000848,-1.0694994752834424
ACH-000849,-1.3777552917386653
ACH-000851,-1.0691588824188505
ACH-000855,-1.174588047253745
ACH-000856,-1.1116395375450958
ACH-000858,-0.9510798333407589
ACH-000859,-1.0937981409617978
ACH-000861,-1.2389353951135345
ACH-000862,-0.9953318128975309
ACH-000865,-1.0869095367662165
ACH-000866,-1.3358063319229794
ACH-000867,-1.1586257109530214
ACH-000869,-1.34136919693667
ACH-000872,-1.4567840939131378
ACH-000873,-0.8630145598516804
ACH-000876,-1.3908422430201792
ACH-000878,-1.2242267445189197
ACH-000880,-1.2113455436384917
ACH-000881,-1.2600384392326258
ACH-000882,-1.1554993208874025
ACH-000884,-1.0256839892354015
ACH-000885,-1.0986387714950434
ACH-000887,-0.9179258057024752
ACH-000889,-1.2544941861408478
ACH-000896,-1.1835604002897842
ACH-000898,-1.1136726412923128
ACH-000900,-1.1831324286753429
ACH-000901,-1.1696381757754115
ACH-000905,-1.2632540131643062
ACH-000906,-1.1481961965005154
ACH-000907,-0.9631412893962702
ACH-000910,-1.0917531628777806
ACH-000911,-1.0864729013783392
ACH-000912,-1.146009031401361
ACH-000913,-1.1536301929523864
ACH-000915,-1.1269161247070296
ACH-000916,-0.7339046472642129
ACH-000917,-1.3049441712269658
ACH-000920,-0.8616512074551476
ACH-000921,-1.23184457575475
ACH-000924,-1.2796894254729263
ACH-000926,-1.1135233950113224
ACH-000928,-1.5092728263155015
ACH-000929,-1.3741312652422744
ACH-000932,-1.0436356115138
ACH-000935,-1.1232601015508388
ACH-000936,-1.1132368749264543
ACH-000937,-0.9492574501961288
ACH-000938,-1.1859343660386985
ACH-000939,-1.3719391569630544
ACH-000941,-1.3023450002986698
ACH-000943,-1.1375436894477209
ACH-000946,-1.2785375522202178
ACH-000947,-1.1346670510810646
ACH-000948,-1.1761619522719269
ACH-000950,-1.4171129009280532
ACH-000953,-0.8915248294957846
ACH-000954,-1.187217785225617
ACH-000957,-0.9950676961332084
ACH-000958,-0.9708502633044108
ACH-000960,-1.063739026330783
ACH-000963,-1.0746018270908062
ACH-000968,-1.1726911541054934
ACH-000969,-1.0351371189493472
ACH-000972,-1.0794875917322733
ACH-000973,-1.12117331164317
ACH-000974,-1.150444859104013
ACH-000978,-1.2502432480484913
ACH-000984,-1.1759623766579272
ACH-000986,-1.0853380232773036
ACH-000988,-1.2515507464715852
ACH-000993,-1.3201576448812615
ACH-000994,-1.3264118897662889
ACH-000996,-0.7876173876618959
ACH-001001,-0.8529237994701142
ACH-001020,-1.0702959839447972
ACH-001028,-1.0133992008570365
ACH-001031,-1.2024782534500955
ACH-001038,-1.0138398806760556
ACH-001048,-1.1413069083506664
ACH-001050,-1.3125979517431834
ACH-001053,-1.0960283566891815
ACH-001054,-0.9370089872133942
ACH-001061,-1.1660128730427952
ACH-001067,-1.057999079411862
ACH-001075,-0.9346843826390868
ACH-001096,-1.1591921902947988
ACH-001111,-1.038221785270038
ACH-001119,-1.2714295158727522
ACH-001128,-1.2184235380676078
ACH-001134,-1.06000753788882
ACH-001151,-1.0471151605776443
ACH-001163,-1.0247212261425351
ACH-001164,-1.0944576767015195
ACH-001183,-1.210974634164504
ACH-001192,-0.9382485793718311
ACH-001193,-1.0758184406399105
ACH-001196,-1.0667944111290153
ACH-001197,-1.2504575595969278
ACH-001205,-1.1029440420716603
ACH-001211,-1.0047139168465888
ACH-001212,-1.6387049540269103
ACH-001228,-1.043610944432727
ACH-001232,-1.104762801127137
ACH-001239,-1.2983651573758106
ACH-001270,-1.03241106540698
ACH-001274,-1.143145238173653
ACH-001275,-1.066198321777664
ACH-001277,-1.194054267617745
ACH-001278,-1.5333906362036531
ACH-001280,-0.6916938487182794
ACH-001283,-1.2290576648081335
ACH-001289,-1.0739493211006728
ACH-001300,-1.0690664277559123
ACH-001301,-1.1939640751915417
ACH-001302,-1.1087188006585738
