,GALP (85569)
ACH-000004,-0.4892452761620095
ACH-000005,-0.4902911378428729
ACH-000007,-0.3998540825234295
ACH-000009,-0.5318443396390778
ACH-000011,-0.3092924199832379
ACH-000012,-0.6169944468798695
ACH-000013,-0.6041530327719011
ACH-000014,-0.4835668450880861
ACH-000015,-0.43553162960676095
ACH-000017,-0.7026180278000423
ACH-000018,-0.5055306897669603
ACH-000019,-0.6094185365410367
ACH-000021,-0.6161461790006957
ACH-000022,-0.5944403133888451
ACH-000025,-0.5606660701775784
ACH-000028,-0.4368461216741335
ACH-000030,-0.6393238469778386
ACH-000035,-0.4468567022804133
ACH-000036,-0.450735765946649
ACH-000037,-0.8801345132691442
ACH-000039,-0.619551033877684
ACH-000040,-0.8041181437843137
ACH-000041,-0.8616750594718136
ACH-000042,-0.4682923294075506
ACH-000045,-0.4393912946525964
ACH-000047,-0.5288950379746469
ACH-000052,-0.3835061569970089
ACH-000053,-0.6330189392166331
ACH-000054,-0.4741959121494147
ACH-000055,-0.5430519262704667
ACH-000060,-0.7928930788949841
ACH-000067,-0.867112215911766
ACH-000070,-0.434587132843732
ACH-000075,-0.6886161006821095
ACH-000078,-0.5637842276295614
ACH-000082,-0.6332503773790157
ACH-000085,-0.6338416263995091
ACH-000086,-0.555084872312822
ACH-000087,-0.6632534802426097
ACH-000092,-0.6419461663383125
ACH-000095,-0.5991614245304331
ACH-000097,-0.5804502459882309
ACH-000098,-0.6777967827976112
ACH-000099,-0.5421362501776988
ACH-000108,-0.4479793970697152
ACH-000113,-0.6737735542831967
ACH-000116,-0.4369371247595609
ACH-000118,-0.6594589796151575
ACH-000120,-0.3246768901616365
ACH-000123,-0.5094754719299662
ACH-000127,-0.655194909723652
ACH-000128,-0.6447171812751952
ACH-000132,-0.4943112356757821
ACH-000133,-0.5864023486700234
ACH-000137,-0.342994563459217
ACH-000138,-0.5502350029282751
ACH-000142,-0.5494878137416919
ACH-000143,-0.5058878547475563
ACH-000146,-0.5071907000323739
ACH-000148,-0.629694390144299
ACH-000150,-0.5834916052721673
ACH-000152,-0.5904891465669929
ACH-000153,-0.4855032466974768
ACH-000159,-0.5813558901186889
ACH-000160,-0.4509797642249231
ACH-000163,-0.5493877875565689
ACH-000167,-1.1820499527647237
ACH-000168,-0.6328006004270984
ACH-000169,-0.5208080968121375
ACH-000178,-0.5444469314310274
ACH-000183,-0.4304355393690039
ACH-000188,-0.6028137086423423
ACH-000189,-0.6323815350961847
ACH-000190,-0.6841703626422839
ACH-000198,-0.5955545120824067
ACH-000203,-0.7415631396555712
ACH-000204,-0.495947334742905
ACH-000206,-0.3684350810291745
ACH-000207,-0.5026685700653347
ACH-000208,-0.609032924392459
ACH-000210,-0.6357386043467664
ACH-000211,-0.6401131195861307
ACH-000215,-0.66003112804622
ACH-000221,-0.4166008022576281
ACH-000222,-0.5655798030594625
ACH-000223,-0.6781273068522788
ACH-000226,-0.5073931529485927
ACH-000227,-0.6162781038111012
ACH-000228,-0.5722426310619918
ACH-000231,-0.5927093841838202
ACH-000232,-0.6364193300312867
ACH-000233,-0.4912402112416264
ACH-000234,-0.5891419691615944
ACH-000235,-0.5859671552737712
ACH-000237,-0.6893380988589503
ACH-000238,-0.508337425860823
ACH-000242,-0.6227585436758161
ACH-000243,-0.4342533212974469
ACH-000244,-0.48106922838552
ACH-000246,-0.5698003126134801
ACH-000248,-0.4655868131909721
ACH-000250,-0.5720872990023502
ACH-000251,-0.5826612569150442
ACH-000252,-0.7792244587800281
