,ACD (65057)
ACH-000004,-0.6802427470448263
ACH-000005,-0.6367632399643797
ACH-000007,-0.3552854251598203
ACH-000009,-0.3827971847273381
ACH-000011,-0.8019252605624583
ACH-000012,-0.4817661929816783
ACH-000013,-0.366017315980624
ACH-000014,-0.5885558408172664
ACH-000015,-0.16967212560854586
ACH-000017,-0.3257851858795215
ACH-000018,-0.3336122087728251
ACH-000019,-0.3303798901072663
ACH-000021,-0.3556619124582465
ACH-000022,-0.5009802543626931
ACH-000025,-0.3195790121123763
ACH-000028,-0.20794386657556185
ACH-000030,-0.3295850422333032
ACH-000035,-0.3398468892554024
ACH-000036,-0.4042234641268755
ACH-000037,-0.5439837408683565
ACH-000039,-0.3708115364364633
ACH-000040,-0.3125968225135179
ACH-000041,-0.3238405751358419
ACH-000042,-0.345601760310008
ACH-000045,-0.7607725507266216
ACH-000047,-0.44867071815992776
ACH-000052,-0.1846845149429973
ACH-000053,-0.42762407933662333
ACH-000054,-0.4265400754965447
ACH-000055,-0.5313213949263138
ACH-000060,-0.4970382698475618
ACH-000067,-0.3765258479145302
ACH-000070,-0.34934415214949976
ACH-000075,-0.584877738613985
ACH-000078,-0.2939904988362253
ACH-000082,-0.33497619181662913
ACH-000085,-0.2175717115044734
ACH-000086,-0.5083954459829972
ACH-000087,-0.5375393042843121
ACH-000092,-0.4607046733334514
ACH-000095,-0.5861349600248438
ACH-000097,-0.4059896435856451
ACH-000098,-0.4099053632067354
ACH-000099,-0.5142038970704568
ACH-000108,-0.3348352970564995
ACH-000113,-0.4229700931240779
ACH-000116,-0.4793021957069499
ACH-000118,-0.4123487145858744
ACH-000120,-0.5488641183178805
ACH-000123,-0.40937157322400064
ACH-000127,-0.3558624469154135
ACH-000128,-0.09922847891296872
ACH-000132,-0.5105011778081999
ACH-000133,-0.5169140793047676
ACH-000137,-0.4756137786851946
ACH-000138,-0.3257530358576716
ACH-000142,-0.30858276730472034
ACH-000143,-0.35783202910867995
ACH-000146,-0.3914975702150892
ACH-000148,-0.2964129034592229
ACH-000150,-0.3507089935749652
ACH-000152,-0.4364715371802559
ACH-000153,-0.5185682728857561
ACH-000159,-0.4836457017098565
ACH-000160,-0.09361336658534336
ACH-000163,-0.4068410550118429
ACH-000167,-0.1671820110021691
ACH-000168,-0.5203467428708963
ACH-000169,-0.5834059348358179
ACH-000178,-0.4637711222548317
ACH-000183,-0.5034539640646436
ACH-000188,-0.5361112482741798
ACH-000189,-0.30953116225864663
ACH-000190,-0.12289997823633705
ACH-000198,-0.6973564611206424
ACH-000203,-0.10987874392841243
ACH-000204,-0.3022693381495329
ACH-000206,-0.6745163817645651
ACH-000207,-0.2619066439740387
ACH-000208,-0.5436786752286801
ACH-000210,-0.3445939579859497
ACH-000211,-0.3988878582791393
ACH-000215,-0.28075436240218965
ACH-000221,-0.5986319997992818
ACH-000222,-0.4347626731293461
ACH-000223,-0.2888395801753901
ACH-000226,-0.4090461816515351
ACH-000227,-0.4055134583109917
ACH-000228,-0.4785112654048936
ACH-000231,-0.47735912086614
ACH-000232,-0.37112932688867856
ACH-000233,-0.28073161334918545
ACH-000234,-0.5289887720879698
ACH-000235,-0.5094675571689855
ACH-000237,-0.5667014661335504
ACH-000238,-0.3912072261655519
ACH-000242,-0.3274910619876653
ACH-000243,-0.2669871894280846
ACH-000244,-0.5300684729452441
ACH-000246,-0.41945722110927375
ACH-000248,-0.4376708007054908
ACH-000250,-0.4340798107079904
ACH-000251,-0.44960859494393823
ACH-000252,-0.2104714197240538
ACH-000253,-0.3849039759976973
ACH-000255,-0.26900663110297324
ACH-000256,-0.4660471973793308
ACH-000257,-0.6371403633381318
ACH-000258,-0.4195713732844664
ACH-000259,-0.4856933375535348
ACH-000260,-0.3727698846095744
ACH-000261,-0.3978577958347004
ACH-000262,-0.5632720128815235
ACH-000263,-0.6560989160098499
ACH-000264,-0.3913107869123706
ACH-000265,-0.2701878651577082
ACH-000266,-0.4823004328313946
ACH-000272,-0.4596568208934482
ACH-000274,-0.4225833078659484
ACH-000277,-0.2685368695855884
ACH-000278,-0.2874485415005344
ACH-000279,-0.29298824228180603
ACH-000280,-0.4952431140798701
ACH-000281,-0.3672705142245633
ACH-000288,-0.5198833605959857
ACH-000291,-0.2744889969080245
ACH-000293,-0.4606650462108278
ACH-000294,-0.4489305073497465
ACH-000295,-0.5155544825137609
ACH-000296,-0.2654933448609723
ACH-000302,-0.3659350068693975
ACH-000304,-0.8477996120860266
ACH-000307,-0.4646539061643202
ACH-000308,-0.48910422180971397
ACH-000310,-0.4534982369660018
ACH-000311,-0.4122679538363385
ACH-000312,-0.2386241745587951
ACH-000315,-0.2943470118486745
ACH-000316,-0.6341192385989433
ACH-000317,-0.4060349008095894
ACH-000318,-0.3386019314187294
ACH-000319,-0.3831919053045647
ACH-000320,-0.3639166120753356
ACH-000322,-0.21695260209726192
ACH-000323,-0.2339263191540669
ACH-000324,-0.569616828390844
ACH-000329,-0.4637235343104361
ACH-000330,-0.2415514449660137
ACH-000331,-0.4509226647066862
ACH-000332,-0.3552893488370115
ACH-000334,-0.3684613074187053
ACH-000335,-0.7285724113725132
ACH-000336,-0.5815560178397979
ACH-000337,-0.28316459451576553
ACH-000338,-0.4708304387850334
ACH-000339,-0.3944308897745579
ACH-000341,-0.3641686961232477
ACH-000348,-0.5567062417653029
ACH-000350,-0.5432878330442613
ACH-000352,-0.3495977106015504
ACH-000356,-0.7076275201184066
ACH-000361,-0.5949228735871211
ACH-000362,-0.6735642542095728
ACH-000363,-0.41818920988316827
ACH-000364,-0.3545075208813873
ACH-000365,-0.4369508660627792
ACH-000366,-0.2761832717711289
ACH-000368,-0.3533634829680262
ACH-000374,-0.3964011454427047
ACH-000375,-0.3518041564487205
ACH-000376,-0.4473660810087611
ACH-000381,-0.4052208202968159
ACH-000383,-0.3800019235381311
