,VPS25 (84313)
ACH-000414,-1.3865426987278038
ACH-000415,-1.7183523833373926
ACH-000416,-1.2423379519119722
ACH-000420,-1.3966624445351878
ACH-000421,-1.504266209533755
ACH-000424,-1.351668376277935
ACH-000425,-1.4190866478045536
ACH-000426,-1.7523655898742367
ACH-000427,-1.5604088184462754
ACH-000433,-1.1866916659831503
ACH-000435,-1.6690301161799734
ACH-000436,-1.570420573819275
ACH-000444,-1.1199911230079451
ACH-000445,-1.4482213125028385
ACH-000448,-1.3837244501824677
ACH-000450,-1.2567597291999169
ACH-000452,-1.5461489603588965
ACH-000454,-1.356224471173673
ACH-000458,-1.5883140169019199
ACH-000459,-2.2441585530655823
ACH-000460,-1.3997338113977087
ACH-000461,-1.394733353759999
ACH-000463,-1.5812434073920012
ACH-000464,-1.4276162633343523
ACH-000466,-1.5537624507755252
ACH-000467,-1.4931334266607033
ACH-000468,-1.117004897312634
ACH-000469,-1.3212307161010843
ACH-000470,-1.7319335227791672
ACH-000471,-1.4654868833665424
ACH-000472,-1.4493712847499498
ACH-000473,-1.708220732352699
ACH-000475,-1.37098700372525
ACH-000476,-1.3354561161064769
ACH-000477,-1.735985225748781
ACH-000479,-1.5378949286453298
ACH-000480,-1.4749682910212945
ACH-000481,-1.3106855836054585
ACH-000483,-1.2638434020474194
ACH-000484,-1.4757574402868707
ACH-000485,-1.343355269316555
ACH-000486,-1.4033405223629052
ACH-000487,-1.567246612675789
ACH-000488,-1.4793914254443097
ACH-000490,-1.56432715761201
ACH-000491,-1.1834876558838925
ACH-000495,-1.2708580235857023
ACH-000496,-1.4124622800047468
ACH-000499,-1.6437469246894694
ACH-000500,-1.293348568647978
ACH-000502,-1.4870426987318761
ACH-000503,-1.6273145117466583
ACH-000505,-1.4683329049245382
ACH-000507,-1.4923210549976391
ACH-000510,-1.3150882944627955
ACH-000511,-1.6080621299398559
ACH-000512,-1.4161867062730935
ACH-000516,-1.4977317561214876
ACH-000517,-1.5461305585203349
ACH-000518,-1.7812427817622178
ACH-000520,-1.4481406464656752
ACH-000521,-1.4963628664212258
ACH-000522,-1.5181895261808338
ACH-000524,-1.4285126622205058
ACH-000527,-1.3559960146819932
ACH-000528,-1.6736839772794618
ACH-000537,-1.5451001354639924
ACH-000541,-1.4135974926870605
ACH-000542,-1.2970058044775323
ACH-000544,-1.5383820238992565
ACH-000545,-1.406752521640345
ACH-000547,-1.531337005743424
ACH-000548,-1.5826939684139896
ACH-000549,-1.3802644028740323
ACH-000550,-1.4193016817273971
ACH-000552,-1.4190843422975867
ACH-000556,-1.4424257342055418
ACH-000557,-1.3486405157002768
ACH-000569,-1.3767773827927037
ACH-000570,-1.4341508784876589
ACH-000571,-1.718466695877476
ACH-000573,-1.680818622660006
ACH-000576,-1.6035778338388142
ACH-000579,-1.4763425625874107
ACH-000580,-1.5537831141132048
ACH-000584,-1.5157713877727168
ACH-000585,-1.6607053905963542
ACH-000588,-1.3045954308595695
ACH-000589,-1.5776283388725754
ACH-000591,-1.2595052350396836
ACH-000593,-1.5499245112376645
ACH-000600,-1.2718769875887252
ACH-000601,-1.339167915659282
ACH-000605,-1.3705618190366704
ACH-000606,-1.4848811614503767
ACH-000608,-0.9265872712093496
ACH-000614,-1.7441112685915419
ACH-000616,-1.4703178593973458
ACH-000618,-1.6542133566675783
ACH-000619,-1.5868282583395812
ACH-000620,-1.3714813798169458
ACH-000621,-1.466133079871442
ACH-000622,-1.3655428638893286
ACH-000623,-1.349716610519653
ACH-000624,-1.4688237574839584
ACH-000627,-1.2407428477004987
ACH-000630,-1.5403797131613168
ACH-000631,-1.19736224972656
ACH-000632,-1.4292984242099405
ACH-000633,-1.2125011063718434
ACH-000637,-1.420516301158784
ACH-000638,-1.4476877852528731
ACH-000646,-1.5986200229511984
ACH-000647,-1.3141105305752558
ACH-000648,-1.3099518103430745
ACH-000649,-1.642434730330102
ACH-000651,-1.3826203010997111
ACH-000652,-1.5209930431573242
ACH-000653,-1.3378874008279695
ACH-000657,-1.5730886591508102
ACH-000658,-1.5458233560621892
ACH-000661,-1.499584084798331
ACH-000662,-1.3107256812779375
ACH-000663,-1.5222447016530314
ACH-000665,-1.422536930086162
ACH-000671,-1.5113364420344484
ACH-000672,-1.8110521796246588
ACH-000673,-1.4359930635038094
ACH-000676,-1.4731708096962923
ACH-000677,-0.6299820848949711
ACH-000681,-1.4173506067142472
ACH-000683,-1.3330321157002698
ACH-000684,-1.348639417949983
ACH-000688,-2.1812500420974756
ACH-000693,-1.3924333675289144
ACH-000694,-1.4819529200564556
ACH-000695,-1.2209639915346633
ACH-000696,-1.4012394112375102
ACH-000697,-1.4658588813192603
ACH-000699,-2.1470338840489456
ACH-000701,-1.0838697570752198
ACH-000706,-1.4114080542893372
ACH-000711,-1.535611468766301
ACH-000713,-1.5789832487877031
ACH-000714,-1.4239093873812398
ACH-000718,-1.6785806626359943
ACH-000720,-1.5459524666206466
ACH-000721,-1.4188823794669043
ACH-000724,-1.9689581221711476
ACH-000725,-1.4428637133000433
ACH-000732,-1.4409529815394881
ACH-000734,-1.3313444561536372
ACH-000735,-1.3674348043693516
ACH-000736,-1.6739743056734795
ACH-000738,-1.1811770318782842
ACH-000746,-1.2360896557719865
ACH-000747,-1.433494759268814
ACH-000748,-1.3254913724525943
ACH-000753,-1.5280233211449026
ACH-000756,-1.2588824457039915
ACH-000757,-1.0510562022997962
ACH-000758,-1.4471340352367077
ACH-000760,-1.3852188944028294
ACH-000762,-1.3490016987013318
ACH-000763,-1.9462304147228349
ACH-000764,-1.4550129387566393
ACH-000765,-1.6690878830697442
ACH-000766,-1.3884671797352317
ACH-000767,-1.1506782664754631
ACH-000768,-1.5954647214647393
ACH-000769,-1.3975988692600059
ACH-000770,-1.480972954641565
ACH-000771,-1.2621377555808846
ACH-000773,-1.505185909962537
ACH-000776,-1.3562330555589803
ACH-000777,-1.5790929545581436
ACH-000778,-1.601133633585791
ACH-000781,-1.4328232158019107
ACH-000782,-1.4529935169354642
ACH-000783,-1.6656302676295995
ACH-000784,-1.4514356134868625
ACH-000785,-1.5782829141540609
ACH-000787,-1.4432739950850808
ACH-000788,-1.4182882292947967
ACH-000791,-1.6325596748817184
ACH-000792,-1.3547695601849414
ACH-000794,-1.4864389204666304
ACH-000796,-1.5077528730827003
ACH-000798,-1.4811034817278623
ACH-000799,-1.5316641983054902
ACH-000800,-1.7487294520784806
ACH-000802,-1.642502286945239
ACH-000804,-1.6828729580047093
ACH-000805,-1.3619331619149848
ACH-000809,-1.5553831484485183
ACH-000810,-1.527730971910521
ACH-000811,-1.4713200600540919
ACH-000817,-1.3999031657613934
ACH-000819,-1.4747925736491685
ACH-000820,-1.5943572153368029
ACH-000821,-1.5349740538656562
ACH-000822,-1.579511829741785
ACH-000823,-1.5581076703236174
ACH-000824,-1.5963295194933331
ACH-000827,-1.5234336689990648
ACH-000829,-1.0127171744080443
ACH-000831,-1.4187791585598657
ACH-000832,-1.5057503612228034
ACH-000833,-1.3249411844315342
ACH-000834,-1.4300796140183711
ACH-000835,-1.3209165510905114
ACH-000836,-1.5378268650836653
ACH-000837,-1.5954329522582913
ACH-000838,-1.6722949691099969
ACH-000839,-1.508486738836393
ACH-000840,-1.5240926345317725
ACH-000841,-1.5469797157149172
ACH-000843,-1.4755146187843329
ACH-000846,-1.6394127190858492
ACH-000847,-1.4206941478602162
ACH-000848,-1.2832630073284912
ACH-000849,-1.6748606696065695
ACH-000851,-1.389026773973438
ACH-000855,-1.4336665949579381
ACH-000856,-1.2385085982632962
ACH-000858,-1.5266456062813507
ACH-000859,-1.8258182270675287
ACH-000861,-1.3569561914878687
ACH-000862,-1.7078328492764567
ACH-000865,-1.2629033319775949
ACH-000866,-1.5357199614395431
ACH-000867,-1.4091589854290418
ACH-000869,-1.3467387360797862
ACH-000872,-1.6971449393764948
ACH-000873,-1.2684198465560623
ACH-000876,-2.057990656921028
ACH-000878,-1.3139092406760893
ACH-000880,-1.3290633178035542
ACH-000881,-1.7200790170982447
ACH-000882,-1.2628643379314546
ACH-000884,-1.487044562615195
ACH-000885,-1.5677120806281937
ACH-000887,-1.3736945608027793
ACH-000889,-1.4430085629865472
ACH-000896,-1.4268831908226811
ACH-000898,-1.4756909770890418
ACH-000900,-1.341113831254418
ACH-000901,-1.2464063607347602
ACH-000905,-1.533531080031031
ACH-000906,-1.4619031684802302
ACH-000907,-1.4924455842035484
ACH-000910,-1.6894058835565229
ACH-000911,-1.5018013200936435
ACH-000912,-1.4642252090829384
ACH-000913,-1.5358188679075708
ACH-000915,-1.4416532013278538
ACH-000916,-1.4834449314256797
ACH-000917,-1.3268899645077572
ACH-000920,-1.7295155065912375
ACH-000921,-1.4335770567195547
ACH-000924,-1.2736432882655748
ACH-000926,-1.0704047196350552
ACH-000928,-1.4529895393412662
ACH-000929,-1.527636573591202
ACH-000932,-1.340060458763659
ACH-000935,-1.3491047557339133
ACH-000936,-1.3423729570705771
ACH-000937,-1.510229296362839
ACH-000938,-1.3361506677826296
ACH-000939,-1.7587191962605755
ACH-000941,-1.503669823015529
ACH-000943,-1.7072129204672188
ACH-000946,-1.5270777532498137
ACH-000947,-1.4790845783555364
ACH-000948,-1.6216814920971767
ACH-000950,-1.7942925948596493
ACH-000953,-1.3672149642839944
ACH-000954,-1.3710510057811929
ACH-000957,-1.6938688234362782
ACH-000958,-1.5631688357838658
ACH-000960,-1.4907344994232403
ACH-000963,-0.8437461335868166
ACH-000968,-1.3687225185117329
ACH-000969,-1.4878110658402632
ACH-000972,-1.4940882754065274
ACH-000973,-1.3700551136210273
ACH-000974,-1.3943711708477533
ACH-000978,-1.2217314345340902
ACH-000984,-1.4114991432931328
ACH-000986,-1.5585034684865815
ACH-000988,-1.4916790261676989
ACH-000993,-1.4366118522830194
ACH-000994,-1.7097432468698948
