,OTOL1 (131149)
ACH-000004,0.06996595468075638
ACH-000005,0.13905658886741756
ACH-000007,-0.20849489658323406
ACH-000009,-0.11862444123079592
ACH-000011,0.027549826115043263
ACH-000012,0.004634435049806293
ACH-000013,-0.0333111424138366
ACH-000014,-0.1410706986467999
ACH-000015,-0.05958297446804842
ACH-000017,-0.024820568893989262
ACH-000018,-0.2273548827431892
ACH-000019,-0.1599138665258931
ACH-000021,0.09903181597125964
ACH-000022,0.13006835379086393
ACH-000025,-0.15446022131861872
ACH-000028,-0.10607744168117993
ACH-000030,0.01714377350721159
ACH-000035,-0.07868978700034195
ACH-000036,-0.1337658666573696
ACH-000037,-0.03207131393469548
ACH-000039,0.10041345449977963
ACH-000040,-0.10886650790068797
ACH-000041,0.07197658848180072
ACH-000042,-0.008665867102362869
ACH-000045,-0.015346570193529476
ACH-000047,-0.002810129615021818
ACH-000052,-0.00026732413353272263
ACH-000053,-0.004819997961891006
ACH-000054,-0.14771308301911315
ACH-000055,0.12071320528097346
ACH-000060,-0.21968102036860615
ACH-000067,0.0546322530944485
ACH-000070,-0.0496808743382352
ACH-000075,-0.050665490468316664
ACH-000078,-0.08698366637129569
ACH-000082,0.03828487586175314
ACH-000085,0.05243530558652193
ACH-000086,0.02632761647565876
ACH-000087,-0.01705486537622346
ACH-000092,-0.035250174326657766
ACH-000095,-0.09033578812040227
ACH-000097,-0.06132804139232775
ACH-000098,-0.13374657238207618
ACH-000099,-0.08641884980223984
ACH-000108,-0.0765076688820454
ACH-000113,-0.1675618095209371
ACH-000116,-0.06599083531946559
ACH-000118,0.018351450512208614
ACH-000120,0.05222964616485599
ACH-000123,-0.08234859697516099
ACH-000127,0.006036409579466278
ACH-000128,0.07142925869363095
ACH-000132,-0.07851462525754888
ACH-000133,0.0355128067288003
ACH-000137,0.16109433233593162
ACH-000138,-0.026449198611914467
ACH-000142,0.07080712158539837
ACH-000143,-0.27162499074197954
ACH-000146,0.020691695155003482
ACH-000148,0.06690022597652652
ACH-000150,0.05526256118321349
ACH-000152,0.10030702429528922
ACH-000153,-0.009725184850672431
ACH-000159,-0.008713340376203482
ACH-000160,-0.1596749454780612
ACH-000163,-0.12155201338718707
ACH-000167,-0.07716564805092156
ACH-000168,-0.009486587475753285
