,CSPG5 (10675)
ACH-000004,-0.17202199789449096
ACH-000005,-0.05307594937560238
ACH-000007,-0.21455253688236206
ACH-000009,-0.14936118833260845
ACH-000011,-0.057842522445568575
ACH-000012,-0.06183513121007109
ACH-000013,-0.06535320264474126
ACH-000014,-0.010261941189625376
ACH-000015,-0.22828103928751045
ACH-000017,-0.14154390382903234
ACH-000018,-0.056514700546207726
ACH-000019,-0.011601164097881615
ACH-000021,-0.12151794570684694
ACH-000022,-0.12461095909006965
ACH-000025,-0.03245560098127436
ACH-000028,-0.12696443041924946
ACH-000030,-0.07602534336862819
ACH-000035,-0.1802210963214236
ACH-000036,-0.2732427416184889
ACH-000037,-0.1132489257910204
ACH-000039,-0.16027882936340238
ACH-000040,-0.2241471689560986
ACH-000041,-0.27227026834852
ACH-000042,-0.2725212343875658
ACH-000045,-0.0935748845970193
ACH-000047,-0.003425268792032747
ACH-000052,-0.06535252406252377
ACH-000053,-0.10439370603353312
ACH-000054,-0.20357940739840708
ACH-000055,0.002667788472010672
ACH-000060,-0.16905518991048807
ACH-000067,-0.12648811997999598
ACH-000070,-0.1494910355271483
ACH-000075,-0.16146791403241242
ACH-000078,-0.17800381027015796
ACH-000082,-0.08892762533222227
ACH-000085,-0.15762069763282516
ACH-000086,-0.25239735270476554
ACH-000087,0.16608622970220185
ACH-000092,-0.09556509392841464
ACH-000095,-0.1206421597196226
ACH-000097,-0.13360334535600926
ACH-000098,-0.06294149981556611
ACH-000099,0.10730023033155812
ACH-000108,-0.167497692615474
ACH-000113,-0.12087516149902935
ACH-000116,-0.2437593249563013
ACH-000118,-0.2813831221432417
ACH-000120,0.002034683023750826
ACH-000123,-0.009740492140364107
ACH-000127,-0.212439791413636
ACH-000128,0.02279080677222081
ACH-000132,-0.17553706162024454
ACH-000133,-0.11396700423169034
ACH-000137,-0.31320389204177185
ACH-000138,-0.07028624478134866
ACH-000142,-0.13782454890607268
ACH-000143,-0.11156163798418683
ACH-000146,-0.20528739960284087
ACH-000148,0.04961710899191525
ACH-000150,-0.3178173385470372
ACH-000152,-0.1387450640349079
ACH-000153,0.097976281378783
ACH-000159,-0.07558933702699618
ACH-000160,0.0278682486264993
ACH-000163,-0.09638881648270227
ACH-000167,0.06829946209231443
ACH-000168,-0.11338135603891356
ACH-000169,-0.02084565027615256
ACH-000178,-0.09148040777839828
ACH-000183,-0.1601350324720293
ACH-000188,-0.19399854162972044
ACH-000189,-0.11791653802537225
ACH-000190,0.18309219749561575
ACH-000198,-0.1122305489739377
ACH-000203,0.01938622353088748
ACH-000204,0.017442133710686876
ACH-000206,-0.20540907680479648
ACH-000207,-0.07665977842228525
ACH-000208,-0.033500043223745515
ACH-000210,0.04850400832181636
ACH-000211,-0.1638604029641678
ACH-000215,-0.1827658371789083
ACH-000221,-0.18500661516696415
ACH-000222,-0.1140428066717412
ACH-000223,-0.12416609076362806
ACH-000226,-0.15619002346358798
ACH-000227,-0.2574915803661679
ACH-000228,-0.16438667182103306
ACH-000231,-0.10843497904438264
ACH-000232,-0.05641427763332193
ACH-000233,-0.059622061587315686
ACH-000234,-0.09447345087708726
ACH-000235,-0.14704906296430315
ACH-000237,-0.14455173145998185
ACH-000238,-0.31545131080102823
ACH-000242,-0.3052881374524141
ACH-000243,-0.1000110123290686
ACH-000244,-0.4111805724054549
ACH-000246,-0.19239423569584854
ACH-000248,-0.14778808243976682
ACH-000250,-0.151611603135965
ACH-000251,-0.2448283603263721
