,EIF4B (1975)
ACH-000004,-0.718738498500874
ACH-000005,-0.7663543443189164
ACH-000007,-0.6228306784241668
ACH-000009,-0.5828396711563314
ACH-000011,-0.6934662648141159
ACH-000012,-0.6134805944448934
ACH-000013,-0.6478117026883944
ACH-000014,-0.9440472025735408
ACH-000015,-0.7127595051782448
ACH-000017,-0.4751549070368151
ACH-000018,-0.732536231021538
ACH-000019,-0.6423030868785684
ACH-000021,-0.7431560642696552
ACH-000022,-0.5624007113234737
ACH-000025,-0.8139756507468477
ACH-000028,-0.550823746032714
ACH-000030,-0.6083261372311036
ACH-000035,-0.5373937494826185
ACH-000036,-0.742522674538867
ACH-000037,-0.6628637030228229
ACH-000039,-0.8008840108696837
ACH-000040,-0.7235546255118058
ACH-000041,-0.6843318302033112
ACH-000042,-0.6490100388370071
ACH-000045,-0.4781337886737398
ACH-000047,-0.27219383793309404
ACH-000052,-0.9308868788520972
ACH-000053,-0.5042511173217362
ACH-000054,-0.6585087755131707
ACH-000055,-0.6189022241454245
ACH-000060,-0.7906775831796031
ACH-000067,-0.8733421110121784
ACH-000070,-0.6560502923533791
ACH-000075,-0.6849923706556199
ACH-000078,-0.6515986345392045
ACH-000082,-0.5676061901007003
ACH-000085,-0.441210333445288
ACH-000086,-0.6922326963831945
ACH-000087,-0.7899291179865978
ACH-000092,-0.7019335601589559
ACH-000095,-0.6424154066260275
ACH-000097,-0.5064127187078065
ACH-000098,-0.6023403890741319
ACH-000099,-0.8278571967469625
ACH-000108,-0.5215729392285616
ACH-000113,-0.5343593988871393
ACH-000116,-0.6152971480489298
ACH-000118,-0.5047732842653678
ACH-000120,-0.5913351160145622
ACH-000123,-0.6321682737998752
ACH-000127,-0.5908104615256663
ACH-000128,-0.6819319966312539
ACH-000132,-0.7131262442025044
ACH-000133,-0.6864779440777149
ACH-000137,-0.7495343327539217
ACH-000138,-0.4886252003071685
ACH-000142,-0.7547232615014093
ACH-000143,-0.8043315601246046
ACH-000146,-0.6028855042544515
ACH-000148,-0.7616098852820751
ACH-000150,-0.8184866637319821
ACH-000152,-0.7931639615469629
ACH-000153,-0.8079921687086541
ACH-000159,-0.6855041172677967
ACH-000160,-0.8880203666827164
ACH-000163,-0.7240705359407914
ACH-000167,-0.9504934304843621
ACH-000168,-0.8015980341874139
ACH-000169,-0.5881466925648268
ACH-000178,-0.7421944550344203
ACH-000183,-0.8502742900946518
ACH-000188,-0.6107706936107367
