,TUBA3D (113457)
ACH-000004,-0.2887878694776115
ACH-000005,-0.23413589566813514
ACH-000007,-0.3559480610286353
ACH-000009,-0.39260136128934703
ACH-000011,-0.3732172721482017
ACH-000012,-0.2868309617074475
ACH-000013,-0.2623851011244911
ACH-000014,-0.40874195716334577
ACH-000015,-0.4180321100415621
ACH-000017,-0.2688330805583137
ACH-000018,-0.2888092962200295
ACH-000019,-0.3168656299356862
ACH-000021,-0.3199538411206828
ACH-000022,-0.2004214524112657
ACH-000025,-0.3038573235351115
ACH-000028,-0.2829195989908588
ACH-000030,-0.35636592366778985
ACH-000035,-0.16509760938556278
ACH-000036,-0.3830774227336798
ACH-000037,-0.283740488026948
ACH-000039,-0.20794181018235164
ACH-000040,-0.2268140659111996
ACH-000041,-0.2679447402636554
ACH-000042,-0.3317857216848645
ACH-000045,-0.1663297963896384
ACH-000047,-0.3645699786618941
ACH-000052,-0.26491316534575443
ACH-000053,-0.26001356997109304
ACH-000054,-0.4195530576450234
ACH-000055,-0.10462924599671153
ACH-000060,-0.10216545015598708
ACH-000067,-0.2717950580753469
ACH-000070,-0.2563034425245458
ACH-000075,-0.23805368503527194
ACH-000078,-0.20056725666814296
ACH-000082,-0.23832262345422356
ACH-000085,-0.21061482052030334
ACH-000086,-0.4222827995609833
ACH-000087,-0.3677182171540028
ACH-000092,-0.4595064798401988
ACH-000095,-0.33064022760088296
ACH-000097,-0.3636011214658202
ACH-000098,-0.1924370264979991
ACH-000099,-0.2592243438652277
ACH-000108,-0.3228744734544869
ACH-000113,-0.28153421876402474
ACH-000116,-0.19566188907796805
ACH-000118,-0.299016996933826
ACH-000120,-0.14202566678777978
ACH-000123,-0.2728151829902977
ACH-000127,-0.2388202612019069
ACH-000128,-0.41841560615930745
ACH-000132,-0.33114166410264695
ACH-000133,-0.1249414101945501
ACH-000137,-0.42861816987667256
ACH-000138,-0.2376821481690427
ACH-000142,-0.19953248141959049
ACH-000143,-0.2973199532238598
ACH-000146,-0.11822042208377705
ACH-000148,-0.2019371764465732
ACH-000150,-0.24953420464811654
ACH-000152,-0.2859894650731619
ACH-000153,-0.2655439704038897
ACH-000159,-0.4283025308417957
ACH-000160,-0.3657240558674616
ACH-000163,-0.2791835068810567
ACH-000167,-0.6228771621294139
ACH-000168,-0.2279880574863528
ACH-000169,-0.2951491171639061
ACH-000178,-0.2275826896411483
ACH-000183,-0.18415049200994546
ACH-000188,-0.23466312926457675
ACH-000189,-0.3706027998730861
ACH-000190,-0.08089783785720397
ACH-000198,-0.30366344377687216
ACH-000203,-0.6763274013747347
ACH-000204,-0.3557432958028746
ACH-000206,-0.4477100501457656
ACH-000207,-0.3657445888224312
ACH-000208,-0.2291307671384273
ACH-000210,-0.35303818135982473
ACH-000211,-0.3803207121934853
ACH-000215,-0.2386655003397876
ACH-000221,-0.2461504910088652
ACH-000222,-0.2025633654978152
ACH-000223,-0.41408029911002203
ACH-000226,-0.2791766229954745
ACH-000227,-0.24890102770950345
ACH-000228,-0.5256386204899972
ACH-000231,-0.2398061529453847
ACH-000232,-0.37714455795120266
ACH-000233,-0.4051105747031723
ACH-000234,-0.3764853406759109
ACH-000235,-0.2894953498826712
ACH-000237,-0.3356941796644989
ACH-000238,-0.1952573612352924
ACH-000242,-0.3674465340567544
ACH-000243,-0.32655202218021445
ACH-000244,-0.3201439503325237
ACH-000246,-0.3847559547957201
ACH-000248,-0.3060815974833068
ACH-000250,-0.2670306225065596
ACH-000251,-0.2510629599890096
ACH-000252,-0.314522035755416
ACH-000253,-0.4397127997987224
ACH-000255,-0.3040319270337058
ACH-000256,-0.263276826967746
ACH-000257,-0.028482646486715474
ACH-000258,-0.16291449332906854
ACH-000259,-0.2671408528945408
ACH-000260,-0.28923792682358723
ACH-000261,-0.234442217780516
ACH-000262,-0.2581869233731219
ACH-000263,-0.3115028533792137
ACH-000264,-0.21760884342389267
ACH-000265,-0.3449991239638697
ACH-000266,-0.3960920645352588
ACH-000272,-0.2988538598167106
ACH-000274,-0.33008773642416744
ACH-000277,-0.19130154087437512
ACH-000278,-0.21161704378936425
