,LLPH (84298)
ACH-000004,-0.2555451799619048
ACH-000005,-0.6835649195386387
ACH-000007,-0.014798072227673806
ACH-000009,-0.35398489138424755
ACH-000011,-0.496918377195859
ACH-000012,-0.3158875719274654
ACH-000013,-0.3810077317947333
ACH-000014,-0.3144208420054315
ACH-000015,-0.4129252148573985
ACH-000017,-0.06293127342727083
ACH-000018,-0.5671449415119557
ACH-000019,-0.08780458187615145
ACH-000021,-0.17549687802979302
ACH-000022,-0.21826643459470127
ACH-000025,-0.21997235822486064
ACH-000028,-0.22499163046320267
ACH-000030,-0.3916583884431503
ACH-000035,-0.2393918057961855
ACH-000036,-0.13809146131514935
ACH-000037,-0.2513151921423204
ACH-000039,-0.405129238205714
ACH-000040,-0.29760967509353325
ACH-000041,-0.34889490750437513
ACH-000042,-0.18745924872568845
ACH-000045,-0.3346246116260124
ACH-000047,-0.22354403265446915
ACH-000052,-0.2060339069064665
ACH-000053,-0.20152625110002687
ACH-000054,-0.19535786254519746
ACH-000055,-0.44358880327568256
ACH-000060,-0.2847468388530269
ACH-000067,-0.40525671204716623
ACH-000070,-0.27831792110934417
ACH-000075,-0.2787308830990276
ACH-000078,-0.2133958335895641
ACH-000082,-0.4552195248792226
ACH-000085,-0.4568502476907229
ACH-000086,-0.31213446072186257
ACH-000087,-0.2399357677145495
ACH-000092,-0.2602155910682859
ACH-000095,-0.3559819004568539
ACH-000097,-0.3172936720761477
ACH-000098,-0.2761547453318411
ACH-000099,-0.19982824594506368
ACH-000108,-0.06667427351120052
ACH-000113,-0.2377094408183089
ACH-000116,-0.3560856857219612
ACH-000118,-0.37316338326634096
ACH-000120,-0.2726827361810278
ACH-000123,-0.2429273519219714
ACH-000127,-0.3920515452306588
ACH-000128,-0.43806293013403497
ACH-000132,-0.041500613127775435
ACH-000133,-0.535465345217991
ACH-000137,-0.3907155397950542
ACH-000138,-0.22924193761566336
ACH-000142,-0.2353330857203818
ACH-000143,-0.16796764655861904
ACH-000146,-0.23147030270201616
ACH-000148,-0.33808622795031484
ACH-000150,-0.3214572397844207
ACH-000152,-0.3857929574204608
ACH-000153,-0.25783672860582235
ACH-000159,-0.15610021510068964
ACH-000160,-0.5210833466168349
ACH-000163,-0.5007811015029219
ACH-000167,-0.4979466787853135
ACH-000168,-0.3793316101287453
ACH-000169,-0.3471943401991125
ACH-000178,-0.12114469304476153
ACH-000183,-0.2406536099273537
ACH-000188,-0.2469285266014023
ACH-000189,-0.4981680401538681
ACH-000190,-0.4445299641270192
ACH-000198,-0.22534831259433186
ACH-000203,-0.28350672113528685
ACH-000204,-0.047279407810930464
ACH-000206,-0.15968989409591938
