,FBL (2091)
ACH-000004,-1.1004326381780012
ACH-000005,-1.4127529886411738
ACH-000007,-0.8877384806222282
ACH-000009,-1.15105831813325
ACH-000011,-1.2007119394729189
ACH-000012,-1.076956259618014
ACH-000013,-1.0612682987753463
ACH-000014,-1.0838208252932475
ACH-000015,-1.2730783354511108
ACH-000017,-0.930559362731356
ACH-000018,-1.3780073486149238
ACH-000019,-0.9655875836300666
ACH-000021,-1.0568898045117479
ACH-000022,-1.2349309785113007
ACH-000025,-1.165114793059628
ACH-000028,-1.188204631199659
ACH-000030,-1.0906449766018882
ACH-000035,-1.4088110767990794
ACH-000036,-1.085480401902653
ACH-000037,-1.3630030646084133
ACH-000039,-0.9467921796253972
ACH-000040,-1.0058100385486184
ACH-000041,-1.2660469594257568
ACH-000042,-1.2365288635042873
ACH-000045,-1.0901450133515145
ACH-000047,-0.8756602652451235
ACH-000052,-0.949436619734768
ACH-000053,-1.0872169200995447
ACH-000054,-1.3068711100347103
ACH-000055,-0.9042152638508452
ACH-000060,-1.1159060270421888
ACH-000067,-1.0782760889343384
ACH-000070,-1.1767777739425096
ACH-000075,-1.3555592912265253
ACH-000078,-1.2548071229612372
ACH-000082,-1.1061778204390926
ACH-000085,-1.3195572084864458
ACH-000086,-1.2309097188983964
ACH-000087,-1.3627082770407641
ACH-000092,-1.1705909858137504
ACH-000095,-1.1442031661960737
ACH-000097,-1.0862486463983203
ACH-000098,-1.2457174361273544
ACH-000099,-1.134386821915957
ACH-000108,-1.1425531550755588
ACH-000113,-1.2323243484397082
ACH-000116,-1.2436137282433186
ACH-000118,-1.209891140499553
ACH-000120,-0.9767084646772662
ACH-000123,-1.2317714880587798
ACH-000127,-1.224996198093584
ACH-000128,-1.0832220864743418
ACH-000132,-1.1517905221430411
ACH-000133,-1.1418358833780595
ACH-000137,-1.0839191602484648
ACH-000138,-1.0279473576128633
ACH-000142,-1.2882523233393544
ACH-000143,-1.2611625564709992
ACH-000146,-1.1151081283588256
ACH-000148,-1.2362506438728222
ACH-000150,-1.2931786910756322
ACH-000152,-1.032934852211862
ACH-000153,-1.052804126586487
ACH-000159,-1.023733418110933
ACH-000160,-0.8940073573610248
ACH-000163,-1.2071023768141345
ACH-000167,-1.4706010947545902
ACH-000168,-1.0557819335363583
ACH-000169,-1.063150340839199
ACH-000178,-1.2045500226059973
ACH-000183,-1.2738685748478764
ACH-000188,-1.1710356654975391
ACH-000189,-1.1481680013094715
ACH-000190,-0.5791076424132374
ACH-000198,-1.0937301668899448
ACH-000203,-1.0314450553668744
ACH-000204,-0.9774412408236021
ACH-000206,-0.8996146901770153
ACH-000207,-1.079826435832985
ACH-000208,-1.0399690687832448
ACH-000210,-1.1293263073966149
ACH-000211,-1.042198579213382
ACH-000215,-1.0824448622523406
ACH-000221,-1.3560768246715047
ACH-000222,-1.3992353064564909
ACH-000223,-1.1142925664556644
ACH-000226,-1.0446273361065803
ACH-000227,-0.9948957947187466
ACH-000228,-1.243101502488139
ACH-000231,-0.998279894991979
ACH-000232,-1.3138980273595733
ACH-000233,-1.3239656869136782
ACH-000234,-1.0344345019164538
ACH-000235,-1.1850040464411593
ACH-000237,-1.139349347694648
ACH-000238,-1.417387372097423
ACH-000242,-0.9986464531931206
ACH-000243,-1.1688233788751698
ACH-000244,-1.0333733528087787
ACH-000246,-1.0698017704899878
ACH-000248,-1.1352323825138164
ACH-000250,-1.05731121221225
ACH-000251,-1.3770856287732556
ACH-000252,-1.2739900336416288
ACH-000253,-1.1439570474500276
ACH-000255,-1.1417798141548012
ACH-000256,-1.125354913367812
ACH-000257,-0.9914282984053148
ACH-000258,-1.4288125232929962
ACH-000259,-1.1579559150282202
ACH-000260,-1.097084002848265
ACH-000261,-1.1939763505985712
ACH-000262,-1.364275379125634
ACH-000263,-1.3395960821500057
ACH-000264,-0.9394917586524436
ACH-000265,-1.168719085262572
ACH-000266,-1.1865038881728809
ACH-000272,-0.8955462281871402
ACH-000274,-1.1473735868921275
ACH-000277,-0.982420153360192
ACH-000278,-1.126857051007821
ACH-000279,-1.1582909080837762
ACH-000280,-1.4559367892957191
ACH-000281,-1.0984453317321072
ACH-000288,-1.0331822474698416
ACH-000291,-0.9605034778337764
ACH-000293,-1.0905291714891845
ACH-000294,-1.391954873580449
ACH-000295,-1.2114352590314672
ACH-000296,-0.9749323469896956
ACH-000302,-1.251397528405133
ACH-000304,-1.017555044630642
ACH-000307,-1.0473614605317083
ACH-000308,-1.2823052541757594
ACH-000310,-1.051402057926573
ACH-000311,-1.118653451898574
ACH-000312,-1.3094282896820602
ACH-000315,-1.028787740639281
ACH-000316,-1.0891325624136905
ACH-000317,-1.6112680350353892
ACH-000318,-1.3325074901534917
ACH-000319,-1.0775014317532945
ACH-000320,-1.1523173189627176
ACH-000322,-1.1080497943395766
ACH-000323,-1.1117436812973691
ACH-000324,-1.398539590112311
ACH-000329,-1.0493821411438171
ACH-000330,-1.241334348608849
ACH-000331,-1.1514072798058799
ACH-000332,-1.0587912913395618
ACH-000334,-1.01435535251402
ACH-000335,-0.90713103199625
ACH-000336,-1.3094084264999786
ACH-000337,-1.2040096075531936
ACH-000338,-0.9822429302014326
ACH-000339,-1.1728409084276623
ACH-000341,-1.092419538961748
ACH-000348,-1.03666776375918
ACH-000350,-1.1456577930531933
ACH-000352,-1.3961366891327702
ACH-000356,-1.2950768586528845
