,FNTA (2339)
ACH-000004,-0.3267408358530919
ACH-000005,-0.10415884807955418
ACH-000007,-0.8743418723652058
ACH-000009,-0.23076198356720665
ACH-000011,-0.7026385453756001
ACH-000012,-0.64894126851027
ACH-000013,-0.450873779935135
ACH-000014,-0.50279912903705
ACH-000015,-0.5727941613879701
ACH-000017,-0.4942736508321058
ACH-000018,-0.6098083298612422
ACH-000019,-0.44762470361582457
ACH-000021,-0.3933362176507041
ACH-000022,-0.34622475020474264
ACH-000025,-0.6789260310778599
ACH-000028,-0.645490944583489
ACH-000030,-0.5799276315483503
ACH-000035,-0.7197787848054994
ACH-000036,-0.7156771284426718
ACH-000037,-0.5395470414059513
ACH-000039,-0.08637824654717025
ACH-000040,-0.6465218011868902
ACH-000041,-0.3831383667198908
ACH-000042,-0.4183509175056946
ACH-000045,-0.17493101051337984
ACH-000047,-0.4539520755749372
ACH-000052,-0.7090677740764307
ACH-000053,-0.4393657301027895
ACH-000054,-0.4973346851577319
ACH-000055,-0.6593817869357023
ACH-000060,-0.7915941896551058
ACH-000067,-0.432534501903859
ACH-000070,-0.6569728328576129
ACH-000075,-0.4837178634083288
ACH-000078,-0.25657688286381897
ACH-000082,-0.7021616230639253
ACH-000085,-0.4500899575601913
ACH-000086,-0.4634547004780737
ACH-000087,-0.4820288920693424
ACH-000092,-0.6125439459987132
ACH-000095,-0.5899300722675757
ACH-000097,-0.4810163734159447
ACH-000098,-0.5815248229510928
ACH-000099,-0.5034388801780071
ACH-000108,-0.5220704235642473
ACH-000113,-0.38108848703419096
ACH-000116,-0.39803214256937575
ACH-000118,-0.7286491574127838
ACH-000120,-0.4076192067092949
ACH-000123,-0.7010223897780343
ACH-000127,-0.5912509063627498
ACH-000128,-0.5144197365103345
ACH-000132,-0.6424846158593643
ACH-000133,-0.3966944053194664
ACH-000137,-0.631231698338875
ACH-000138,-0.5165355292493664
ACH-000142,-0.5919275518836898
ACH-000143,-0.4925506318380677
ACH-000146,-0.35299898811658753
ACH-000148,-0.7188749908251936
ACH-000150,-0.5830162818557311
ACH-000152,-0.6890463321312511
ACH-000153,-0.7529943026363853
ACH-000159,-0.7696277237729467
ACH-000160,-0.4949677141957428
ACH-000163,-1.030756780710522
ACH-000167,-0.7654188699576082
ACH-000168,-0.42345851204501467
ACH-000169,-0.6249795454685697
ACH-000178,-0.6307924301890167
ACH-000183,-0.2731068442511359
ACH-000188,-0.4513626562916891
