,HIST1H2BM (8342)
ACH-000004,-0.6780645690468308
ACH-000005,-0.9887389665750892
ACH-000007,-0.5669580006429779
ACH-000009,-0.5885070699490115
ACH-000011,-0.8792629963526465
ACH-000012,-0.6357545074934482
ACH-000013,-0.5310602636223788
ACH-000014,-0.7643931824749406
ACH-000015,-0.2970403248240805
ACH-000017,-0.8141499669775166
ACH-000018,-0.7952596578360639
ACH-000019,-0.6236600911011976
ACH-000021,-0.4737426588718338
ACH-000022,-0.6082870583057217
ACH-000025,-0.6095803164732048
ACH-000028,-0.6374931995072238
ACH-000030,-0.5667258527663996
ACH-000035,-0.7341145437794134
ACH-000036,-0.5248674495263939
ACH-000037,-0.4610795590576554
ACH-000039,-0.4932648295897174
ACH-000040,-0.5049176066111813
ACH-000041,-1.0896231180997435
ACH-000042,-0.7899231472598216
ACH-000045,-0.7202361077301186
ACH-000047,-0.6008030844296809
ACH-000052,-0.5750855085433805
ACH-000053,-0.6851945944455181
ACH-000054,-0.62064868526968
ACH-000055,-0.45894669108789293
ACH-000060,-0.6313968098098492
ACH-000067,-0.6355221820668199
ACH-000070,-0.4410858998909492
ACH-000075,-0.8327678712927519
ACH-000078,-0.7495383414296511
ACH-000082,-0.8430300132737787
ACH-000085,-0.7745121069850929
ACH-000086,-0.7832736450407594
ACH-000087,-0.2162925030906115
ACH-000092,-0.6259301593113631
ACH-000095,-0.7949747011787411
ACH-000097,-0.6028714280030331
ACH-000098,-0.7596410524046755
ACH-000099,-0.7463706497570575
ACH-000108,-0.4494578960207522
ACH-000113,-0.881699305634737
ACH-000116,-0.5696298614003159
ACH-000118,-0.5168685604322372
ACH-000120,-0.5044610631100594
ACH-000123,-0.8099487079082639
ACH-000127,-0.4588709426659389
ACH-000128,-0.5876765764549902
ACH-000132,-0.4195322844978902
ACH-000133,-0.6594170755160843
ACH-000137,-0.5038146927185632
ACH-000138,-0.5171886817706914
ACH-000142,-0.5055621720647606
ACH-000143,-0.4711827944666544
ACH-000146,-0.5082568180735839
ACH-000148,-0.4936250566413744
