,ARL5C (390790)
ACH-000004,-0.3380189781171454
ACH-000005,0.2412776022756697
ACH-000007,-0.2376909393715184
ACH-000009,-0.2727494879000443
ACH-000011,-0.09508427579700086
ACH-000012,-0.3282497294835465
ACH-000013,-0.18412743979862545
ACH-000014,-0.2331412379988427
ACH-000015,-0.030196900842085237
ACH-000017,-0.4620166430258395
ACH-000018,-0.19759387834762995
ACH-000019,-0.1943144020702504
ACH-000021,-0.10266694847926536
ACH-000022,-0.1842414867237731
ACH-000025,-0.138530660659773
ACH-000028,-0.1522347315373454
ACH-000030,-0.2286250034407662
ACH-000035,-0.4370687062758635
ACH-000036,-0.21446175257264516
ACH-000037,0.0018236955804935594
ACH-000039,-0.05975859882730206
ACH-000040,-0.0991767579848282
ACH-000041,-0.15806811631632914
ACH-000042,-0.17680761580752247
ACH-000045,-0.2646691466390785
ACH-000047,-0.35488524790949666
ACH-000052,-0.039861216692426434
ACH-000053,-0.2759899802443501
ACH-000054,-0.1424039505374617
ACH-000055,-0.3626410939371381
ACH-000060,-0.2881511706762948
ACH-000067,-0.2200699406994732
ACH-000070,-0.08780441105727957
ACH-000075,-0.031395526033378154
ACH-000078,0.01858362651597176
ACH-000082,-0.22708533810325185
ACH-000085,-0.13537756903171508
ACH-000086,-0.2092320760827862
ACH-000087,-0.11047487937480208
ACH-000092,-0.1285753369185967
ACH-000095,-0.22167110540353732
ACH-000097,-0.1120986847663374
ACH-000098,-0.15065479784653707
ACH-000099,-0.1069023455669416
ACH-000108,-0.057147958873733674
ACH-000113,-0.15552990557469892
ACH-000116,-0.13761649004938042
ACH-000118,-0.2444526200050817
ACH-000120,-0.21354704696140644
ACH-000123,-0.20653956995507364
ACH-000127,-0.1905440308290378
ACH-000128,-0.2335235629989883
ACH-000132,-0.12318851762162485
ACH-000133,-0.10546093674967903
ACH-000137,-0.1312386410131446
ACH-000138,-0.32350164876993515
ACH-000142,-0.32567636688798474
ACH-000143,0.050132155761112296
ACH-000146,-0.047149861952268696
ACH-000148,-0.08985928685587151
ACH-000150,-0.15969007684240275
ACH-000152,-0.1839798562330588
ACH-000153,-0.11251599891389533
ACH-000159,-0.06525506243176188
ACH-000160,-0.2480296277777595
ACH-000163,-0.32033201868821193
ACH-000167,-0.09094567160677768
ACH-000168,-0.07990935466704134
ACH-000169,-0.11694966170186208
ACH-000178,-0.12458448099079572
ACH-000183,-0.19538425559509734
ACH-000188,-0.35561759611098365
ACH-000189,0.09064384896346284
ACH-000190,-0.08696921031257113
