,KDM4D (55693)
ACH-000004,0.11458095780356485
ACH-000005,0.07647811935206815
ACH-000007,0.059276455954181365
ACH-000009,0.07494454219041795
ACH-000011,0.0149283237746533
ACH-000012,0.09542113638414107
ACH-000013,0.05630719031282911
ACH-000014,0.1194074812063829
ACH-000015,0.23427222838259076
ACH-000017,0.10039962912220708
ACH-000018,0.1416423812469424
ACH-000019,0.14959638079568446
ACH-000021,0.11468432902949305
ACH-000022,0.112233063601916
ACH-000025,0.07950291548487684
ACH-000028,0.04031509938953085
ACH-000030,0.12043156728837368
ACH-000035,0.20523519205695093
ACH-000036,-0.1049663386721402
ACH-000037,0.12382927364582695
ACH-000039,0.17691911908127625
ACH-000040,0.06928147266506775
ACH-000041,0.007344668310436671
ACH-000042,0.06205100525625646
ACH-000045,-0.019838554176088808
ACH-000047,0.12807883044771018
ACH-000052,0.0618608234151526
ACH-000053,0.09273674256295628
ACH-000054,0.08792960611390092
ACH-000055,0.08475646676207937
ACH-000060,0.2256277885519722
ACH-000067,0.25728162077145345
ACH-000070,0.08137331584652857
ACH-000075,0.11014656235188694
ACH-000078,0.015988270685334375
ACH-000082,0.07487833147157857
ACH-000085,-0.08443301211522793
ACH-000086,0.05277343104647873
ACH-000087,-0.13222434906649005
ACH-000092,0.15552712793169496
ACH-000095,0.03509328620494775
ACH-000097,0.1071408204729664
ACH-000098,0.14516968875104097
ACH-000099,0.03659549036483836
ACH-000108,0.1542217927372504
ACH-000113,0.00735415146184843
ACH-000116,-0.10492637027627112
ACH-000118,0.005648661457434765
ACH-000120,0.17019858730555967
ACH-000123,0.11894192792563207
ACH-000127,0.11453611376045575
ACH-000128,0.15597115043043525
ACH-000132,-0.09290444276883672
ACH-000133,-0.013186295919553665
ACH-000137,0.0025937935681791613
ACH-000138,0.08058202813783508
ACH-000142,-0.08626813503764116
ACH-000143,0.08641592201050688
ACH-000146,0.17863477869754665
ACH-000148,0.08318340303955822
ACH-000150,0.019459059741576717
ACH-000152,0.1462692830975085
ACH-000153,0.12345599213377152
ACH-000159,0.12042799282392065
ACH-000160,0.2790938950394098
ACH-000163,0.07724804548456521
