,PIGP (51227)
ACH-000004,-0.14242148138313346
ACH-000005,-0.2696856129960432
ACH-000007,0.07083402584851875
ACH-000009,-0.1436911040163611
ACH-000011,-0.2961349939282817
ACH-000012,-0.2642963973628819
ACH-000013,-0.05757566848937694
ACH-000014,-0.032010994453945084
ACH-000015,-0.11986205809709075
ACH-000017,-0.2493899465075673
ACH-000018,-0.1508754126521444
ACH-000019,-0.15122549626971601
ACH-000021,-0.014343309542051288
ACH-000022,-0.13362590202076124
ACH-000025,-0.21797793031231055
ACH-000028,-0.12214296004109508
ACH-000030,-0.13750165490207425
ACH-000035,-0.13334170722682887
ACH-000036,-0.13531024497103727
ACH-000037,-0.024023939395037202
ACH-000039,-0.15354036746014418
ACH-000040,0.0529081806234438
ACH-000041,0.02865572650112772
ACH-000042,-0.17826642766736767
ACH-000045,-0.18761818829270746
ACH-000047,-0.21745497874573155
ACH-000052,0.00393924578694706
ACH-000053,-0.12361558260798605
ACH-000054,-0.11704787612462605
ACH-000055,-0.1741680584521984
ACH-000060,-0.26282471027510856
ACH-000067,-0.07874706694092143
ACH-000070,-0.09370096120204033
ACH-000075,-0.055321400416826885
ACH-000078,-0.2588851058373427
ACH-000082,-0.1537494108526848
ACH-000085,-0.31403886885414
ACH-000086,-0.12090970759894322
ACH-000087,0.00512199485236096
ACH-000092,-0.13675770600421955
ACH-000095,-0.1748314667835238
ACH-000097,-0.13960364390807994
ACH-000098,-0.2378829648526445
ACH-000099,-0.17056902437867427
ACH-000108,-0.1346285576056491
ACH-000113,-0.1712762985394721
ACH-000116,-0.2828686229055739
ACH-000118,-0.13257841416452204
ACH-000120,-0.09790034089485916
ACH-000123,-0.2706003287792685
ACH-000127,-0.1642786982959458
ACH-000128,-0.16768322330815322
ACH-000132,-0.2276416033959857
ACH-000133,-0.11249543876897586
ACH-000137,-0.12605409770617804
ACH-000138,-0.18527743705514926
ACH-000142,-0.11049459946339336
ACH-000143,-0.10175848809250722
ACH-000146,-0.11872025082353492
ACH-000148,-0.07114659034130336
ACH-000150,-0.239288828811954
