,IL17D (53342)
ACH-000004,-0.19217615563462287
ACH-000005,0.2267658851782576
ACH-000007,-0.11585899082954815
ACH-000009,0.03155449302503387
ACH-000011,-0.3151685703057115
ACH-000012,-0.1700561046444608
ACH-000013,-0.2745665432393261
ACH-000014,-0.09514502088472973
ACH-000015,-0.25883717751190205
ACH-000017,-0.2519660546647132
ACH-000018,-0.09917361444690526
ACH-000019,-0.4043478386827729
ACH-000021,-0.20916324728246832
ACH-000022,-0.1800320984673942
ACH-000025,-0.09024665582633233
ACH-000028,-0.07520901751896196
ACH-000030,-0.15733203601824705
ACH-000035,-0.17871747425733833
ACH-000036,-0.23700758379621345
ACH-000037,-0.20554423301557012
ACH-000039,-0.2662526504824049
ACH-000040,-0.05560145191198751
ACH-000041,-0.2283215677754338
ACH-000042,-0.24418271946798975
ACH-000045,-0.08341711433272854
ACH-000047,-0.2404107094686109
ACH-000052,-0.17380990980711908
ACH-000053,-0.1426526903432513
ACH-000054,-0.1546928804742569
ACH-000055,-0.3390758908173274
ACH-000060,-0.3408812236538148
ACH-000067,-0.4803854807740656
ACH-000070,-0.2693022198020305
ACH-000075,-0.12636251609190366
ACH-000078,-0.10169682589540613
ACH-000082,-0.214675285910676
ACH-000085,-0.2441351175557201
ACH-000086,-0.3711373493610761
ACH-000087,-0.13660171625540635
ACH-000092,-0.0691261607410335
ACH-000095,-0.2359069771395138
ACH-000097,-0.37051546881615627
ACH-000098,-0.1891298894558204
ACH-000099,-0.1414332128243679
ACH-000108,-0.3787306883431227
ACH-000113,-0.25467572571021124
ACH-000116,-0.3648776053631635
ACH-000118,-0.1510036173172632
ACH-000120,-0.15794127997435045
ACH-000123,-0.08768081712033257
ACH-000127,-0.14745565312257186
ACH-000128,-0.0033595134588934035
ACH-000132,-0.111463313109098
ACH-000133,0.0055289826299520116
ACH-000137,-0.2276614314845102
ACH-000138,-0.15315895607829622
ACH-000142,-0.20788990457444126
ACH-000143,-0.12698393203527075
ACH-000146,-0.2922338382258876
ACH-000148,-0.08570173372166187
ACH-000150,-0.2088829913223016
ACH-000152,-0.17981794698185105
ACH-000153,-0.22364468056419015
ACH-000159,-0.3325963081336785
ACH-000160,-0.03565773708076469
ACH-000163,-0.08421131313652166
ACH-000167,-0.3122013479865877
ACH-000168,-0.2275518502527963
ACH-000169,-0.06778008199434889
ACH-000178,-0.21701957798228175
ACH-000183,-0.05932066120394106
ACH-000188,-0.07002691840568581
ACH-000189,0.00473090370852015
ACH-000190,-0.05151731807364522
ACH-000198,-0.12332509914725727
ACH-000203,0.1717836451342321
ACH-000204,-0.3637075961418345
ACH-000206,0.016827185958746983
ACH-000207,-0.4615933504921588
ACH-000208,-0.7210997964841112
ACH-000210,-0.4051570113470941
ACH-000211,-0.1948800319596819
ACH-000215,-0.11193735832782832
ACH-000221,-0.021558092396523683
ACH-000222,-0.024816009778940492
ACH-000223,-0.16095936840951686
ACH-000226,-0.09081674847140264
ACH-000227,0.014480685810060559
ACH-000228,-0.1553220127500846
ACH-000231,-0.20906887089118573
ACH-000232,-0.11033721178523807
ACH-000233,0.09958546916531053
ACH-000234,-0.4080861776018497
ACH-000235,-0.2181176228034928
ACH-000237,-0.2005150213283274
ACH-000238,-0.13691802433392128
ACH-000242,-0.402765014165877
ACH-000243,-0.20168680753241008
ACH-000244,-0.3158956190334434
ACH-000246,-0.0961490223437598
ACH-000248,-0.13571724875890714
ACH-000250,-0.3923326893871705
ACH-000251,-0.1487403849270149
ACH-000252,-0.008855383468796696
ACH-000253,-0.06121787549534358
ACH-000255,-0.16685441258577238
ACH-000256,-0.2356750085673573
ACH-000257,0.023980563304063948
ACH-000258,-0.12387655518498902
ACH-000259,-0.18280475590386008
ACH-000260,-0.17006010882746014
ACH-000261,-0.14970464633498395
ACH-000262,-0.2852110968776564
ACH-000263,0.35799020243242546
ACH-000264,-0.3028782292208764
ACH-000265,-0.12884070139612752
ACH-000266,-0.21518885438676152
ACH-000272,-0.24402038344940016
ACH-000274,-0.1445874477288724
ACH-000277,-0.053622220585710485
ACH-000278,-0.19854919545911345
ACH-000279,-0.03736854236006453
ACH-000280,-0.15368863094653515
ACH-000281,-0.006796273996133292
ACH-000288,-0.22245950666230624
ACH-000291,-0.13968566609716113
ACH-000293,-0.1270789525592728
ACH-000294,-0.07352458444494275
ACH-000295,-0.13388930079110842
ACH-000296,-0.14146275451109333
ACH-000302,-0.3399625153631634
ACH-000304,-0.029449041857517
ACH-000307,-0.16174952703932705
ACH-000308,-0.09081634517695183
ACH-000310,-0.16228323382767162
ACH-000311,-0.4006061423231113
ACH-000312,-0.14700607565256432
ACH-000315,-0.07756132235930227
ACH-000316,0.06041746925110069
ACH-000317,-0.08783645074392794
ACH-000318,-0.02574695125112022
ACH-000319,-0.12697649529944313
ACH-000320,-0.06967105526794222
ACH-000322,-0.19567657215764084
ACH-000323,-0.10589032726649074
ACH-000324,-0.2073832048805892
ACH-000329,-0.07768154345499016
ACH-000330,-0.19076645974506373
ACH-000331,-0.2502092190284577
ACH-000332,-0.1332366207071496
ACH-000334,0.06235707981384931
ACH-000335,-0.19999836253998654
ACH-000336,-0.2285521048977096
ACH-000337,0.05037466352817458
ACH-000338,-0.1444624584428854
ACH-000339,-0.10703155638363823
