,PAEP (5047)
ACH-000004,-0.027806846987479768
ACH-000005,-0.41595036369603466
ACH-000007,-0.004203213189363943
ACH-000009,-0.15700744401486766
ACH-000011,-0.21148903306548253
ACH-000012,-0.2231960734293768
ACH-000013,-0.19452226128654346
ACH-000014,-0.2265627077887557
ACH-000015,-0.18089275120392345
ACH-000017,-0.19943502034220775
ACH-000018,-0.3782138030977581
ACH-000019,-0.24217930980097
ACH-000021,-0.14111464226962633
ACH-000022,-0.1153302216512221
ACH-000025,-0.1470196080276557
ACH-000028,0.06117760483786195
ACH-000030,-0.056030274281050216
ACH-000035,-0.04031983139547783
ACH-000036,-0.03479610413051081
ACH-000037,0.00038202280102193697
ACH-000039,-0.053170047604144295
ACH-000040,-0.17809474417310228
ACH-000041,-0.14113509240884686
ACH-000042,-0.16256003760072554
ACH-000045,-0.2413097807889307
ACH-000047,-0.2143769710069968
ACH-000052,-0.0755483539321251
ACH-000053,-0.10740159656204452
ACH-000054,-0.019292822595476718
ACH-000055,-0.10219534688286053
ACH-000060,-0.13369184523174654
ACH-000067,-0.20020782575795476
ACH-000070,-0.07563115142732893
ACH-000075,-0.07918564886638475
ACH-000078,-0.2681588780949876
ACH-000082,-0.011073264235662378
ACH-000085,-0.033200256369963585
ACH-000086,-0.17839497779184807
ACH-000087,-0.07647611103952312
ACH-000092,-0.09472344100910048
ACH-000095,-0.04889981851979091
ACH-000097,-0.15574810933451752
ACH-000098,-0.0414785163674844
ACH-000099,-0.2196577855556926
ACH-000108,-0.030522096610601974
ACH-000113,-0.0352801222331491
ACH-000116,-0.029415215850844282
ACH-000118,-0.13441165387173604
ACH-000120,-0.06339991687477703
ACH-000123,-0.004258694980174599
ACH-000127,-0.08468157366928075
ACH-000128,-0.14795950045884124
ACH-000132,-0.1828365159290902
ACH-000133,-0.01907202609362405
ACH-000137,-0.2428134060747371
ACH-000138,-0.09822933893897208
ACH-000142,-0.05117782710624098
ACH-000143,0.19751849672499036
ACH-000146,-0.21273825027693447
ACH-000148,-0.06940798948810747
ACH-000150,-0.0028155922141181954
ACH-000152,-0.1768853656589038
ACH-000153,0.04982174563360815
ACH-000159,-0.02547356198605164
ACH-000160,-0.14805395466218038
ACH-000163,-0.08214375463583963
ACH-000167,-0.5236499267020144
ACH-000168,-0.25236469722665184
ACH-000169,-0.2045004199951072
ACH-000178,0.01493659341685282
ACH-000183,-0.2822838095312373
ACH-000188,-0.1786070359882829
ACH-000189,-0.2999926782407537
ACH-000190,-0.08263840857214964
ACH-000198,-0.16723130504395767
ACH-000203,0.3972643383358713
ACH-000204,0.0565001146159361
ACH-000206,0.10506516741710094
ACH-000207,-0.10009992293953103
ACH-000208,-0.14207010621772725
ACH-000210,-0.2813391104083173
ACH-000211,-0.1495121443830544
ACH-000215,-0.18487726220339296
ACH-000221,-0.15755315816405022
ACH-000222,-0.3921207214584685
ACH-000223,0.00035003588426405706
ACH-000226,-0.08873745555907478
ACH-000227,-0.15376806331098708
ACH-000228,-0.06923464206594931
ACH-000231,-0.17645671607596156
ACH-000232,-0.09260837669727373
ACH-000233,-0.24146288880684735
ACH-000234,-0.06346749693580588
ACH-000235,-0.11626316812447675
ACH-000237,-0.2217262568427067
ACH-000238,-0.20983335054117588
ACH-000242,0.22383272492039127
ACH-000243,-0.010162870781495428
ACH-000244,-0.32933810974634703
ACH-000246,-0.1800700141528965
ACH-000248,-0.10190154980230433
ACH-000250,-0.12343771211598972
ACH-000251,-0.3126348483448459
ACH-000252,-0.08974459937348023
ACH-000253,-0.15455663386373086
ACH-000255,-0.13353535939868547
ACH-000256,-0.1460298054716894
ACH-000257,-0.08589930967822787
ACH-000258,-0.06690527163531619
ACH-000259,-0.1808408103484644
ACH-000260,-0.06884818681099192
ACH-000261,-0.12784951746781556
ACH-000262,-0.07062474338750882
ACH-000263,-0.16114626869145046
ACH-000264,-0.16314994494833487
ACH-000265,-0.2467718207287326
ACH-000266,-0.1693386689997767
ACH-000272,-0.1097664386113937
ACH-000274,-0.24513794409241324
ACH-000277,-0.12381901268398884
ACH-000278,-0.07213113156071295
ACH-000279,-0.12609143243990675
ACH-000280,-0.2390998333935926
ACH-000281,-0.16557311233426392
ACH-000288,-0.07152178785280043
ACH-000291,-0.1493491799262579
ACH-000293,-0.0665386413304005
ACH-000294,-0.2174762892037933
ACH-000295,-0.19344633721672655
ACH-000296,-0.15790351149152929
ACH-000302,0.0034106489324975025
ACH-000304,-0.35138915756341843
ACH-000307,-0.06041600505436818
ACH-000308,-0.12961771153676113
ACH-000310,-0.2370146947964799
ACH-000311,-0.07193831424003587
ACH-000312,-0.10896633274257353
ACH-000315,-0.25409446816081643
ACH-000316,-0.1551056285442639
ACH-000317,-0.07489039872966037
ACH-000318,-0.07613170743694228
ACH-000319,-0.04104883620055587
ACH-000320,-0.2536973832825119
ACH-000322,-0.1494178033113804
ACH-000323,-0.2519425385039921
ACH-000324,-0.0416964897041673
ACH-000329,-0.1997941748311088
ACH-000330,-0.1636417428286702
ACH-000331,0.016390168513700617
ACH-000332,-0.17916837446858702
ACH-000334,-0.1454241701554064
ACH-000335,-0.0873155374064038
ACH-000336,0.06663200890205125
ACH-000337,-0.25656029818294457
ACH-000338,-0.32821031120793553
ACH-000339,-0.13804694628293074
ACH-000341,-0.017596720677816133
ACH-000348,-0.25171445188230235
ACH-000350,-0.06423432148398431
ACH-000352,-0.13476802867005014
ACH-000356,0.04028182722582705
ACH-000361,0.2080251295158384
ACH-000362,-0.1439168382475083
ACH-000363,-0.20755671842343207
ACH-000364,-0.060853647149876226
ACH-000365,-0.09554310570653923
ACH-000366,-0.21281284537387413
ACH-000368,-0.19519236740841325
ACH-000374,-0.06597424324272211
ACH-000375,-0.20030678840973465
ACH-000376,-0.15445590016022356
ACH-000381,-0.0671051974776764
ACH-000383,-0.10411181032642948
ACH-000387,-0.12778499882809458
ACH-000389,-0.36466016687246544
ACH-000390,-0.10663449971465656
ACH-000393,-0.14420071240336885
ACH-000395,-0.024642223448433725
ACH-000396,-0.35078668691789744
ACH-000397,-0.13826095549187492
ACH-000401,-0.21872593757347
ACH-000402,-0.15809443356346475
ACH-000403,-0.11699635495055385
ACH-000404,-0.04962858732575439
ACH-000406,-0.015757296438305396
ACH-000407,-0.19849952559563935
ACH-000408,-0.038020395754569836
ACH-000410,-0.09584611741929744
ACH-000411,0.04841548792276091
ACH-000414,-0.21139604069691434
ACH-000415,-0.06726291470228259
ACH-000416,-0.09328789627131184
ACH-000420,-0.0897460912150191
ACH-000421,-0.1280975189154271
ACH-000424,-0.2222690573273446
ACH-000425,-0.12413488613256166
ACH-000426,-0.0055480244678657465
ACH-000427,0.1483069835475916
ACH-000433,-0.20173923553508166
ACH-000435,-0.10611055387994567
ACH-000436,-0.03844138157122312
ACH-000444,-0.020712655781794476
ACH-000445,0.024929969608215426
ACH-000448,-0.08245901783189838
