,OR5AN1 (390195)
ACH-000004,0.09723508482805393
ACH-000005,-0.09223638783917283
ACH-000007,-0.024519417995110742
ACH-000009,0.037791238260815034
ACH-000011,0.05349022547687066
ACH-000012,-0.06735265307107167
ACH-000013,0.022722863939567885
ACH-000014,0.18792723816767398
ACH-000015,0.09097827386300374
ACH-000017,0.06398473437495797
ACH-000018,0.1358772464031707
ACH-000019,-0.00365820998294264
ACH-000021,-0.06703827799660884
ACH-000022,7.143305160953173e-05
ACH-000025,-0.04041353919005174
ACH-000028,0.10414390718337922
ACH-000030,-0.01691673535150328
ACH-000035,0.05599431433697645
ACH-000036,-0.011963311465043423
ACH-000037,-0.059025444825705015
ACH-000039,-0.16195319898912633
ACH-000040,-0.02633633686984235
ACH-000041,-0.14378426132257208
ACH-000042,-0.06195006903200464
ACH-000045,-0.02929140857507457
ACH-000047,0.14067944722803474
ACH-000052,-0.1292361957537547
ACH-000053,-0.08681358469992947
ACH-000054,-0.02732113671365911
ACH-000055,-0.052618781379466614
ACH-000060,-0.06881859774236958
ACH-000067,0.03652297417666299
ACH-000070,0.13394646118157044
ACH-000075,-0.10254233998062412
ACH-000078,0.11526026656905465
ACH-000082,-0.07137064161479496
ACH-000085,0.0057500143150755936
ACH-000086,-0.10393927966592624
ACH-000087,-0.0047720519756164715
ACH-000092,0.02686130278949074
ACH-000095,0.017826282885421794
ACH-000097,-0.018965087806423062
ACH-000098,0.04372442579153757
ACH-000099,0.04470119582987105
ACH-000108,-0.03792585476418086
ACH-000113,-0.03980545437841936
ACH-000116,0.021486350455656025
ACH-000118,-0.1398017487685479
ACH-000120,0.10646464947074638
ACH-000123,-0.07320687134929324
ACH-000127,-0.01564060939654635
ACH-000128,0.0034514708796776466
ACH-000132,-0.01393357806688192
ACH-000133,-0.10025032160163803
ACH-000137,-0.07697123121396306
ACH-000138,-0.025678185934283733
ACH-000142,0.015036550103485575
ACH-000143,-0.0019862539471666176
ACH-000146,0.02905919081610573
ACH-000148,0.009575224949093065
ACH-000150,-0.01929406360302321
ACH-000152,0.08593978490898595
ACH-000153,-0.19544539623481247
ACH-000159,-0.08990080001017102
ACH-000160,-0.0424887423776517
ACH-000163,-0.006747223827385396
ACH-000167,0.30175648631922825
ACH-000168,-0.07217745001344668
ACH-000169,0.0444305540186342
ACH-000178,-0.039235921594073665
ACH-000183,-0.02367261888888985
ACH-000188,-0.25933890602817466
ACH-000189,0.1253235764013558
ACH-000190,-0.05587081663940843
ACH-000198,-0.0002099747519523744
ACH-000203,-0.32587420347177193
ACH-000204,-0.08895272438366912
ACH-000206,-0.17350404276272471
ACH-000207,0.01173278029789282
ACH-000208,0.00967255968296922
ACH-000210,0.011568760754003449
ACH-000211,-0.01253752602576672
ACH-000215,0.0551281798404259
ACH-000221,0.04966554550362229
ACH-000222,-0.10336792226627213
ACH-000223,-0.05280717080923383
ACH-000226,-0.14864831380464824
ACH-000227,-0.09379236685391576
ACH-000228,0.040715246763778766
ACH-000231,-0.003719945529181101
ACH-000232,0.0292574859263259
ACH-000233,-0.004573323208669378
ACH-000234,-0.0013830485236400935
ACH-000235,0.005097993297358939
ACH-000237,0.02074382865635701
ACH-000238,0.10021571202678284
ACH-000242,0.019295095249709453
ACH-000243,-0.044730080395733285
ACH-000244,-0.09024023758374568
ACH-000246,-0.011406382060413972
ACH-000248,0.0826622549499153
ACH-000250,0.003339694936198416
ACH-000251,0.2184537538409851
ACH-000252,-0.2341586227707253
ACH-000253,-0.014850123096469419
ACH-000255,0.051765343402355085
ACH-000256,-0.26999720842902153
ACH-000257,0.043950496253604
ACH-000258,0.1220889664573264
ACH-000259,0.029342285039163377
ACH-000260,-0.050515976833432105
ACH-000261,-0.0491549599888076
ACH-000262,0.18576301638873652
ACH-000263,-0.09033722912532388
ACH-000264,0.007601511626049967
ACH-000265,0.10830566103414464
ACH-000266,-0.0006596846625035178
ACH-000272,-0.0494066241337857
ACH-000274,0.05204872629677816
ACH-000277,-0.004424222862419177
ACH-000278,0.18944766991352616
ACH-000279,0.06935971819678649
ACH-000280,0.12481133427504487
ACH-000281,0.17874432848294464
ACH-000288,-0.00204492888047537
ACH-000291,0.04299332686393336
ACH-000293,-0.11644793562177573
ACH-000294,-0.2028389661706072
ACH-000295,0.04510027683860237
ACH-000296,-0.02030009066159922
ACH-000302,0.017503413410089416
ACH-000304,0.17216337706417775
ACH-000307,0.05659250091333073
ACH-000308,-0.13484503040489515
ACH-000310,0.08377135576791975
ACH-000311,0.08086032716895714
ACH-000312,0.10523938717162587
ACH-000315,-0.02445871228710234
ACH-000316,-0.01885321721344324
ACH-000317,-0.09567387633138903
ACH-000318,-0.06287990369000925
ACH-000319,-0.009841136878188982
ACH-000320,0.21212556037798974
ACH-000322,-0.13851511789474902
ACH-000323,0.13344101669787853
ACH-000324,0.006455843346615851
ACH-000329,0.07928951329273977
ACH-000330,0.12098192878948978
ACH-000331,-0.08366256691476161
ACH-000332,0.033885353633614015
ACH-000334,0.07925773432491727
ACH-000335,-0.13977536745423916
ACH-000336,0.0502627245748772
ACH-000337,0.004179488876937718
ACH-000338,-0.040899535318121516
ACH-000339,0.009342314357688177
ACH-000341,0.1296587341946397
ACH-000348,0.1318867490099644
ACH-000350,0.17305313418204776
ACH-000352,-0.0085435583909183
ACH-000356,-0.05881696176214155
ACH-000361,-0.034939714090407935
