,ZFP69B (65243)
ACH-000004,-0.7891228119400788
ACH-000005,-0.3732872780376369
ACH-000007,-0.25732401675954697
ACH-000009,-0.4775223850041152
ACH-000011,-0.26487515017271285
ACH-000012,-0.385123935045416
ACH-000013,-0.5108494060072463
ACH-000014,-0.4687391093929612
ACH-000015,-0.5269295962462358
ACH-000017,-0.3710290804840477
ACH-000018,-0.4174908936507325
ACH-000019,-0.3434019857740022
ACH-000021,-0.5078674915331641
ACH-000022,-0.4601396453513221
ACH-000025,-0.26691085557478145
ACH-000028,-0.3099971841368808
ACH-000030,-0.4253968882369537
ACH-000035,-0.5325501486088625
ACH-000036,-0.5450967813395452
ACH-000037,-0.2866801945181014
ACH-000039,-0.31426782540899184
ACH-000040,-0.3853800618577875
ACH-000041,-0.2737918357393127
ACH-000042,-0.386403829851104
ACH-000045,-0.34069796282231385
ACH-000047,-0.35450881612502033
ACH-000052,-0.4120030584826727
ACH-000053,-0.5087312958576701
ACH-000054,-0.3644193964726049
ACH-000055,-0.3362940763611439
ACH-000060,-0.4503962357329199
ACH-000067,-0.5280336273010608
ACH-000070,-0.4715769878854656
ACH-000075,-0.5574009053772543
ACH-000078,-0.5113342065254026
ACH-000082,-0.352692478077503
ACH-000085,-0.5152188151738171
ACH-000086,-0.4879003100998918
ACH-000087,-0.40752782666015297
ACH-000092,-0.504634921843052
ACH-000095,-0.428328541501176
ACH-000097,-0.4091956018625911
ACH-000098,-0.4676585001624203
ACH-000099,-0.4474010176294902
ACH-000108,-0.2919075113445614
ACH-000113,-0.4088867655348869
ACH-000116,-0.3818184519745443
ACH-000118,-0.3643259439243672
ACH-000120,-0.2276094629305819
ACH-000123,-0.4404416091544183
ACH-000127,-0.4420674955057949
ACH-000128,-0.4649856019486111
ACH-000132,-0.4799196465645714
ACH-000133,-0.3886481901781688
ACH-000137,-0.4774427651281752
ACH-000138,-0.4749989063095052
ACH-000142,-0.506973740917207
ACH-000143,-0.3411876593719047
ACH-000146,-0.9651217401778844
ACH-000148,-0.4091541638049828
ACH-000150,-0.5286550948474695
ACH-000152,-0.43598763871738105
ACH-000153,-0.20333187285999432
ACH-000159,-0.5174807844278634
ACH-000160,-0.5114964604267168
ACH-000163,-0.1652089476949372
ACH-000167,-0.7930462109877037
ACH-000168,-0.4742506354199664
ACH-000169,-0.5507218549757693
ACH-000178,-0.3859802078569481
ACH-000183,-0.33843706974342896
ACH-000188,-0.5234394344922169
ACH-000189,-0.439082829404532
ACH-000190,-0.32318661873000554
ACH-000198,-0.3949146810140921
ACH-000203,-0.21228412064613253
ACH-000204,-0.4247174839957506
ACH-000206,-0.4312395384442064
ACH-000207,-0.453140067579005
ACH-000208,-0.3923676431664194
ACH-000210,-0.471869655384619
ACH-000211,-0.3403194812544416
ACH-000215,-0.4319555357824042
ACH-000221,-0.5635615165884804
ACH-000222,-0.4255735306357144
ACH-000223,-0.41474899298524986
ACH-000226,-0.3550795869279498
ACH-000227,-0.3602973808462172
ACH-000228,-0.3808676540584928
ACH-000231,-0.3202614052258873
ACH-000232,-0.5068855798872965
ACH-000233,-0.3929706052274171
ACH-000234,-0.46113903808428997
ACH-000235,-0.3426620488444622
ACH-000237,-0.4591205043360655
ACH-000238,-0.4936187333852042
ACH-000242,-0.3754185461491453
ACH-000243,-0.3935822890349118
ACH-000244,-0.47231068467427395
ACH-000246,-0.3718030781624713
ACH-000248,-0.435753914523377
ACH-000250,-0.3710521757979343
ACH-000251,-0.5480713025237505
ACH-000252,-0.4090263130962066
ACH-000253,-0.3909345492615308
ACH-000255,-0.435843016746696
ACH-000256,-0.364544669555752
ACH-000257,-0.2934934114169514
ACH-000258,-0.3914085343903652
ACH-000259,-0.4855986345444062
ACH-000260,-0.42297429585675056
ACH-000261,-0.4003146083272279
ACH-000262,-0.4571144156995572
ACH-000263,-0.5154104603570056
ACH-000264,-0.4687588765606549
ACH-000265,-0.3904418188928733
